日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-04,HV,grass,好/快,1200,072,08,精益大師,11,3,7,45.99,46.51,-0.69,23.54,0.84,70.05,0.15,8 7 8,合夥雄心,風中勁松,正氣青驅,艾兆禮,班德禮,4,126,121
2023-10-29,HV,grass,好,1200,124,07,精益大師,11,3,3,46.49,47.01,-0.19,23.88,1.18,70.89,0.99,7 6 7,好友心得,勇創派對,幸運星球,艾兆禮,班德禮,4,123,121
2023-11-26,ST,dirt,好,1200,197,03,精益大師,11,3,1,45.32,45.32,-1.53,24.58,2.48,69.9,0.95,3 1 3,澳華威威,日日獎,精益大師,鍾易禮,班德禮,4,118,121
2023-12-17,ST,dirt,好,1200,252,03,精益大師,11,3,9,45.65,45.65,-1.2,24.24,2.14,69.89,0.94,1 1 3,寶麗生輝,駿皇星,精益大師,鍾易禮,班德禮,4,116,121
2023-12-26,ST,dirt,好,1200,284,04,精益大師,11,3,5,44.83,45.03,-1.82,24.42,2.32,69.45,0.5,2 2 4,鑽飾璀璨,伶俐驫駒,澳華威威,潘頓,班德禮,4,121,121
2024-01-07,ST,dirt,好,1200,320,08,精益大師,11,3,3,44.82,44.94,-1.91,25.07,2.97,70.01,1.06,2 2 8,快錢,鑽飾璀璨,顏色王子,賀銘年,班德禮,4,118,121
2024-01-31,HV,grass,好,1000,382,05,精益大師,11,3,10,34.38,34.5,-1.4,23.37,2.07,57.87,0.67,3 2 5,電路七號,天火同人,超額認購,班德禮,班德禮,4,117,121
2024-02-28,HV,grass,好,1000,458,01,精益大師,11,3,2,33.54,34.46,-1.44,23.36,2.06,57.82,0.62,6 6 1,精益大師,快如龍,顏色王子,班德禮,班德禮,4,119,121
2024-03-20,HV,grass,好,1000,514,05,精益大師,11,3,12,33.64,33.96,-1.94,23.61,2.31,57.57,0.37,2 3 5,顏色王子,胡椒軍曹,賢心星,班德禮,班德禮,4,124,121
2024-04-24,HV,grass,好,1000,611,03,精益大師,11,3,11,34.33,34.45,-1.45,23.63,2.33,58.08,0.88,2 2 3,胡椒軍曹,運來勇士,精益大師,班德禮,班德禮,4,123,121
2024-05-08,HV,grass,好,1200,648,02,精益大師,11,3,1,45.62,45.62,-1.58,24.52,1.82,70.14,0.24,1 1 2,新力,精益大師,飲杯,黃智弘,班德禮,4,118,121
2024-05-22,HV,grass,好,1200,688,01,精益大師,11,3,1,46.47,46.47,-0.73,23.65,0.95,70.12,0.22,1 1 1,精益大師,精選威,精妙星,班德禮,班德禮,4,124,121
2024-06-26,HV,grass,好,1200,776,02,精益大師,11,3,2,46.66,46.86,-0.34,23.09,0.39,69.95,0.05,3 3 2,心想事成,精益大師,勇眼光,黃智弘,班德禮,4,125,121
2024-07-10,HV,grass,好/快,1200,818,05,精益大師,11,3,7,45.89,46.13,-1.07,24.33,1.63,70.46,0.56,3 4 5,還看今朝,佳尊三,皆益善,班德禮,班德禮,4,132,121
2024-10-09,HV,grass,好,1200,090,08,精益大師,11,3,12,46.5,46.58,-0.62,24.47,1.77,71.05,1.15,2 2 8,駿步騰飛,五福星,你知我得,班德禮,班德禮,4,132,121
2024-11-06,HV,grass,好,1200,161,03,精益大師,11,3,4,45.96,45.96,-1.24,23.91,1.21,69.87,-0.03,1 1 3,美麗緣分,勇霸龍,精益大師,黃智弘,班德禮,4,124,121
2024-11-13,HV,grass,好,1000,179,02,精益大師,11,3,1,33.51,33.95,-1.95,23.32,2.02,57.27,0.07,6 5 2,知道長勝,精益大師,極光彗星,黃智弘,班德禮,4,125,121
2024-12-04,HV,grass,好,1000,234,02,精益大師,11,3,4,33.8,34.2,-1.7,23.08,1.78,57.28,0.08,4 4 2,胡椒軍曹,精益大師,勝萬金,布宜學,班德禮,4,134,121
2024-12-26,HV,grass,好,1000,288,09,精益大師,11,3,4,33.77,34.13,-1.77,23.88,2.58,58.01,0.81,4 4 9,皇帝英明,超強六十,勁者,貝知仁,班德禮,4,135,121
2025-01-15,HV,grass,好,1000,351,08,精益大師,11,3,12,34.07,34.27,-1.63,23.42,2.12,57.69,0.49,3 2 8,勝萬金,知道長勝,萬眾開心,黃智弘,班德禮,4,127,121
