日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-03-23,ST,grass,好/快,1200,532,10,大浪園田,10,4,6,46.24,46.24,-0.41,23.45,1.1,69.69,0.69,1 1 10,笑傲江湖,凱旋升,英勇快車,希威森,金誠剛,3,123,121
2025-04-20,ST,grass,好/快,1200,609,11,大浪園田,10,4,3,45.93,46.25,-0.4,23.53,1.18,69.78,0.78,3 4 11,營造組裝,河好運,風再起時,霍宏聲,金誠剛,3,125,121
2025-05-07,HV,grass,好,1200,658,06,大浪園田,10,4,10,45.92,47.12,0.07,23.21,0.66,70.33,0.73,12 11 6,飲杯,安康萬里,無限美麗,梁家俊,金誠剛,3,121,121
2025-05-28,HV,grass,好/快,1200,716,12,大浪園田,10,4,3,46.14,47.22,0.17,24.05,1.5,71.27,1.67,12 11 12,駿奕快車,飲杯,超霸勝,鍾易禮,金誠剛,3,117,121
2025-06-28,ST,grass,好,1400,797,14,大浪園田,10,4,2,57.81,58.33,-0.17,25.49,2.34,83.82,2.17,4 5 5 14,自力更生,美麗星晨,一起美麗,梁家俊,金誠剛,3,120,121
2025-10-12,ST,grass,好,1200,089,09,大浪園田,10,4,7,45.53,46.37,-0.53,23.62,1.17,69.99,0.64,10 11 9,鋁神,福聚,品德寶寶,霍宏聲,金誠剛,4,133,121
2025-11-19,HV,grass,好,1200,189,11,大浪園田,10,4,9,46.16,47.04,-0.16,23.71,1.01,70.75,0.85,10 9 11,知道穩勝,凌風傲雪,三強,梁家俊,金誠剛,4,131,121
2025-12-10,HV,grass,好,1200,250,12,大浪園田,10,4,9,46.11,46.47,-0.73,25.22,2.52,71.69,1.79,8 6 12,三強,東來欣賞,紅錢到,霍宏聲,金誠剛,4,128,121
2026-01-07,HV,grass,好,1650,327,08,大浪園田,10,4,8,74.88,74.92,-0.93,25.81,1.56,100.73,0.63,2 2 2 8,佳福駒,祥勝將軍,瑞祺威楓,金誠剛,金誠剛,4,125,121
2026-02-11,HV,grass,好/快,1650,427,09,大浪園田,10,4,5,75.67,76.35,0.5,24.21,-0.04,100.56,0.46,4 6 6 9,創科群英,大千氣象,北海盜,金誠剛,金誠剛,4,124,121
