日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-01,ST,grass,好,1200,316,09,友運行,11,9,3,46.11,46.99,0.34,23.45,1.1,70.44,1.44,8 8 9,舞林密碼,友愛心得,安康萬里,貝知仁,鍾易禮 (-2),3,121,118
2025-01-19,ST,grass,好/快,1400,364,14,友運行,11,9,6,58.89,59.33,0.83,24.91,1.76,84.24,2.59,4 6 9 14,有目共賞,信心星,實力派,貝知仁,鍾易禮 (-2),3,119,118
2025-02-12,ST,dirt,濕慢,1200,425,10,友運行,11,9,12,46.05,47.41,0.91,28.73,6.68,76.14,7.59,4 9 11,德心知遇,智跑得,自強不息,賀銘年,鍾易禮 (-2),3,118,118
2025-04-16,HV,grass,好/快,1200,597,09,友運行,11,9,4,45.95,46.99,-0.06,24.99,2.44,71.98,2.38,9 9 9,翠紅,安康萬里,飲杯,楊明綸,鍾易禮 (-2),3,115,118
2025-05-28,HV,grass,好/快,1200,711,12,友運行,11,9,2,46.24,47.0,-0.2,24.37,1.67,71.37,1.47,7 9 12,比特星,雷神太保,喆喆友福,奧爾民,鍾易禮 (-2),4,132,118
2025-10-15,HV,grass,好/快,1200,098,09,友運行,11,9,12,46.84,47.88,0.68,23.11,0.41,70.99,1.09,11 11 9,皇帝英豪,雷神太保,至合拍,何澤堯,鍾易禮 (-2),4,130,118
2025-11-19,HV,grass,好,1200,189,06,友運行,11,9,4,46.16,46.96,-0.24,23.57,0.87,70.53,0.63,8 8 6,知道穩勝,凌風傲雪,三強,何澤堯,鍾易禮 (-2),4,127,118
2025-12-17,HV,grass,好,1650,267,09,友運行,11,9,5,76.73,76.73,0.88,24.59,0.34,101.32,1.22,1 1 1 9,加州活力,本領非凡,巴閉佬,梁家俊,鍾易禮 (-2),4,124,118
2026-01-07,HV,grass,好,1650,329,12,友運行,11,9,9,77.68,78.6,2.75,24.39,0.14,102.99,2.89,10 10 11 12,翠兒威威,隨緣得勝,加州活力,何澤堯,鍾易禮 (-2),4,124,118
2026-01-25,ST,grass,好/快,1400,380,14,友運行,11,9,6,57.61,58.25,-0.35,29.5,6.1,87.75,5.75,5 5 10 14,心雄雄,友瑩仁,哥倫布,潘明輝,鍾易禮 (-2),4,120,118
