日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-07-01,ST,grass,好,1200,791,12,同喜,10,11,9,45.71,45.83,-0.82,23.94,1.59,69.77,0.77,2 2 12,天天同樂,開心寶寶,實力派,鍾易禮,巴度,3,121,118
2024-10-16,HV,grass,好/快,1200,108,06,同喜,10,11,2,46.12,46.32,-0.73,24.06,1.51,70.38,0.78,4 5 6,勇敢巨星,多利彩駒,添開心,蔡明紹,巴度,3,123,118
2024-11-06,HV,grass,好,1200,164,12,同喜,10,11,3,45.88,46.28,-0.77,24.56,2.01,70.84,1.24,3 4 12,勇敢巨星,超霸勝,同祥和順,鍾易禮,巴度,3,113,118
2024-11-24,ST,dirt,好,1200,205,11,同喜,10,11,2,45.64,45.64,-1.21,24.14,2.04,69.78,0.83,1 1 11,越野大師,有派頭,郎善好施,艾道拿,巴度,4,134,118
2024-12-15,ST,grass,好,1000,262,05,同喜,10,11,14,33.93,34.01,-1.89,22.71,1.96,56.72,0.07,3 3 5,鴻圖新星,綫路盈樂,攻頂,蔡明紹,巴度,4,131,118
2025-01-01,ST,grass,好,1200,307,03,同喜,10,11,4,45.6,45.84,-1.06,24.46,2.01,70.3,0.95,2 2 3,中環精英,喆喆友福,同喜,蔡明紹,巴度,4,131,118
2025-01-12,ST,grass,好,1200,340,07,同喜,10,11,4,45.76,46.2,-0.7,23.76,1.31,69.96,0.61,5 4 7,新力好,旺旺快駒,美神來,貝知仁,巴度,4,130,118
2025-02-12,ST,dirt,濕慢,1200,422,08,同喜,10,11,6,46.03,46.03,-0.82,25.79,3.69,71.82,2.87,1 1 8,運來勇士,星火燎原,機械騎士,湯普新,巴度,4,129,118
2025-03-05,HV,grass,好,1200,479,11,同喜,10,11,2,45.97,46.25,-0.95,24.18,1.48,70.43,0.53,3 3 11,騰龍四海,電訊驕陽,猛將兄,蔡明紹,巴度,4,127,118
2025-05-10,ST,grass,好,1000,660,07,同喜,10,11,10,33.65,34.09,-1.81,23.26,2.51,57.35,0.7,7 4 7,穿雲達月,展雄威,拉合爾,蔡明紹,巴度,4,124,118
2025-05-31,ST,grass,好,1200,718,14,同喜,10,11,13,45.81,46.57,-0.33,24.62,2.17,71.19,1.84,9 12 14,關鍵所在,常嚐發財,嘉應駿馬,蔡明紹,巴度,4,123,118
2025-06-22,ST,grass,好,1200,771,06,同喜,10,11,6,45.59,45.59,-1.31,23.85,1.4,69.44,0.09,1 1 6,弦力寶,白鷺金剛,增旺,鍾易禮,巴度,4,118,118
2025-07-13,ST,grass,好/快,1200,834,04,同喜,10,11,6,46.3,46.58,-0.32,22.85,0.4,69.43,0.08,4 4 4,燈胆將軍,勝多多,團結勇士,鍾易禮,巴度,4,119,118
2025-10-01,ST,grass,好/快,1200,058,03,同喜,10,11,8,45.93,46.57,-0.58,22.65,0.25,69.22,-0.33,13 9 3,快樂奇兵,魅力星,同喜,奧爾民,巴度,5,135,118
2025-10-19,ST,grass,好/快,1400,104,12,同喜,10,11,13,57.5,57.86,-1.09,25.56,2.21,83.42,1.12,5 3 3 12,飛躍凱旋,幸運福星,全神貫注,布文,巴度,5,133,118
2025-11-12,HV,grass,好,1200,171,02,同喜,10,11,4,45.92,46.04,-1.31,23.66,0.91,69.7,-0.4,2 2 2,東方寶寶,同喜,皇金合,布文,巴度,5,131,118
2025-12-10,HV,grass,好,1200,246,02,同喜,10,11,3,47.26,47.46,0.11,23.22,0.47,70.68,0.58,3 4 2,幸運傳承,同喜,魅力星,布文,巴度,5,132,118
2026-01-01,ST,grass,好,1200,305,01,同喜,10,11,1,46.48,46.48,-0.67,23.21,0.81,69.69,0.14,1 1 1,同喜,首駿,金快飛飛,潘頓,巴度,5,132,118
2026-01-18,ST,grass,好/快,1200,358,05,同喜,10,11,12,45.62,45.74,-1.16,23.63,1.18,69.37,0.02,2 2 5,喜慶寶,錶之浩瀚,實力加,希威森,巴度,4,120,118
2026-02-19,ST,grass,好,1200,448,03,同喜,10,11,9,46.7,46.7,-0.2,22.82,0.37,69.52,0.17,1 1 3,綫路英雄,跨境駿馬,同喜,巴度,巴度,4,120,118
