日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-10,ST,grass,黏,1200,002,09,運來勇士,12,10,3,46.58,46.7,-0.2,24.69,2.24,71.39,2.04,2 2 9,紅旺,獨角獸,添福,潘頓,楊明綸,4,133,115
2023-10-29,HV,grass,好,1000,122,06,運來勇士,12,10,10,34.15,34.75,-1.15,23.2,1.9,57.95,0.75,4 4 6,必先生,胡椒軍曹,銀進,田泰安,楊明綸,4,132,115
2023-11-08,HV,grass,好,1000,151,01,運來勇士,12,10,12,33.71,33.71,-2.19,23.56,2.26,57.27,0.07,1 1 1,運來勇士,快如龍,顏色王子,田泰安,楊明綸,4,133,115
2023-11-15,HV,grass,好,1000,168,05,運來勇士,12,10,8,33.41,33.73,-1.92,23.44,2.44,57.17,0.52,3 3 5,財才,浪茄仔,帖木兒,田泰安,楊明綸,3,115,115
2023-11-26,ST,dirt,好,1200,198,06,運來勇士,12,10,9,45.37,45.81,-0.69,23.62,1.57,69.43,0.88,6 6 6,泉龍駒,包裝伯樂,自強不息,田泰安,楊明綸,3,117,115
2023-12-13,HV,grass,好,1000,246,02,運來勇士,12,10,4,33.92,33.92,-1.73,23.46,2.46,57.38,0.73,1 1 2,帖木兒,運來勇士,萬眾開心,田泰安,楊明綸,3,115,115
2023-12-26,ST,grass,好,1200,283,05,運來勇士,12,10,2,46.12,46.12,-0.78,24.08,1.63,70.2,0.85,1 1 5,誠好運,金榜之星,大才,黃智弘,楊明綸,4,125,115
2024-01-17,HV,grass,好,1000,346,06,運來勇士,12,10,9,34.39,34.39,-1.26,23.37,2.37,57.76,1.11,1 1 6,萬眾開心,英雄豪邁,浪茄仔,田泰安,楊明綸,3,116,115
2024-02-15,HV,grass,好,1000,423,07,運來勇士,12,10,7,34.31,34.83,-1.07,23.3,2.0,58.13,0.93,5 7 7,天火同人,中環精英,紅海風帆,田泰安,楊明綸,4,135,115
2024-03-16,ST,dirt,好,1200,504,10,運來勇士,12,10,3,45.68,45.76,-1.09,24.04,1.94,69.8,0.85,2 2 10,實力哥,澳華威威,鑽飾璀璨,艾道拿,楊明綸,4,134,115
2024-04-24,HV,grass,好,1000,611,02,運來勇士,12,10,12,34.33,34.33,-1.57,23.47,2.17,57.8,0.6,1 1 2,胡椒軍曹,運來勇士,精益大師,田泰安,楊明綸,4,130,115
2024-05-15,HV,grass,好,1000,671,04,運來勇士,12,10,12,33.86,33.94,-1.96,23.91,2.61,57.85,0.65,1 2 4,尋寶勇士,極光彗星,開心馬,潘頓,楊明綸,4,133,115
2024-06-12,HV,grass,好,1000,747,08,運來勇士,12,10,9,33.53,33.77,-2.13,24.25,2.95,58.02,0.82,2 3 8,紅逸舍,極光彗星,囍眼光,潘頓,楊明綸,4,133,115
2024-07-01,ST,grass,好,1000,782,10,運來勇士,12,10,3,33.34,33.78,-2.12,22.97,2.22,56.75,0.1,6 6 10,最好玩,多彩多姿,不可擋,潘明輝,楊明綸,4,129,115
2024-09-11,HV,grass,好,1000,015,09,運來勇士,12,10,12,34.17,34.17,-1.73,24.27,2.97,58.44,1.24,1 2 9,胡椒軍曹,怡昌精神,極光彗星,潘頓,楊明綸,4,128,115
2024-11-17,ST,grass,好,1200,184,13,運來勇士,12,10,8,46.14,46.78,-0.12,23.99,1.54,70.77,1.42,5 6 13,喵喵怪,多彩多姿,大利好運,班德禮,楊明綸,4,128,115
2024-12-04,HV,grass,好,1200,236,06,運來勇士,12,10,4,46.93,47.41,0.21,23.44,0.74,70.85,0.95,5 5 6,你知我得,真心傳奇,妙玲瓏,何澤堯,楊明綸,4,126,115
2024-12-18,ST,dirt,好,1200,271,02,運來勇士,12,10,12,45.33,46.01,-0.84,22.83,0.73,68.84,-0.11,10 10 2,皇龍飛將,運來勇士,獵寶勤,巴度,楊明綸,4,124,115
2024-12-29,ST,dirt,好,1200,302,04,運來勇士,12,10,6,45.98,46.14,-0.71,23.18,1.08,69.32,0.37,4 3 4,良駒好友,勁先生,越野大師,巴度,楊明綸,4,126,115
2025-01-22,HV,grass,好,1200,371,04,運來勇士,12,10,10,46.7,47.46,0.26,23.24,0.54,70.7,0.8,9 9 4,樂加福,囍眼光,精彩駿將,巴度,楊明綸,4,125,115
2025-02-12,ST,dirt,濕慢,1200,422,01,運來勇士,12,10,4,46.03,46.23,-0.62,24.26,2.16,70.49,1.54,4 2 1,運來勇士,星火燎原,機械騎士,田泰安,楊明綸,4,125,115
2025-03-09,ST,dirt,好,1200,489,03,運來勇士,12,10,9,45.47,45.75,-1.1,23.73,1.63,69.48,0.53,2 2 3,贏得自然,超加加,運來勇士,田泰安,楊明綸,4,133,115
2025-03-26,ST,dirt,好,1200,540,08,運來勇士,12,10,4,45.21,45.25,-1.6,24.55,2.45,69.8,0.85,1 2 8,扶搖勢勁,錶之星河,五福星,霍宏聲,楊明綸,4,134,115
2025-04-30,HV,grass,好/快,1200,635,11,運來勇士,12,10,10,45.83,47.51,0.31,22.67,-0.03,70.18,0.28,10 10 11,天下寵兒,快搏,鄉村樂韻,田泰安,楊明綸,4,133,115
2025-05-18,ST,dirt,好,1200,680,12,運來勇士,12,10,5,45.45,46.41,-0.44,25.5,3.4,71.91,2.96,6 7 12,天天耍樂,扶搖勢勁,機械騎士,巴度,楊明綸,4,132,115
2025-06-04,HV,grass,好/黏,1200,732,04,運來勇士,12,10,9,47.4,47.4,0.2,24.24,1.54,71.64,1.74,1 1 4,金駿星,智勝攻略,勇威神駒,田泰安,楊明綸,4,130,115
2025-06-25,HV,grass,好/快,1200,779,12,運來勇士,12,10,3,46.27,46.71,-0.49,24.92,2.22,71.63,1.73,5 6 12,好節拍,新力,輕功猛男,艾兆禮,楊明綸,4,129,115
2025-09-28,ST,dirt,好,1200,048,05,運來勇士,12,10,7,44.95,46.35,-0.5,23.4,1.3,69.75,0.8,9 9 5,天天耍樂,開心五月,日日獎,周俊樂,楊明綸,4,127,115
2025-10-15,HV,grass,好/快,1200,097,10,運來勇士,12,10,3,45.96,46.32,-0.88,24.22,1.52,70.54,0.64,4 4 10,舞林寶典,駿馬之寶,良駒好友,周俊樂,楊明綸,4,123,115
2025-10-30,ST,dirt,好,1200,137,11,運來勇士,12,10,4,46.26,46.66,-0.19,25.36,3.26,72.02,3.07,4 5 11,星火燎原,運來伍寶,金多囍,鍾易禮,楊明綸,4,123,115
2025-11-19,HV,grass,好,1200,194,11,運來勇士,12,10,4,46.0,46.56,-0.64,24.4,1.7,70.96,1.06,6 8 11,翠湖烈風,紅錢到,亮寶,周俊樂,楊明綸,4,120,115
2025-11-30,ST,grass,好,1000,217,10,運來勇士,12,10,3,34.32,34.72,-1.18,23.3,2.55,58.02,1.37,11 12 10,包裝明將,俏眼光,佳佳友,班德禮,楊明綸,4,120,115
2026-01-07,HV,grass,好,1200,330,10,運來勇士,12,10,5,46.19,46.95,-0.25,23.67,0.97,70.62,0.72,5 6 10,團結勇士,可靠大師,遨遊波士,金誠剛,楊明綸,4,118,115
