日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-22,ST,grass,好,1200,281,12,飈誌,12,4,6,46.03,46.87,-0.03,23.55,1.1,70.42,1.07,10 9 12,天賜喜,新力好,熾烈神駒,巴度,蔡明紹,4,128,116
2025-01-08,HV,grass,好,1200,332,08,飈誌,12,4,2,46.47,47.39,0.19,23.56,0.86,70.95,1.05,7 10 8,健康心靈,綫路達飛,嘉應威風,希威森,蔡明紹,4,128,116
2025-01-22,HV,grass,好,1200,368,09,飈誌,12,4,6,45.97,46.89,-0.31,23.74,1.04,70.63,0.73,9 8 9,金發盛世,砂漿金剛,快樂老撾,何澤堯,蔡明紹,4,125,116
2025-02-19,HV,grass,好,1200,439,06,飈誌,12,4,1,46.13,47.13,-0.07,23.2,0.5,70.33,0.43,10 11 6,智勝攻略,多利神駒,有鴻利,田泰安,蔡明紹,4,123,116
2025-03-12,HV,grass,好/快,1200,498,04,飈誌,12,4,1,46.16,46.36,-0.84,23.87,1.17,70.23,0.33,4 4 4,好精神,電玩精英,競馬一心,田泰安,蔡明紹,4,122,116
2025-03-23,ST,grass,好/快,1400,524,08,飈誌,12,4,14,58.2,58.92,0.32,23.03,-0.37,81.95,-0.05,12 11 9 8,綠野飛馳,小皇爺,火焰閃爍,艾兆禮,蔡明紹,4,122,116
2025-04-16,HV,grass,好/快,1650,594,01,飈誌,12,4,4,75.57,75.57,-0.28,24.07,-0.18,99.64,-0.46,1 1 1 1,飈誌,馬主雄風,翠兒威威,潘頓,蔡明紹,4,121,116
2025-05-07,HV,grass,好,1650,656,05,飈誌,12,4,12,75.73,75.81,-0.04,24.88,0.63,100.69,0.59,3 2 2 5,大學生,論文,銀騰,潘頓,蔡明紹,4,127,116
2025-05-28,HV,grass,好/快,1650,715,05,飈誌,12,4,5,75.57,75.57,-0.28,24.8,0.55,100.37,0.27,2 2 1 5,滿心星,奮鬥輝煌,爆笑,布文,蔡明紹,4,127,116
2025-06-11,HV,grass,好/快,1650,749,05,飈誌,12,4,4,75.9,76.26,0.41,24.26,0.01,100.52,0.42,3 5 5 5,君智盛,博愛先鋒,多利神駒,布文,蔡明紹,4,130,116
2025-06-28,ST,dirt,濕慢,1650,793,10,飈誌,12,4,1,75.12,75.12,-0.13,26.63,2.83,101.75,2.7,1 1 2 10,川河型駒,風繼續吹,閃耀威龍,艾兆禮,蔡明紹,4,126,116
2025-11-26,HV,grass,好/快,1200,213,08,飈誌,12,4,8,47.38,47.86,0.66,22.75,0.05,70.61,0.71,8 6 8,喵喵怪,官金騏,花好月盈,艾兆禮,蔡明紹,4,124,116
2025-12-17,HV,grass,好,1650,267,06,飈誌,12,4,7,76.73,76.77,0.92,24.37,0.12,101.14,1.04,2 2 2 6,加州活力,本領非凡,巴閉佬,艾兆禮,蔡明紹,4,122,116
2026-01-07,HV,grass,好,1650,327,10,飈誌,12,4,7,74.88,74.88,-0.97,27.65,3.4,102.53,2.43,1 1 1 10,佳福駒,祥勝將軍,瑞祺威楓,艾兆禮,蔡明紹,4,120,116
2026-02-04,HV,grass,好/快,1650,409,11,飈誌,12,4,12,75.73,75.85,0.0,25.39,1.14,101.24,1.14,2 2 2 11,翠兒威威,隨緣得勝,哥倫布,希威森,蔡明紹,4,118,116
2026-02-25,HV,grass,好,1200,469,03,飈誌,12,4,9,46.14,46.34,-0.86,24.0,1.3,70.34,0.44,6 3 3,有盈勇士,智勝攻略,飈誌,蔡明紹,蔡明紹,4,116,116
