日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-22,ST,grass,好,1200,279,05,泰泰精神,7,2,9,45.46,46.46,-0.44,22.75,0.3,69.21,-0.14,7 8 5,非凡達,衝上雲霄,高感,貝知仁,艾兆禮,4,128,122
2025-01-08,HV,grass,好,1200,332,06,泰泰精神,7,2,6,46.47,47.31,0.11,23.41,0.71,70.72,0.82,10 9 6,健康心靈,綫路達飛,嘉應威風,潘頓,艾兆禮,4,128,122
2025-01-22,HV,grass,好,1200,369,01,泰泰精神,7,2,6,46.67,47.19,-0.01,22.8,0.1,69.99,0.09,7 6 1,泰泰精神,千杯敬典,運來伍寶,潘頓,艾兆禮,4,127,122
2025-02-16,ST,grass,好/快,1400,431,04,泰泰精神,7,2,9,57.85,58.85,0.25,22.96,-0.44,81.81,-0.19,10 11 10 4,勇冠群英,竣誠駒,快樂老撾,艾道拿,艾兆禮,4,134,122
2025-03-23,ST,grass,好/快,1400,526,03,泰泰精神,7,2,7,57.91,58.99,0.39,22.68,-0.72,81.67,-0.33,14 14 14 3,深心星,哈羅威,泰泰精神,莫雅,艾兆禮,4,134,122
2025-05-04,ST,grass,好/快,1400,647,07,泰泰精神,7,2,12,57.64,59.28,0.68,22.64,-0.76,81.92,-0.08,12 12 12 7,一定超,勁沙塵,凱旋幸運,艾道拿,艾兆禮,4,135,122
2025-05-25,ST,grass,好,1400,703,05,泰泰精神,7,2,11,58.18,58.94,0.34,23.0,-0.4,81.94,-0.06,13 14 12 5,紫荊拼搏,勁沙塵,銳一,麥道朗,艾兆禮,4,135,122
2025-06-08,ST,grass,好/快,1400,742,08,泰泰精神,7,2,13,58.74,59.94,1.34,22.91,-0.49,82.85,0.85,14 14 14 8,久久為軍,多彩多姿,同心同樂,田泰安,艾兆禮,4,133,122
2025-07-01,ST,grass,好,1400,800,01,泰泰精神,7,2,2,58.06,58.58,-0.02,23.33,-0.07,81.91,-0.09,5 5 4 1,泰泰精神,中國心,銀騰,艾道拿,艾兆禮,4,131,122
2025-07-13,ST,grass,好/快,1400,838,03,泰泰精神,7,2,7,57.83,58.71,0.21,22.52,-0.63,81.23,-0.42,10 12 10 3,美麗星晨,勇冠群英,泰泰精神,蔡明紹,艾兆禮,3,119,122
2025-09-07,ST,grass,好,1400,010,03,泰泰精神,7,2,5,58.47,58.87,0.37,22.81,-0.34,81.68,0.03,7 9 7 3,同樣美麗,嘉應巨昇,泰泰精神,艾兆禮,艾兆禮,3,120,122
2025-09-28,ST,grass,好/快,1400,054,06,泰泰精神,7,2,11,58.66,59.34,0.84,22.72,-0.43,82.06,0.41,11 9 9 6,同樣美麗,南區之星,醒目先駒,艾兆禮,艾兆禮,3,123,122
2025-10-19,ST,grass,好/快,1600,113,06,泰泰精神,7,2,14,70.08,70.68,-0.22,23.29,-0.51,93.97,-0.73,14 12 10 6,火焰閃爍,幸運派彩,勁沙塵,蔡明紹,艾兆禮,3,120,122
2025-11-02,HV,grass,好/快,1650,150,03,泰泰精神,7,2,6,77.22,77.9,2.25,22.73,-1.52,100.63,0.73,9 9 10 3,我做到,蓮冠皇,泰泰精神,艾道拿,艾兆禮,3,121,122
2025-11-15,ST,grass,好,1600,188,10,泰泰精神,7,2,9,71.52,72.04,1.14,23.27,-0.53,95.31,0.61,12 12 12 10,美麗星晨,英駿飛駒,勁沙塵,艾兆禮,艾兆禮,3,120,122
2025-12-03,HV,grass,好,1800,234,09,泰泰精神,7,2,8,85.4,86.8,1.8,22.87,-1.58,109.67,0.22,11 11 11 11 9,春風萬里,奔放,龍文鞭影,田泰安,艾兆禮,3,120,122
2026-01-07,HV,grass,好,1200,332,04,泰泰精神,7,2,4,46.59,46.91,-0.14,22.98,0.43,69.89,0.29,6 5 4,精彩駿將,好節拍,太子,蔡明紹,艾兆禮,3,119,122
2026-01-28,HV,grass,好/快,1200,391,05,泰泰精神,7,2,7,46.53,47.29,0.24,22.24,-0.31,69.53,-0.07,8 9 5,友愛心得,幸運星球,精彩駿將,艾兆禮,艾兆禮,3,118,122
2026-02-11,HV,grass,好/快,1200,433,04,泰泰精神,7,2,10,46.13,46.93,-0.12,22.6,0.05,69.53,-0.07,10 7 4,幸運星球,美麗邂逅,乘數表,艾兆禮,艾兆禮,3,118,122
2026-02-25,HV,grass,好,1200,473,02,泰泰精神,7,2,3,46.15,46.75,-0.3,22.6,0.05,69.35,-0.25,8 9 2,好節拍,泰泰精神,鈁糖武士,紀仁安,艾兆禮,3,119,122
