日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-12,HV,grass,好,1200,748,09,競駿非凡,6,4,4,46.48,47.32,0.27,23.75,1.2,71.07,1.47,9 9 9,幸運旅程,加州得力,雪勇神駒,董明朗,梁家俊,3,119,123
2024-07-04,HV,grass,好,1200,801,03,競駿非凡,6,4,3,46.31,46.71,-0.34,24.02,1.47,70.73,1.13,6 3 3,錶壇精英,穿甲鷹,競駿非凡,班德禮,梁家俊,3,119,123
2024-09-18,HV,grass,好,1200,035,03,競駿非凡,6,4,5,46.4,47.24,0.19,22.89,0.34,70.13,0.53,9 9 3,勇敢巨星,添開心,競駿非凡,田泰安,梁家俊,3,124,123
2024-10-16,HV,grass,好/快,1200,110,07,競駿非凡,6,4,6,46.07,46.55,-0.5,23.28,0.73,69.83,0.23,6 7 7,家樂龍駒,得道猴王,伊臣,田泰安,梁家俊,3,123,123
2024-11-03,ST,grass,好/快,1200,154,11,競駿非凡,6,4,5,46.24,46.88,0.23,23.28,0.93,70.16,1.16,6 7 11,輝煌精英,愛馬善,展雄威,霍宏聲,梁家俊,3,124,123
2024-12-26,HV,grass,好,1200,295,05,競駿非凡,6,4,7,45.96,46.72,-0.33,22.94,0.39,69.66,0.06,7 7 5,晨曦儷人,美麗緣分,雪勇神駒,班德禮,梁家俊,3,121,123
2025-01-08,HV,grass,好,1200,335,03,競駿非凡,6,4,10,45.86,47.1,0.05,22.59,0.04,69.69,0.09,10 10 3,連連幸運,椒椒醒,競駿非凡,班德禮,梁家俊,3,120,123
2025-01-22,HV,grass,好,1200,374,03,競駿非凡,6,4,12,46.76,47.4,0.35,22.33,-0.22,69.73,0.13,11 9 3,美麗緣分,天足貓,競駿非凡,班德禮,梁家俊,3,120,123
2025-02-19,HV,grass,好,1200,445,06,競駿非凡,6,4,2,46.77,47.21,0.16,23.31,0.76,70.52,0.92,6 6 6,得道猴王,椒椒醒,實力加,班德禮,梁家俊,3,120,123
2025-03-12,HV,grass,好/快,1200,503,04,競駿非凡,6,4,7,45.75,46.63,-0.42,22.73,0.18,69.36,-0.24,8 9 4,無限美麗,運高八斗,川河動駒,班德禮,梁家俊,3,121,123
2025-04-09,HV,grass,好/快,1200,580,07,競駿非凡,6,4,9,46.36,47.08,0.03,22.95,0.4,70.03,0.43,9 8 7,金發盛世,風雲武士,鈁糖武士,班德禮,梁家俊,3,116,123
2025-05-28,HV,grass,好/快,1200,713,01,競駿非凡,6,4,6,46.36,46.48,-0.72,23.25,0.55,69.73,-0.17,4 3 1,競駿非凡,好節拍,加州得力,布文,梁家俊,4,134,123
2025-06-25,HV,grass,好/快,1200,786,03,競駿非凡,6,4,7,46.64,47.32,0.27,22.28,-0.27,69.6,0.0,9 9 3,騰龍四海,電源之駒,競駿非凡,艾兆禮,梁家俊,3,119,123
2025-07-16,HV,grass,好/快,1200,847,07,競駿非凡,6,4,3,45.43,45.91,-1.14,23.62,1.07,69.53,-0.07,6 6 7,至尊瑰寶,勇霸龍,維港激流,艾兆禮,梁家俊,3,120,123
2025-10-08,HV,grass,好/快,1200,084,10,競駿非凡,6,4,11,46.03,46.95,-0.1,22.79,0.24,69.74,0.14,11 12 10,家樂龍駒,天外迎天,樂勝天下,巴度,梁家俊,3,120,123
2025-11-05,HV,grass,好/快,1200,158,09,競駿非凡,6,4,11,45.83,47.03,-0.02,23.16,0.61,70.19,0.59,12 11 9,至尊瑰寶,椒椒醒,盈妍威楓,杜苑欣,梁家俊,3,124,123
2025-12-14,ST,grass,好,1200,255,02,競駿非凡,6,4,2,46.43,46.83,0.18,23.06,0.71,69.89,0.89,8 8 2,喜蓮勁感,競駿非凡,綫路滿貫,班德禮,梁家俊,3,121,123
2026-01-01,ST,grass,好,1200,313,13,競駿非凡,6,4,11,46.16,47.08,0.43,23.39,1.04,70.47,1.47,9 10 13,晒冷,千帆駒,狼來了,田泰安,梁家俊,3,121,123
2026-01-28,HV,grass,好/快,1200,393,12,競駿非凡,6,4,5,46.44,46.6,-0.45,24.05,1.5,70.65,1.05,3 2 12,粵港資駒,太子,飛輪霸,紀仁安,梁家俊,3,122,123
