日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-22,ST,grass,好,1400,108,10,快路,8,4,10,57.94,59.02,0.52,23.25,0.1,82.27,0.62,13 13 14 10,大紅袍,宜春火力,潮州精神,董明朗,楊明綸,3,123,127
2023-11-05,ST,grass,好,1400,147,11,快路,8,4,6,57.72,59.32,0.82,23.39,0.24,82.71,1.06,12 13 14 11,飛鷹翱翔,堅又威,一定美麗,潘明輝,楊明綸,3,115,127
2023-12-26,ST,grass,好,1600,285,01,快路,8,4,14,71.18,72.54,1.44,22.84,-0.96,95.38,0.48,14 14 14 1,快路,豪堡,縱橫大進,楊明綸,楊明綸,4,135,127
2024-01-13,ST,grass,好,1600,341,01,快路,8,4,6,71.44,72.16,1.26,22.74,-1.06,94.9,0.2,10 12 13 1,快路,精算謀略,金佰令,楊明綸,楊明綸,3,117,127
2024-03-31,ST,grass,好,1600,549,13,快路,8,4,6,71.83,72.95,2.05,24.49,0.69,97.44,2.74,7 9 12 13,手到再來,旗幟鬥士,時時稱心,艾道拿,楊明綸,3,133,127
2024-05-01,HV,grass,好/黏,1650,634,08,快路,8,4,9,75.72,76.44,0.79,25.12,0.87,101.56,1.66,7 8 7 8,黃腳鱲,浪漫老撾,喜旺駒,班德禮,楊明綸,3,128,127
2024-07-14,ST,grass,好,1600,830,06,快路,8,4,9,71.22,72.02,1.12,23.32,-0.48,95.34,0.64,8 10 13 6,競駿飛翔,好勁力,星運少爵,鍾易禮,楊明綸,3,125,127
2024-09-22,ST,grass,好/黏,1600,042,06,快路,8,4,4,71.93,72.65,1.75,24.06,0.26,96.71,2.01,6 8 9 6,都靈星球,明亮天下,非惟僥倖,鍾易禮,楊明綸,3,121,127
2024-10-20,ST,grass,好/快,1600,119,02,快路,8,4,12,71.44,72.44,1.54,22.41,-1.39,94.85,0.15,13 13 14 2,愛心神駒,快路,久久為尊,鍾易禮,楊明綸,3,123,127
2024-11-09,ST,grass,好/快,1600,175,08,快路,8,4,9,70.04,71.24,0.34,23.08,-0.72,94.32,-0.38,14 14 14 8,遨遊武士,豐盛,久久為尊,鍾易禮,楊明綸,3,122,127
