日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-11,ST,grass,好/快,1000,658,08,智勇名駒,6,6,2,33.51,34.23,-1.57,23.18,2.53,57.41,0.96,7 9 8,嘉應獎昇,水晶酒杯,怡心聲,艾兆禮,希威森,3,121,128
2024-05-29,ST,dirt,好,1650,711,11,智勇名駒,6,6,13,75.39,75.51,0.66,25.04,1.29,100.55,1.95,2 2 3 11,柏林探戈,好好心得,精彩動力,艾兆禮,希威森,3,119,128
2024-06-15,ST,dirt,濕慢,1200,758,09,智勇名駒,6,6,9,45.23,46.23,-0.27,26.21,4.16,72.44,3.89,3 8 9,喜至寶,自強不息,凱旋時光,希威森,希威森,3,117,128
2024-07-06,ST,grass,好/快,1400,810,06,智勇名駒,6,6,12,58.01,58.01,-0.49,23.62,0.47,81.63,-0.02,1 1 1 6,安康萬里,以戰常勝,駿奕快車,楊明綸,希威森,3,119,128
2024-09-08,ST,grass,好/黏,1400,006,05,智勇名駒,6,6,1,58.75,58.91,0.31,23.67,0.27,82.58,0.58,3 2 2 5,奔妙星,堅闖,君達得,何澤堯,希威森,4,132,128
2024-09-22,ST,grass,黏,1400,044,06,智勇名駒,6,6,11,58.77,58.97,0.37,24.37,0.97,83.34,1.34,3 3 3 6,智智多寶,初戀,大勢至富,希威森,希威森,4,131,128
2024-10-16,HV,grass,好,1650,105,04,智勇名駒,6,6,7,75.25,75.33,-0.52,24.62,0.37,99.95,-0.15,2 2 2 4,得意佳作,領創動力,獎星,希威森,希威森,4,131,128
2024-10-30,HV,grass,好,1650,143,03,智勇名駒,6,6,5,75.79,75.79,-0.06,24.94,0.69,100.73,0.63,1 1 1 3,川河首駒,香港神駒,智勇名駒,希威森,希威森,4,129,128
2024-11-09,ST,dirt,好,1650,170,12,智勇名駒,6,6,9,74.22,74.26,-0.99,26.5,2.7,100.76,1.71,3 1 3 12,超旺財,連連歡呼,天威,希威森,希威森,4,130,128
2024-12-26,HV,grass,好,1650,294,02,智勇名駒,6,6,5,75.76,75.92,0.07,23.83,-0.42,99.75,-0.35,2 2 2 2,追風,智勇名駒,香港神駒,希威森,希威森,4,129,128
2025-01-15,HV,grass,好,1800,348,07,智勇名駒,6,6,9,84.59,84.71,-0.59,25.47,1.12,110.18,0.53,3 3 4 2 7,盈益善,獎星,大將,艾兆禮,希威森,4,129,128
2025-02-19,HV,grass,好,1650,441,10,智勇名駒,6,6,4,75.78,76.1,0.25,24.89,0.64,100.99,0.89,3 4 5 10,論文,非凡豪傑,魔法速遞,希威森,希威森,4,128,128
2025-03-12,HV,grass,好/快,1650,500,01,智勇名駒,6,6,7,75.79,75.79,-0.06,23.87,-0.38,99.66,-0.44,1 1 1 1,智勇名駒,爆笑,論文,希威森,希威森,4,126,128
2025-04-02,HV,grass,好/快,1650,553,01,智勇名駒,6,6,2,74.82,74.82,-1.03,23.6,-0.65,98.42,-1.68,1 1 1 1,智勇名駒,香港神駒,盈好威楓,希威森,希威森,4,132,128
2025-04-16,HV,grass,好/快,1650,600,02,智勇名駒,6,6,7,75.6,75.6,-0.05,23.72,-0.53,99.32,-0.58,2 2 1 2,有財有勢,智勇名駒,將義,希威森,希威森,3,118,128
2025-05-07,HV,grass,好,1650,657,03,智勇名駒,6,6,7,75.23,75.23,-0.42,24.01,-0.24,99.24,-0.66,1 1 1 3,瑪瑙,勝意,智勇名駒,霍宏聲,希威森,3,121,128
2025-06-04,HV,grass,好/黏,1650,735,02,智勇名駒,6,6,2,74.99,74.99,-0.66,24.68,0.43,99.67,-0.23,1 1 1 2,瑪瑙,智勇名駒,信心星,希威森,希威森,3,124,128
2025-07-16,HV,grass,好/快,1650,845,01,智勇名駒,6,6,12,74.19,74.19,-1.46,24.15,-0.1,98.34,-1.56,1 1 1 1,智勇名駒,盈好威楓,大學生,潘頓,希威森,3,128,128
2025-09-10,HV,grass,好,1650,015,02,智勇名駒,6,6,1,75.39,75.39,-0.26,24.28,0.03,99.67,-0.23,1 1 1 2,龍文鞭影,智勇名駒,我做到,潘頓,希威森,3,130,128
2025-10-15,HV,grass,好/快,1800,103,07,智勇名駒,6,6,11,84.03,84.15,-0.85,24.64,0.19,108.79,-0.66,2 2 2 2 7,星價,龍文鞭影,盈益善,何澤堯,希威森,3,133,128
2025-11-19,HV,grass,好,1650,197,11,智勇名駒,6,6,2,75.09,75.09,-0.56,25.33,1.08,100.42,0.52,2 2 1 11,勁好運,非凡豪傑,暴風之子,布文,希威森,3,134,128
2025-12-10,HV,grass,好,1650,251,05,智勇名駒,6,6,12,75.99,76.11,0.46,24.34,0.09,100.45,0.55,4 2 2 5,銀亮奔騰,非凡豪傑,勁沙塵,李寶利,希威森,3,135,128
2026-01-28,HV,grass,好/快,1800,392,09,智勇名駒,6,6,6,84.0,84.56,-0.44,24.23,-0.22,108.79,-0.66,4 4 4 4 9,中國心,奔放,發財先鋒,紀仁安,希威森,3,131,128
