日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-23,ST,dirt,好,1200,125,07,樂矚心機,14,12,7,45.72,46.96,0.11,23.65,1.55,70.61,1.66,11 11 7,陽光寶貝,有派頭,快馬加鞭,楊明綸,楊明綸,4,128,115
2024-11-17,ST,grass,好,1400,183,13,樂矚心機,14,12,4,58.29,58.77,0.17,25.62,2.22,84.39,2.39,10 6 7 13,愛意龍,超風速,極速贏,楊明綸,楊明綸,4,127,115
2024-12-11,HV,grass,好,1200,252,09,樂矚心機,14,12,6,46.29,47.25,0.05,23.63,0.93,70.88,0.98,10 11 9,美麗之光,電訊龍駒,富國兄弟,楊明綸,楊明綸,4,125,115
2025-01-01,ST,grass,好,1400,311,13,樂矚心機,14,12,4,58.96,59.84,1.24,24.09,0.69,83.93,1.93,10 8 9 13,十二神將,時尚歡欣,皇仁歡星,楊明綸,楊明綸,4,123,115
2025-01-19,ST,grass,好,1200,356,12,樂矚心機,14,12,14,46.66,47.58,0.68,23.13,0.68,70.71,1.36,11 9 12,熾烈神駒,喜尊龍,智勝攻略,鍾易禮,楊明綸,4,120,115
2025-02-12,ST,dirt,濕慢,1200,420,08,樂矚心機,14,12,12,46.22,47.42,0.57,24.38,2.28,71.8,2.85,12 12 8,日日獎,五福星,火神神樂,巫顯東,楊明綸,4,119,115
2025-03-26,ST,dirt,好,1650,536,13,樂矚心機,14,12,3,74.61,75.53,0.28,24.9,1.1,100.43,1.38,9 9 12 13,超加加,時間寶,幻影旋風,楊明綸,楊明綸,4,117,115
2025-06-11,HV,grass,好/快,1650,747,12,樂矚心機,14,12,1,76.6,77.52,1.47,24.27,0.02,101.79,1.49,9 9 10 12,風雲,威威父子,俏郎中,楊明綸,楊明綸,5,134,115
2025-07-05,ST,dirt,好,1200,809,11,樂矚心機,14,12,10,46.33,47.21,0.21,23.52,1.17,70.73,1.38,11 10 11,五福星,東方寶寶,旋風飛颺,奧爾民,楊明綸,5,129,115
2025-10-04,ST,dirt,好,1650,066,07,樂矚心機,14,12,5,74.67,76.07,0.62,25.31,1.31,101.38,1.93,10 10 8 7,精明選擇,午夜快車,爆熱,楊明綸,楊明綸,5,125,115
2025-10-30,ST,dirt,好,1650,133,07,樂矚心機,14,12,11,76.5,77.18,1.73,25.16,1.16,102.34,2.89,12 11 11 7,午夜快車,魔法速遞,領創動力,楊明綸,楊明綸,5,123,115
2025-11-26,HV,grass,好/快,1650,209,10,樂矚心機,14,12,8,76.16,77.12,1.07,23.76,-0.49,100.88,0.58,11 11 12 10,耀昌勝世,荃程路通,禾道威,楊明綸,楊明綸,5,121,115
2025-12-20,ST,grass,好,1400,273,11,樂矚心機,14,12,11,58.87,59.63,0.68,23.78,0.43,83.41,1.11,12 10 10 11,綫路萬里,飛躍凱旋,劍無情,梁家俊,楊明綸,5,119,115
2025-12-27,ST,dirt,好,1800,296,10,樂矚心機,14,12,14,86.39,87.67,2.47,23.72,-0.53,111.39,1.94,13 13 13 11 10,領創動力,香港精神,美麗歡聲,楊明綸,楊明綸,5,117,115
2026-01-21,ST,dirt,好,1650,366,04,樂矚心機,14,12,3,75.01,75.29,-0.16,24.07,0.07,99.36,-0.09,6 5 4 4,悠悠乾坤,幻影旋風,時間寶,楊明綸,楊明綸,5,115,115
