日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-10,ST,grass,黏,1600,001,08,美麗多盈,10,4,9,71.49,71.49,-0.11,25.65,1.8,97.14,1.69,2 2 2 8,飛來勁,揚威四方,爸巴閉,鍾易禮,鍾易禮 (-2),5,116,124
2023-09-27,HV,grass,好,1650,047,03,美麗多盈,10,4,5,77.19,77.51,1.46,23.3,-0.95,100.81,0.51,4 3 4 3,着着領先,飛躍凱旋,美麗多盈,艾道拿,鍾易禮 (-2),5,122,124
2023-10-11,HV,grass,好,1650,075,05,美麗多盈,10,4,4,75.19,75.83,-0.22,24.76,0.51,100.59,0.29,9 8 7 5,國大合,又享耆成,生生福運,艾道拿,鍾易禮 (-2),5,121,124
2023-10-29,HV,grass,好,1650,121,06,美麗多盈,10,4,7,77.49,77.89,1.84,24.15,-0.1,102.04,1.74,6 5 6 6,恆駿之寶,勇進齊心,蟲草之凰,蔡明紹,鍾易禮 (-2),5,120,124
2023-11-11,ST,grass,好,2000,158,09,美麗多盈,10,4,4,99.18,99.42,0.72,24.66,0.71,124.08,1.43,2 3 6 4 9,國大合,烽煙載喜,日就月將,鍾易禮,鍾易禮 (-2),5,114,124
2023-12-17,ST,grass,好,1800,254,07,美麗多盈,10,4,3,84.73,84.73,0.48,25.62,1.42,110.35,1.9,2 1 1 1 7,豐盛多彩,滿載歸來,鑽石福將,鍾易禮,鍾易禮 (-2),5,110,124
2023-12-26,ST,grass,好,1400,280,05,美麗多盈,10,4,6,59.65,60.45,1.5,22.92,-0.43,83.37,1.07,12 11 11 5,魅力一丁,荃程路通,富存大師,董明朗,鍾易禮 (-2),5,117,124
2024-01-13,ST,grass,好,1400,333,02,美麗多盈,10,4,3,59.06,59.74,0.79,23.45,0.1,83.19,0.89,13 13 13 2,荃程路通,美麗多盈,閃耀將神,鍾易禮,鍾易禮 (-2),5,110,124
2024-01-28,ST,grass,好,1600,370,01,美麗多盈,10,4,13,71.9,72.58,0.98,23.85,0.0,96.43,0.98,14 14 12 1,美麗多盈,閃耀將神,喜報圍家,鍾易禮,鍾易禮 (-2),5,110,124
2024-02-12,ST,grass,好,1400,408,03,美麗多盈,10,4,8,58.4,59.24,0.29,23.55,0.2,82.79,0.49,13 13 10 3,荃程路通,綠族威,美麗多盈,鍾易禮,鍾易禮 (-2),5,115,124
2024-02-25,ST,grass,好,1600,448,04,美麗多盈,10,4,12,72.18,73.1,1.5,23.25,-0.6,96.35,0.9,13 11 11 4,小神仙,摘星光輝,珍珠哥,鍾易禮,鍾易禮 (-2),5,115,124
2024-03-10,ST,grass,好,1800,484,01,美麗多盈,10,4,8,85.61,85.93,1.68,23.17,-1.03,109.1,0.65,6 6 5 4 1,美麗多盈,豐盛多彩,美滿星雲,艾道拿,鍾易禮 (-2),5,120,124
2024-03-20,HV,grass,好,1800,513,06,美麗多盈,10,4,4,85.34,86.42,0.87,24.18,-0.22,110.6,0.65,11 11 12 11 6,傲龍駒,爸巴閉,綫路菁英,艾道拿,鍾易禮 (-2),5,130,124
2024-04-17,HV,grass,好,1650,590,04,美麗多盈,10,4,4,76.92,77.72,1.67,23.41,-0.84,101.13,0.83,7 7 7 4,北海盜,贏盡天下,無敵精英,潘頓,鍾易禮 (-2),5,128,124
2024-05-08,HV,grass,好,1650,649,05,美麗多盈,10,4,10,75.72,76.88,0.83,24.68,0.43,101.56,1.26,11 10 10 5,天時明駒,飛騰騅,領航傳祺,潘頓,鍾易禮 (-2),5,128,124
2024-05-26,ST,grass,好,1600,695,01,美麗多盈,10,4,5,71.7,72.06,0.46,23.03,-0.82,95.09,-0.36,9 8 7 1,美麗多盈,極速之星,友誼喜悅,潘頓,鍾易禮 (-2),5,127,124
2024-06-15,ST,grass,軟,1600,753,03,美麗多盈,10,4,14,72.83,73.11,1.51,24.19,0.34,97.3,1.85,11 12 7 3,領航傳祺,皮具大師,美麗多盈,潘頓,鍾易禮 (-2),5,135,124
2024-07-06,ST,grass,好/快,1600,804,01,美麗多盈,10,4,3,71.56,72.04,0.44,22.65,-1.2,94.69,-0.76,9 9 7 1,美麗多盈,鑽石福將,喜報圍家,潘頓,鍾易禮 (-2),5,135,124
2024-09-15,ST,grass,好/快,1600,019,07,美麗多盈,10,4,7,70.63,71.51,0.41,23.19,-0.61,94.7,-0.2,8 7 8 7,共享富裕,精算特殊,神駒馬靈,艾道拿,鍾易禮 (-2),4,121,124
2024-10-01,ST,grass,好/快,1800,070,12,美麗多盈,10,4,12,83.9,85.06,1.41,23.67,-0.53,108.73,0.88,14 13 13 14 12,國大合,一支箭,慶萬家,鍾易禮,鍾易禮 (-2),4,120,124
2024-10-23,ST,dirt,好,1650,123,07,美麗多盈,10,4,4,75.42,76.34,1.09,25.17,1.37,101.51,2.46,11 11 11 7,天威,歡喜福星,客家之光,鍾易禮,鍾易禮 (-2),4,119,124
2024-11-24,ST,grass,好,1600,207,12,美麗多盈,10,4,8,69.9,70.7,-0.4,24.76,0.96,95.46,0.56,11 11 11 12,江南勇士,昭易搵,連連歡呼,艾道拿,鍾易禮 (-2),4,122,124
2025-01-19,ST,grass,好,1600,358,12,美麗多盈,10,4,13,70.34,71.18,0.08,24.71,0.91,95.89,0.99,11 11 13 12,金主,卓越蒨鋒,勁大威猛,鍾易禮,鍾易禮 (-2),4,116,124
2025-03-02,ST,grass,好,1200,469,14,美麗多盈,10,4,5,46.75,47.55,0.65,23.66,1.21,71.21,1.86,9 10 14,極速贏,天下寵兒,鼓浪高升,鍾易禮,鍾易禮 (-2),4,114,124
2025-03-15,ST,grass,好/快,1600,506,09,美麗多盈,10,4,11,70.71,71.63,0.03,23.57,-0.28,95.2,-0.25,11 11 12 9,神駒馬靈,皮具大師,駿彩飛馳,鍾易禮,鍾易禮 (-2),5,132,124
2025-03-26,ST,dirt,好,1800,534,08,美麗多盈,10,4,11,83.79,84.51,-0.69,25.03,0.78,109.54,0.09,9 7 5 6 8,精明選擇,星雲浩騰,大利好運,鍾易禮,鍾易禮 (-2),5,129,124
2025-05-10,ST,grass,好,1600,659,08,美麗多盈,10,4,14,71.2,72.4,0.8,23.64,-0.21,96.04,0.59,13 13 12 8,肥仔精神,背背龍,勝得福,巴度,鍾易禮 (-2),5,130,124
2025-05-31,ST,grass,好,1400,717,12,美麗多盈,10,4,7,58.69,59.33,0.38,24.13,0.78,83.46,1.16,10 10 9 12,文明福星,綫路神驊,綫路萬里,巴度,鍾易禮 (-2),5,127,124
2025-06-14,ST,grass,好,1600,757,01,美麗多盈,10,4,1,72.73,72.93,1.33,22.79,-1.06,95.72,0.27,4 3 2 1,美麗多盈,勝得福,無極勇將,鍾易禮,鍾易禮 (-2),5,124,124
2025-07-05,ST,grass,好/快,1600,811,04,美麗多盈,10,4,5,71.48,71.84,0.24,23.5,-0.35,95.34,-0.11,7 6 5 4,佳福駒,駿彩飛馳,無極勇將,鍾易禮,鍾易禮 (-2),5,130,124
2025-09-07,ST,grass,好,1600,002,07,美麗多盈,10,4,3,70.88,71.28,-0.32,24.31,0.46,95.59,0.14,8 8 6 7,桃花多,富裕君子,同寶寶,鍾易禮,鍾易禮 (-2),5,130,124
2025-09-28,ST,grass,好,1600,047,09,美麗多盈,10,4,11,70.47,71.23,-0.37,23.99,0.14,95.22,-0.23,12 11 9 9,瀧澤飛駒,桃花多,武林至尊,鍾易禮,鍾易禮 (-2),5,130,124
2025-10-26,ST,grass,好/快,1800,123,12,美麗多盈,10,4,11,83.29,83.65,-0.6,24.95,0.75,108.6,0.15,11 11 8 5 12,齊歡最樂,型到爆,悠悠乾坤,鍾易禮,鍾易禮 (-2),5,130,124
