日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-03-31,ST,grass,好,1600,549,09,嘉應巨昇,9,8,9,71.83,72.55,1.65,24.12,0.32,96.67,1.97,2 2 3 9,手到再來,旗幟鬥士,時時稱心,蔡明紹,潘明輝,3,123,123
2024-04-28,ST,grass,黏,1600,618,10,嘉應巨昇,9,8,10,69.99,72.07,1.17,24.33,0.53,96.4,1.7,11 11 11 10,話你知,遨遊武士,隱形翅膀,蔡明紹,潘明輝,3,119,123
2024-11-24,ST,grass,好/快,1400,209,03,嘉應巨昇,9,8,8,57.65,57.65,-0.85,23.99,0.84,81.64,-0.01,4 1 1 3,川河帥駒,本領輝煌,嘉應巨昇,蔡明紹,潘明輝,3,117,123
2024-12-22,ST,grass,好,1400,285,05,嘉應巨昇,9,8,12,57.97,57.97,-0.53,23.77,0.62,81.74,0.09,1 1 1 5,玩笑,同樣美麗,本領輝煌,蔡明紹,潘明輝,3,116,123
2025-01-19,ST,grass,好/快,1400,364,07,嘉應巨昇,9,8,11,58.89,58.89,0.39,23.41,0.26,82.3,0.65,6 2 2 7,有目共賞,信心星,實力派,蔡明紹,潘明輝,3,115,123
2025-02-09,ST,grass,好,1400,410,05,嘉應巨昇,9,8,14,58.39,58.83,0.23,23.61,0.21,82.44,0.44,8 4 5 5,旋風傳奇,翠湖烈風,八正道,蔡明紹,潘明輝,4,133,123
2025-03-09,ST,grass,好/快,1400,490,03,嘉應巨昇,9,8,5,58.33,58.85,0.25,23.17,-0.23,82.02,0.02,9 8 7 3,豐辰,威武年代,嘉應巨昇,田泰安,潘明輝,4,132,123
2025-04-06,ST,grass,好,1400,569,11,嘉應巨昇,9,8,6,57.86,57.9,-0.7,24.88,1.48,82.78,0.78,1 1 2 11,紅衣醒目,準輝煌,紫荊拼搏,潘明輝,潘明輝,4,134,123
2025-05-04,ST,grass,好/快,1400,645,01,嘉應巨昇,9,8,1,58.71,58.91,0.31,22.83,-0.57,81.74,-0.26,2 4 4 1,嘉應巨昇,紫荊拼搏,多彩多姿,潘明輝,潘明輝,4,132,123
2025-05-25,ST,grass,好,1400,707,07,嘉應巨昇,9,8,2,56.93,57.45,-1.05,24.35,1.2,81.8,0.15,7 7 6 7,喜尊龍,綠野飛馳,南區之星,潘明輝,潘明輝,3,119,123
2025-07-01,ST,grass,好,1600,807,10,嘉應巨昇,9,8,11,70.1,70.62,-0.28,24.63,0.83,95.25,0.55,3 4 7 10,元朗精英,昭易搵,本領輝煌,潘明輝,潘明輝,3,119,123
2025-09-07,ST,grass,好,1400,010,02,嘉應巨昇,9,8,2,58.47,58.79,0.29,22.85,-0.3,81.64,-0.01,5 5 6 2,同樣美麗,嘉應巨昇,泰泰精神,潘明輝,潘明輝,3,118,123
2025-10-01,ST,grass,好/快,1400,065,14,嘉應巨昇,9,8,9,58.13,58.65,0.15,23.71,0.56,82.36,0.71,6 5 8 14,勁沙塵,銀亮奔騰,喜尊龍,潘明輝,潘明輝,3,120,123
2025-10-26,ST,grass,好/快,1400,132,13,嘉應巨昇,9,8,6,58.76,59.08,0.58,23.59,0.44,82.67,1.02,4 5 5 13,喜尊龍,正極,嘉應奇兵,巴度,潘明輝,3,121,123
