日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-26,ST,grass,好,1000,697,09,綫路光驊,6,9,12,33.35,34.35,-1.55,22.6,1.85,56.95,0.3,11 9 9,天天同樂,晨曦儷人,輗多福,潘明輝,周俊樂 (-2),4,125,127
2024-06-15,ST,grass,軟,1200,754,12,綫路光驊,6,9,4,46.59,47.59,0.69,24.75,2.3,72.34,2.99,8 9 12,輝煌精英,精彩勇士,神馳,鍾易禮,周俊樂 (-2),4,124,127
2024-07-14,ST,grass,好,1800,824,14,綫路光驊,6,9,13,85.3,86.34,2.69,24.92,0.72,111.26,3.41,12 11 11 12 14,風火恆雲,年年友福,龍船快,楊明綸,周俊樂 (-2),4,126,127
2024-09-08,ST,grass,好/黏,1000,004,06,綫路光驊,6,9,10,33.97,34.69,-1.21,22.42,1.67,57.11,0.46,6 7 6,舉步生風,不可擋,專家,潘明輝,周俊樂 (-2),4,119,127
2024-10-01,ST,grass,好/快,1200,068,03,綫路光驊,6,9,3,46.15,46.63,-0.27,23.01,0.56,69.64,0.29,5 5 3,增強,手錶之星,綫路光驊,梁家俊,周俊樂 (-2),4,125,127
2024-10-20,ST,grass,好/快,1200,116,08,綫路光驊,6,9,2,45.53,46.37,-0.53,23.25,0.8,69.62,0.27,3 3 8,手錶之星,熾烈神駒,哈羅威,梁家俊,周俊樂 (-2),4,120,127
2024-11-17,ST,grass,好,1200,182,05,綫路光驊,6,9,11,45.77,47.01,0.11,22.85,0.4,69.86,0.51,10 10 5,辣得金,自己話事,勤德俱備,潘明輝,周俊樂 (-2),4,120,127
2024-12-22,ST,grass,好,1200,281,09,綫路光驊,6,9,10,46.03,46.79,-0.11,23.43,0.98,70.22,0.87,9 8 9,天賜喜,新力好,熾烈神駒,潘明輝,周俊樂 (-2),4,115,127
2025-01-26,ST,grass,好,1400,377,10,綫路光驊,6,9,13,58.44,59.0,0.05,24.89,1.54,83.89,1.59,6 7 8 10,好運寶馬,帝豪歡星,神速馬車,潘明輝,周俊樂 (-2),5,134,127
2025-03-02,ST,grass,好,1200,467,12,綫路光驊,6,9,8,46.85,47.61,0.46,22.82,0.42,70.43,0.88,12 14 12,全神貫注,電路十號,星運皇爵,艾兆禮,周俊樂 (-2),5,134,127
2025-05-04,ST,grass,好/快,1200,640,01,綫路光驊,6,9,12,47.04,47.04,-0.11,22.72,0.32,69.76,0.21,1 1 1,綫路光驊,有心意,威力勇驥,黃寶妮,周俊樂 (-2),5,120,127
2025-05-25,ST,grass,好,1200,699,03,綫路光驊,6,9,8,46.9,47.02,0.12,22.85,0.4,69.87,0.52,5 3 3,遨遊波士,合夥飛馳,綫路光驊,潘明輝,周俊樂 (-2),4,116,127
2025-06-22,ST,grass,好,1200,769,03,綫路光驊,6,9,6,46.86,47.54,0.64,22.11,-0.34,69.65,0.3,7 8 3,魯班精神,八駿福昇,綫路光驊,黃寶妮,周俊樂 (-2),4,107,127
2025-07-16,HV,grass,好/快,1200,843,09,綫路光驊,6,9,5,46.11,47.07,-0.13,23.22,0.52,70.29,0.39,9 10 9,智勝攻略,可靠大師,鴻圖新星,潘明輝,周俊樂 (-2),4,118,127
2025-09-07,ST,grass,好,1200,006,14,綫路光驊,6,9,4,46.03,46.67,-0.23,23.71,1.26,70.38,1.03,4 7 14,辣得準,錶之極光,白鷺金剛,潘明輝,周俊樂 (-2),4,119,127
2025-10-12,ST,grass,好,1200,086,04,綫路光驊,6,9,5,45.65,46.37,-0.53,23.25,0.8,69.62,0.27,6 5 4,快活英雄,非凡時刻,亨驥,黃寶妮,周俊樂 (-2),4,113,127
2025-11-09,ST,grass,好,1400,162,13,綫路光驊,6,9,7,58.61,58.61,-0.34,26.86,3.51,85.47,3.17,1 1 2 13,嘉應威風,添喜運,美神來,黃寶妮,周俊樂 (-2),5,128,127
2026-01-01,ST,grass,好,1200,305,07,綫路光驊,6,9,11,46.48,47.0,-0.15,23.3,0.9,70.3,0.75,6 7 7,同喜,首駿,金快飛飛,布文,周俊樂 (-2),5,133,127
2026-02-01,ST,grass,好,1200,395,07,綫路光驊,6,9,12,46.17,46.21,-0.94,23.73,1.33,69.94,0.39,2 2 7,盛勢威楓,果然僥倖,駿馬之星,黃智弘,周俊樂 (-2),5,127,127
