日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-02-07,HV,grass,好,1200,401,01,時尚風趣,6,5,9,47.21,47.37,0.17,23.24,0.54,70.61,0.71,1 2 1,時尚風趣,無限美麗,俏郎中,周俊樂,周俊樂 (-2),4,127,120
2024-02-28,HV,grass,好,1200,461,01,時尚風趣,6,5,7,47.79,47.79,0.59,23.61,0.91,71.4,1.5,1 1 1,時尚風趣,戰鬥英雄,金鼓齊昇,周俊樂,周俊樂 (-2),4,132,120
2024-05-08,HV,grass,好,1200,655,02,時尚風趣,6,5,1,46.04,46.56,-0.49,23.79,1.24,70.35,0.75,4 4 2,撼天鐵翼,時尚風趣,家樂龍駒,潘頓,周俊樂 (-2),3,120,120
2024-05-19,ST,grass,好,1200,683,04,時尚風趣,6,5,4,46.38,46.74,0.09,23.16,0.81,69.9,0.9,4 4 4,同祥和順,愛馬善,鐵金剛,周俊樂,周俊樂 (-2),3,121,120
2024-06-12,HV,grass,好,1200,748,05,時尚風趣,6,5,12,46.48,46.72,-0.33,23.85,1.3,70.57,0.97,2 2 5,幸運旅程,加州得力,雪勇神駒,周俊樂,周俊樂 (-2),3,121,120
2024-07-14,ST,grass,好,1200,829,03,時尚風趣,6,5,11,46.09,46.25,-0.4,22.97,0.62,69.22,0.22,3 3 3,包裝天將,花果猴王,時尚風趣,周俊樂,周俊樂 (-2),3,120,120
2024-09-11,HV,grass,好,1200,018,01,時尚風趣,6,5,5,46.57,47.17,0.12,23.66,1.11,70.83,1.23,5 5 1,時尚風趣,明心知遇,幸運旅程,周俊樂,周俊樂 (-2),3,122,120
2024-10-09,HV,grass,好,1200,092,06,時尚風趣,6,5,12,46.55,47.03,-0.02,23.5,0.95,70.53,0.93,6 7 6,飲杯,精選威,撼天鐵翼,周俊樂,周俊樂 (-2),3,126,120
2024-10-30,HV,grass,好,1200,146,06,時尚風趣,6,5,12,45.96,47.12,0.07,23.01,0.46,70.13,0.53,12 12 6,鈁糖武士,駿步騰飛,開心寶寶,周俊樂,周俊樂 (-2),3,130,120
2024-12-04,HV,grass,好,1200,238,03,時尚風趣,6,5,6,46.49,46.73,-0.32,23.2,0.65,69.93,0.33,6 5 3,晨曦儷人,家樂龍駒,時尚風趣,何澤堯,周俊樂 (-2),3,129,120
2025-01-08,HV,grass,好,1200,335,11,時尚風趣,6,5,9,45.86,46.1,-0.95,24.57,2.02,70.67,1.07,2 2 11,連連幸運,椒椒醒,競駿非凡,周俊樂,周俊樂 (-2),3,127,120
2025-02-05,HV,grass,好,1200,406,04,時尚風趣,6,5,7,47.05,47.21,0.16,22.79,0.24,70.0,0.4,3 3 4,耀寶駒,伊臣,天足貓,周俊樂,周俊樂 (-2),3,122,120
2025-02-23,ST,grass,好,1400,455,07,時尚風趣,6,5,4,58.11,58.39,-0.11,23.32,0.17,81.71,0.06,1 3 3 7,神馳,宜春火力,同樣美麗,周俊樂,周俊樂 (-2),3,126,120
2025-03-19,HV,grass,好/快,1200,522,02,時尚風趣,6,5,3,46.3,46.74,-0.31,23.05,0.5,69.79,0.19,4 4 2,傑出漢子,時尚風趣,金匯昇昇,周俊樂,周俊樂 (-2),3,121,120
2025-04-09,HV,grass,好/快,1200,580,11,時尚風趣,6,5,8,46.36,46.36,-0.69,23.76,1.21,70.12,0.52,1 1 11,金發盛世,風雲武士,鈁糖武士,周俊樂,周俊樂 (-2),3,122,120
2025-05-07,HV,grass,好,1200,658,08,時尚風趣,6,5,5,45.92,46.76,-0.29,23.6,1.05,70.36,0.76,8 9 8,飲杯,安康萬里,無限美麗,周俊樂,周俊樂 (-2),3,121,120
2025-06-22,ST,grass,好,1200,775,05,時尚風趣,6,5,3,45.3,46.02,-0.63,22.89,0.54,68.91,-0.09,6 5 5,寶進,魅力寶駒,河好運,周俊樂,周俊樂 (-2),3,124,120
2025-10-08,HV,grass,好/快,1200,084,09,時尚風趣,6,5,9,46.03,46.83,-0.22,22.85,0.3,69.68,0.08,9 10 9,家樂龍駒,天外迎天,樂勝天下,周俊樂,周俊樂 (-2),3,119,120
2025-10-30,ST,dirt,好,1200,139,01,時尚風趣,6,5,6,45.57,46.41,-0.09,22.84,0.79,69.25,0.7,11 8 1,時尚風趣,肯佩斯,天天耍樂,巴度,周俊樂 (-2),3,116,120
2025-11-30,ST,dirt,好,1200,222,03,時尚風趣,6,5,12,45.04,46.04,-0.46,22.67,0.62,68.71,0.16,11 10 3,樂勝天下,錶之極光,時尚風趣,巴度,周俊樂 (-2),3,128,120
2026-01-04,ST,dirt,好,1200,322,07,時尚風趣,6,5,12,45.55,46.07,-0.43,22.79,0.74,68.86,0.31,5 7 7,樂勝天下,駿步騰飛,熾烈神駒,巴度,周俊樂 (-2),3,124,120
2026-01-28,HV,grass,好/快,1200,393,11,時尚風趣,6,5,6,46.44,47.12,0.07,23.27,0.72,70.39,0.79,9 9 11,粵港資駒,太子,飛輪霸,蔡明紹,周俊樂 (-2),3,126,120
2026-02-19,ST,grass,好,1400,454,13,時尚風趣,6,5,11,59.26,60.22,1.72,24.03,0.88,84.25,2.6,5 7 11 13,同心同樂,綠野飛馳,做好自己,周俊樂,周俊樂 (-2),3,125,120
