日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-03,ST,grass,好/快,1400,156,11,時時精準,4,7,4,58.02,58.78,0.28,23.84,0.69,82.62,0.97,9 8 10 11,遙遙領先,穿甲戰鷹,同樣美麗,艾兆禮,麥文堅,3,124,124
2024-12-01,ST,grass,好,1400,230,10,時時精準,4,7,5,57.88,58.84,0.34,23.59,0.44,82.43,0.78,12 13 12 10,祝願,遙遙領先,鐵金剛,艾道拿,麥文堅,3,127,124
2024-12-26,HV,grass,好,1650,296,08,時時精準,4,7,2,76.1,76.58,0.93,23.46,-0.79,100.04,0.14,5 5 5 8,浪漫老撾,時時稱心,太陽勇士,艾兆禮,麥文堅,3,125,124
2025-01-15,HV,grass,好,1650,354,01,時時精準,4,7,9,75.87,75.87,0.22,23.7,-0.55,99.57,-0.33,1 1 1 1,時時精準,太陽勇士,時時稱心,田泰安,麥文堅,3,119,124
2025-02-05,HV,grass,好,1650,405,02,時時精準,4,7,7,76.7,76.82,1.17,23.41,-0.84,100.23,0.33,2 2 2 2,太陽勇士,時時精準,大學生,田泰安,麥文堅,3,124,124
2025-03-02,ST,grass,好/快,2000,474,04,時時精準,4,7,12,98.8,98.8,0.45,23.49,-0.06,122.29,0.39,2 1 1 1 4,安可,和平波,一支箭,莫雅,麥文堅,3,124,124
2025-04-02,HV,grass,好/快,1650,560,02,時時精準,4,7,7,75.01,75.01,-0.64,23.81,-0.44,98.82,-1.08,2 2 2 2,唯美主義,時時精準,開心勇駒,田泰安,麥文堅,3,124,124
2025-04-30,HV,grass,好/快,1650,637,07,時時精準,4,7,7,75.12,75.36,-0.29,24.24,-0.01,99.6,-0.3,2 3 3 7,有財有勢,非凡豪傑,駟跑得,田泰安,麥文堅,3,128,124
2025-05-18,ST,grass,好/快,1600,687,10,時時精準,4,7,5,72.4,72.4,1.5,23.39,-0.41,95.79,1.09,1 1 1 10,金勝名駒,龍城精將,大浪圖田,潘頓,麥文堅,3,128,124
2025-06-11,HV,grass,好/快,1650,754,01,時時精準,4,7,12,76.39,76.59,0.94,23.39,-0.86,99.98,0.08,4 4 5 1,時時精準,盈妍威楓,建測羣英,田泰安,麥文堅,3,129,124
2025-07-16,HV,grass,好/快,1650,845,09,時時精準,4,7,3,74.19,74.71,-0.94,24.47,0.22,99.18,-0.72,6 5 5 9,智勇名駒,盈好威楓,大學生,田泰安,麥文堅,3,134,124
2025-10-22,HV,grass,好,1650,121,08,時時精準,4,7,6,75.28,76.0,0.35,24.25,0.0,100.25,0.35,8 8 8 8,南區之星,有財有勢,大學生,田泰安,麥文堅,3,134,124
2025-11-19,HV,grass,好,1650,197,08,時時精準,4,7,1,75.09,75.41,-0.24,24.68,0.43,100.09,0.19,4 5 5 8,勁好運,非凡豪傑,暴風之子,田泰安,麥文堅,3,132,124
2025-12-27,ST,dirt,好,1650,301,02,時時精準,4,7,2,75.58,76.06,1.21,23.17,-0.58,99.23,0.63,6 8 4 2,新意馬,時時精準,不同世界,霍宏聲,麥文堅,3,133,124
2026-01-21,ST,dirt,好,1650,373,07,時時精準,4,7,13,75.21,75.53,0.68,23.31,-0.44,98.84,0.24,5 5 6 7,皇龍飛將,滿心星,凱明神駒,霍宏聲,麥文堅,3,132,124
2026-02-14,ST,dirt,好,1650,438,05,時時精準,4,7,2,73.71,73.95,-0.9,24.14,0.39,98.09,-0.51,4 3 4 5,滿心星,皇龍飛將,浪漫戰神,田泰安,麥文堅,3,129,124
