日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-20,HV,grass,好,1650,036,07,電訊巴打,3,6,12,75.23,75.23,-0.27,24.28,0.48,99.51,0.21,1 1 1 7,喜蓮勇感,寶賢得得,同舟共濟,希威森,鍾易禮 (-2),2,133,125
2023-10-25,ST,dirt,好,1650,117,06,電訊巴打,3,6,5,74.26,74.54,-0.81,24.16,1.11,98.7,0.3,2 3 5 6,保羅承傳,禪勝寶駒,同舟共濟,霍宏聲,鍾易禮 (-2),2,134,125
2023-11-15,HV,grass,好,1650,173,01,電訊巴打,3,6,4,76.67,76.67,1.17,23.5,-0.3,100.17,0.87,1 1 1 1,電訊巴打,百勝名駒,喜旺駒,鍾易禮,鍾易禮 (-2),2,130,125
2023-11-26,ST,grass,好,1600,201,07,電訊巴打,3,6,6,71.84,71.84,0.94,23.48,0.33,95.32,1.27,1 1 1 7,中華盛景,增有,越駿歡欣,黃智弘,鍾易禮 (-2),1,123,125
2023-12-10,ST,grass,好,1400,241,13,電訊巴打,3,6,3,59.11,59.15,0.8,24.56,1.46,83.71,2.26,1 1 2 13,神虎龍駒,舞林密碼,驕陽明駒,希威森,鍾易禮 (-2),2,135,125
2024-01-10,HV,grass,好,1800,330,07,電訊巴打,3,6,8,84.08,84.08,-0.72,24.9,0.75,108.98,0.03,1 1 1 1 7,越駿歡欣,當年情,喜蓮勇感,希威森,鍾易禮 (-2),0,124,125
2024-02-04,ST,dirt,好,1200,397,09,電訊巴打,3,6,3,44.85,45.53,-0.87,23.76,1.81,69.29,0.94,6 8 9,魅力寶駒,晶晶日上,傑出漢子,董明朗,鍾易禮 (-2),2,135,125
2024-02-21,HV,grass,好,1650,438,04,電訊巴打,3,6,6,77.64,77.64,1.89,22.85,-0.5,100.49,1.39,1 1 1 4,一先生,越駿歡欣,雪勇神駒,希威森,鍾易禮 (-2),1,135,125
2024-03-03,ST,dirt,好,1650,467,02,電訊巴打,3,6,5,76.53,76.53,1.18,23.13,0.08,99.66,1.26,1 1 1 2,一先生,電訊巴打,敏捷神駒,布文,鍾易禮 (-2),2,135,125
2024-04-10,HV,grass,好,1650,571,04,電訊巴打,3,6,1,75.62,75.62,0.12,24.12,0.32,99.74,0.44,1 1 1 4,智取神駒,亞機拉,一先生,希威森,鍾易禮 (-2),2,135,125
2024-04-28,ST,grass,黏,1400,625,05,電訊巴打,3,6,6,58.38,58.38,0.03,24.18,1.08,82.56,1.11,2 1 1 5,旺旺神駒,傑出漢子,馬林,黃智弘,鍾易禮 (-2),2,125,125
2024-05-29,ST,dirt,好,1650,704,03,電訊巴打,3,6,1,77.35,77.35,2.0,23.08,0.03,100.43,2.03,1 1 1 3,魅影獵飛,黃腳鱲,電訊巴打,布文,鍾易禮 (-2),2,135,125
2024-06-12,HV,grass,好,1650,746,06,電訊巴打,3,6,2,76.98,77.38,1.88,23.86,0.06,101.24,1.94,1 3 3 6,亞機拉,黃腳鱲,智取神駒,黃智弘,鍾易禮 (-2),2,127,125
2024-06-23,ST,grass,好/快,1400,769,06,電訊巴打,3,6,4,58.46,58.58,0.33,24.26,1.41,82.84,1.74,3 4 3 6,綠族無限,加州星球,威力奔騰,湯普新,鍾易禮 (-2),0,115,125
2024-07-14,ST,grass,好,1600,828,09,電訊巴打,3,6,3,70.47,70.51,-0.39,24.83,1.68,95.34,1.29,1 1 2 9,禪勝輝煌,智取神駒,中華盛景,湯普新,鍾易禮 (-2),1,127,125
2024-09-18,HV,grass,好,1650,036,09,電訊巴打,3,6,5,75.33,75.73,0.23,24.77,0.97,100.5,1.2,4 4 4 9,木火兄弟,港林福將,赤兔猴王,黃智弘,鍾易禮 (-2),2,122,125
2024-10-06,ST,dirt,好,1650,084,04,電訊巴打,3,6,13,74.61,74.61,-0.74,24.16,1.11,98.77,0.37,2 2 1 4,知足常樂,魅影獵飛,都靈福星,黃寶妮,鍾易禮 (-2),2,117,125
2024-11-06,HV,grass,好,1650,165,03,電訊巴打,3,6,3,75.99,75.99,0.49,23.6,-0.2,99.59,0.29,1 1 1 3,超超比,港林福將,電訊巴打,董明朗,鍾易禮 (-2),2,130,125
2024-11-24,ST,grass,好/快,1600,208,12,電訊巴打,3,6,3,70.4,71.08,0.28,23.24,-0.21,94.32,0.07,8 9 11 12,手機錶霸,遨遊武士,陽光勇士,黃寶妮,鍾易禮 (-2),2,110,125
2024-12-08,ST,grass,好,1400,249,12,電訊巴打,3,6,13,58.49,58.73,0.38,24.54,1.44,83.27,1.82,2 3 6 12,包裝天將,球星,潮州精神,董明朗,鍾易禮 (-2),2,120,125
2025-01-05,ST,dirt,好,1650,320,08,電訊巴打,3,6,3,75.09,75.13,-0.22,24.71,1.66,99.84,1.44,3 3 2 8,知足常樂,喜至寶,魅力寶駒,董明朗,鍾易禮 (-2),2,116,125
2025-02-05,HV,grass,好,1650,401,02,電訊巴打,3,6,3,76.31,76.31,0.81,23.5,-0.3,99.81,0.51,1 1 1 2,一先生,電訊巴打,喜蓮勇感,田泰安,鍾易禮 (-2),2,119,125
2025-02-26,HV,grass,好,1650,459,09,電訊巴打,3,6,9,75.67,75.67,0.02,24.97,0.72,100.64,0.74,1 1 1 9,太陽勇士,浪漫老撾,中華英雄,布文,鍾易禮 (-2),3,135,125
2025-03-26,ST,dirt,好,1650,541,01,電訊巴打,3,6,12,74.94,74.94,0.09,23.39,-0.36,98.33,-0.27,1 1 1 1,電訊巴打,天威,勝意,鍾易禮,鍾易禮 (-2),3,132,125
2025-05-14,HV,grass,好/快,1650,672,07,電訊巴打,3,6,6,75.26,75.26,-0.24,24.97,1.17,100.23,0.93,1 1 1 7,加州動員,太陽勇士,常拼常勇,鍾易禮,鍾易禮 (-2),2,122,125
