日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-01,ST,grass,好,1000,225,11,自動自覺,2,14,3,33.79,34.63,-1.17,22.78,2.13,57.41,0.96,11 13 11,添開心,星際快車,連連有盈,艾兆禮,梁家俊,3,116,135
2025-01-01,ST,grass,好,1200,315,03,自動自覺,2,14,2,46.16,46.64,-0.01,22.97,0.62,69.61,0.61,5 5 3,勇霸龍,飲杯,自動自覺,班德禮,梁家俊,3,122,135
2025-01-31,ST,grass,好,1200,396,13,自動自覺,2,14,2,46.47,46.55,-0.1,23.67,1.32,70.22,1.22,2 2 13,駿跑得,新力好,魯班精神,班德禮,梁家俊,3,119,135
2025-02-16,ST,grass,好/快,1200,436,10,自動自覺,2,14,5,45.38,46.06,-0.59,23.65,1.3,69.71,0.71,4 6 10,笑傲江湖,健康快車,輝煌精英,班德禮,梁家俊,3,115,135
2025-03-12,HV,grass,好/快,1200,502,06,自動自覺,2,14,7,44.84,46.6,-0.45,22.89,0.34,69.49,-0.11,10 10 6,天足貓,佛亮老撾,綫路盈樂,巴度,梁家俊,3,120,135
2025-04-09,HV,grass,好/快,1200,580,09,自動自覺,2,14,12,46.36,47.68,0.63,22.41,-0.14,70.09,0.49,12 12 9,金發盛世,風雲武士,鈁糖武士,巴度,梁家俊,3,116,135
2025-04-30,HV,grass,好/快,1200,635,08,自動自覺,2,14,7,45.83,46.87,-0.33,23.14,0.44,70.01,0.11,7 7 8,天下寵兒,快搏,鄉村樂韻,巴度,梁家俊,4,133,135
2025-05-21,HV,grass,好/快,1200,688,08,自動自覺,2,14,11,46.04,47.28,0.08,22.75,0.05,70.03,0.13,12 12 8,新力,寶進,安都,巴度,梁家俊,4,132,135
2025-09-10,HV,grass,好,1200,017,06,自動自覺,2,14,9,46.97,47.21,0.01,23.31,0.61,70.52,0.62,7 6 6,天外迎天,東來欣賞,一生好彩,巴度,梁家俊,4,127,135
2025-09-28,ST,grass,好/快,1200,049,05,自動自覺,2,14,2,46.09,46.53,-0.37,22.79,0.34,69.32,-0.03,7 5 5,包裝戰將,辣得準,手錶之星,巴度,梁家俊,4,127,135
2025-10-19,ST,grass,好/快,1400,107,10,自動自覺,2,14,8,57.82,57.82,-0.78,24.34,0.94,82.16,0.16,1 1 1 10,豐辰,戀愛狂,黃金騎士,巴度,梁家俊,4,124,135
2025-11-05,HV,grass,好/快,1200,155,01,自動自覺,2,14,11,46.68,46.68,-0.52,23.4,0.7,70.08,0.18,1 1 1,自動自覺,渡月橋,怡昌精神,杜苑欣,梁家俊,4,122,135
2025-11-26,HV,grass,好/快,1200,213,05,自動自覺,2,14,10,47.38,47.66,0.46,22.76,0.06,70.42,0.52,5 4 5,喵喵怪,官金騏,花好月盈,杜苑欣,梁家俊,4,129,135
2025-12-17,HV,grass,好,1200,270,03,自動自覺,2,14,7,46.95,46.95,-0.25,23.17,0.47,70.12,0.22,1 1 3,福星小子,喵喵怪,自動自覺,杜苑欣,梁家俊,4,130,135
2026-01-07,HV,grass,好,1200,326,10,自動自覺,2,14,1,46.12,46.12,-1.08,25.23,2.53,71.35,1.45,1 1 10,福星小子,多多好馬,電玩精英,潘頓,梁家俊,4,131,135
2026-02-01,ST,grass,好,1200,397,09,自動自覺,2,14,11,45.93,46.65,-0.25,23.28,0.83,69.93,0.58,9 9 9,跨境駿馬,超拍檔,星辰千帥,黃智弘,梁家俊,4,126,135
2026-02-14,ST,grass,好/快,1400,441,01,自動自覺,2,14,6,59.22,59.22,0.62,22.94,-0.46,82.16,0.16,1 1 1 1,自動自覺,君達得,果然僥倖,梁家俊,梁家俊,4,129,135
