日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-09,ST,grass,好,1200,167,11,幸運福星,2,8,1,47.38,47.82,0.92,22.82,0.37,70.64,1.29,6 7 11,嘉應奇兵,至尊高超,準輝煌,黃寶妮,潘明輝,4,120,135
2024-12-08,ST,grass,好,1200,240,07,幸運福星,2,8,8,46.18,46.18,-0.72,23.45,1.0,69.63,0.28,1 1 7,開心樂園,神馳,衝上雲霄,黃寶妮,潘明輝,4,118,135
2024-12-29,ST,grass,好,1200,301,05,幸運福星,2,8,5,46.1,46.18,-0.72,23.45,1.0,69.63,0.28,2 2 5,真心傳奇,天外迎天,加非凡,黃寶妮,潘明輝,4,116,135
2025-01-12,ST,grass,好,1200,340,09,幸運福星,2,8,11,45.76,46.32,-0.58,23.83,1.38,70.15,0.8,4 6 9,新力好,旺旺快駒,美神來,鍾易禮,潘明輝,4,121,135
2025-01-31,ST,grass,好,1400,391,04,幸運福星,2,8,10,58.74,58.82,0.22,23.97,0.57,82.79,0.79,2 2 2 4,神馳,深心星,大才,鍾易禮,潘明輝,4,119,135
2025-02-16,ST,grass,好/快,1400,430,12,幸運福星,2,8,14,57.79,57.79,-0.81,25.01,1.61,82.8,0.8,1 1 1 12,鐵金剛,博愛先鋒,勝得福,馬昆,潘明輝,4,122,135
2025-03-05,HV,grass,好,1200,480,06,幸運福星,2,8,7,46.16,46.32,-0.88,24.09,1.39,70.41,0.51,3 3 6,金匯昇昇,砂漿金剛,競駿天下,鍾易禮,潘明輝,4,119,135
2025-03-19,HV,grass,好/快,1200,517,07,幸運福星,2,8,12,45.98,46.14,-1.06,24.0,1.3,70.14,0.24,2 2 7,電源之駒,好節拍,精明勇駿,鍾易禮,潘明輝,4,115,135
2025-09-10,HV,grass,好,1200,011,05,幸運福星,2,8,1,46.31,46.31,-1.04,24.01,1.26,70.32,0.22,1 1 5,花好月盈,精英至尊,快樂奇兵,鍾易禮,潘明輝,5,131,135
2025-10-01,ST,grass,好/快,1200,058,04,幸運福星,2,8,4,45.93,45.93,-1.22,23.43,1.03,69.36,-0.19,1 1 4,快樂奇兵,魅力星,同喜,鍾易禮,潘明輝,5,131,135
2025-10-19,ST,grass,好/快,1400,104,02,幸運福星,2,8,2,57.5,57.5,-1.45,24.54,1.19,82.04,-0.26,1 1 1 2,飛躍凱旋,幸運福星,全神貫注,黃智弘,潘明輝,5,125,135
2025-10-30,ST,dirt,好,1200,134,07,幸運福星,2,8,6,46.05,46.77,-0.23,24.47,2.12,71.24,1.89,5 7 7,大番薯,南區旺,東方寶寶,黃智弘,潘明輝,5,124,135
2025-11-12,HV,grass,好,1650,170,01,幸運福星,2,8,3,75.53,75.53,-0.52,24.18,-0.07,99.71,-0.59,1 1 1 1,幸運福星,無極勇將,快樂老撾,潘明輝,潘明輝,5,130,135
2025-12-10,HV,grass,好,1650,245,12,幸運福星,2,8,11,76.33,76.85,0.8,26.02,1.77,102.87,2.57,2 2 5 12,富裕君子,至旺財,勁爽,潘明輝,潘明輝,5,135,135
2026-01-14,HV,grass,好,1650,346,08,幸運福星,2,8,3,76.14,76.14,0.29,24.55,0.3,100.69,0.59,1 1 1 8,將義,創科群英,駟跑得,鍾易禮,潘明輝,4,113,135
2026-01-28,HV,grass,好/快,1650,386,07,幸運福星,2,8,3,75.39,76.03,-0.02,24.09,-0.16,100.12,-0.18,8 8 8 7,同得威,極速之子,電訊驕陽,潘明輝,潘明輝,5,135,135
