日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-15,ST,grass,軟,1400,759,04,凡凡有餘,4,4,2,58.92,58.96,0.46,25.01,1.86,83.97,2.32,4 3 3 4,陽光勇士,手機錶霸,一定美麗,楊明綸,布文,3,125,133
2024-07-06,ST,grass,好/快,1400,808,09,凡凡有餘,4,4,2,58.86,59.46,0.96,22.89,-0.26,82.35,0.7,8 9 7 9,一定美麗,綠族豐收,陽光勇士,何澤堯,布文,3,123,133
2024-11-17,ST,grass,好,1400,191,10,凡凡有餘,4,4,5,59.06,59.46,0.96,22.93,-0.22,82.39,0.74,8 9 10 10,銀亮奔騰,同樣美麗,玩笑,楊明綸,布文,3,121,133
2024-12-22,ST,grass,好,1400,285,07,凡凡有餘,4,4,6,57.97,58.77,0.27,23.13,-0.02,81.9,0.25,8 9 10 7,玩笑,同樣美麗,本領輝煌,班德禮,布文,3,116,133
2025-01-05,ST,dirt,好,1800,322,11,凡凡有餘,4,4,1,84.99,85.43,0.53,24.35,0.7,109.78,1.23,4 5 5 5 11,艾莉奧,一鹿歡騰,超眼光,艾兆禮,布文,4,135,133
2025-01-19,ST,grass,好,1400,359,09,凡凡有餘,4,4,4,57.74,58.26,-0.34,24.21,0.81,82.47,0.47,3 6 7 9,博愛先鋒,神馳,準輝煌,薛恩,布文,4,133,133
2025-09-07,ST,grass,好/黏,1200,007,08,凡凡有餘,4,4,5,46.22,46.94,0.04,23.06,0.61,70.0,0.65,12 12 8,高感,凱旋王者,魅力知福,布文,布文,4,132,133
2025-09-14,ST,grass,好/快,1400,023,06,凡凡有餘,4,4,3,58.0,58.36,-0.24,23.21,-0.19,81.57,-0.43,4 6 6 6,勁沙塵,友瑩仁,後無來者,布文,布文,4,129,133
2025-10-15,HV,grass,好/快,1650,099,01,凡凡有餘,4,4,1,76.75,76.99,1.14,23.45,-0.8,100.44,0.34,4 4 3 1,凡凡有餘,祥勝將軍,榮耀盛甲,布文,布文,4,128,133
2025-11-02,HV,grass,好/快,1650,143,01,凡凡有餘,4,4,11,74.83,75.63,-0.22,23.72,-0.53,99.35,-0.75,7 7 7 1,凡凡有餘,建測羣英,多利神駒,布文,布文,4,132,133
2025-11-19,HV,grass,好,1650,197,05,凡凡有餘,4,4,9,75.09,75.93,0.28,23.73,-0.52,99.66,-0.24,12 12 12 5,勁好運,非凡豪傑,暴風之子,蔡明紹,布文,3,120,133
2025-12-17,HV,grass,好,1650,272,07,凡凡有餘,4,4,11,76.8,78.08,2.43,22.85,-1.4,100.93,1.03,12 11 11 7,有財有勢,超加加,勁進駒,蔡明紹,布文,3,120,133
2026-01-07,HV,grass,好,1650,333,08,凡凡有餘,4,4,3,75.27,75.79,0.14,24.88,0.63,100.67,0.77,8 9 7 8,一定掂,相映紅,競駿飛翔,田泰安,布文,3,118,133
2026-02-11,HV,grass,好/快,1650,430,05,凡凡有餘,4,4,2,74.48,74.96,-0.69,23.89,-0.36,98.85,-1.05,6 6 6 5,英駿飛駒,勁沙塵,魅力知耀,田泰安,布文,3,119,133
2026-02-25,HV,grass,好,1650,472,05,凡凡有餘,4,4,5,74.98,76.22,0.57,23.24,-1.01,99.46,-0.44,8 9 10 5,一定掂,友贏威馳,電訊巴打,希威森,布文,3,119,133
