日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-12-20,HV,grass,好,1200,267,09,勝多多,1,12,4,46.74,47.82,0.62,23.29,0.59,71.11,1.21,8 10 9,多多配合,銀進,無限美麗,董明朗,艾道拿,4,129,133
2024-01-13,ST,grass,好,1200,334,07,勝多多,1,12,9,46.32,47.28,0.38,23.39,0.94,70.67,1.32,9 12 7,獨步天下,金榜之星,智智多寶,董明朗,艾道拿,4,129,133
2024-02-04,ST,grass,好,1400,391,11,勝多多,1,12,9,59.49,59.69,1.09,23.93,0.53,83.62,1.62,1 2 3 11,勝利神駒,機緣醉夢,仁心星,霍宏聲,艾道拿,4,125,133
2024-03-03,ST,grass,好,1200,466,04,勝多多,1,12,1,46.64,47.12,0.22,23.02,0.57,70.14,0.79,5 5 4,東方飛影,譽友翔駒,龍城強將,董明朗,艾道拿,4,123,133
2024-03-31,ST,grass,好,1200,548,08,勝多多,1,12,12,46.22,47.34,0.44,23.31,0.86,70.65,1.3,13 11 8,大才,佳運發,勇霸龍,霍宏聲,艾道拿,4,122,133
2024-04-10,HV,grass,好,1200,570,10,勝多多,1,12,3,46.01,46.81,-0.39,24.18,1.48,70.99,1.09,7 6 10,電子宇宙,東方寶寶,欣感,艾兆禮,艾道拿,4,120,133
2024-07-06,ST,grass,好/快,1200,806,02,勝多多,1,12,1,45.34,46.14,-0.76,22.61,0.16,68.75,-0.6,7 5 2,超平凡,勝多多,天天耍樂,希威森,艾道拿,4,120,133
2024-09-15,ST,grass,好/快,1200,021,02,勝多多,1,12,4,46.21,46.85,-0.05,22.5,0.05,69.35,0.0,8 9 2,河好運,勝多多,快活英雄,希威森,艾道拿,4,121,133
2024-09-28,ST,grass,好,1200,062,05,勝多多,1,12,5,46.24,46.64,-0.26,23.14,0.69,69.78,0.43,5 4 5,哈羅威,熾烈神駒,佳運發,希威森,艾道拿,4,122,133
2024-10-20,ST,grass,好/快,1200,116,09,勝多多,1,12,3,45.53,46.85,-0.05,22.79,0.34,69.64,0.29,8 8 9,手錶之星,熾烈神駒,哈羅威,希威森,艾道拿,4,122,133
2024-11-17,ST,grass,好,1400,185,12,勝多多,1,12,12,58.92,60.04,1.44,22.57,-0.83,82.61,0.61,13 14 13 12,但求開心,開心樂園,奔妙星,艾道拿,艾道拿,4,121,133
2024-12-15,ST,grass,好,1200,261,03,勝多多,1,12,3,48.01,48.25,1.35,22.32,-0.13,70.57,1.22,5 4 3,凱旋升,可期而遇,勝多多,希威森,艾道拿,4,120,133
2025-01-05,ST,grass,好,1200,321,02,勝多多,1,12,5,46.15,46.43,-0.47,22.96,0.51,69.39,0.04,8 5 2,康樂高球,勝多多,天下寵兒,希威森,艾道拿,4,117,133
2025-01-31,ST,grass,好,1200,393,04,勝多多,1,12,9,46.23,46.51,-0.39,23.43,0.98,69.94,0.59,4 4 4,怡昌光輝,騰龍四海,天天耍樂,艾兆禮,艾道拿,4,120,133
2025-02-23,ST,grass,好,1200,450,09,勝多多,1,12,4,46.75,46.79,-0.11,23.47,1.02,70.26,0.91,2 2 9,跨境寶馬,魅影戈飛,燈胆將軍,巴度,艾道拿,4,117,133
2025-04-06,ST,grass,好,1200,564,04,勝多多,1,12,11,46.9,47.7,0.8,22.13,-0.32,69.83,0.48,12 12 4,嘉冠王,一定超,勇闖高峰,董明朗,艾道拿,4,117,133
2025-05-04,ST,grass,好/快,1200,641,06,勝多多,1,12,5,46.77,47.01,0.11,22.59,0.14,69.6,0.25,3 4 6,英雄戰歌,真僥倖,勁者,巴度,艾道拿,4,117,133
2025-06-08,ST,grass,好/快,1200,737,02,勝多多,1,12,6,46.39,46.67,-0.48,22.72,0.32,69.39,-0.16,4 4 2,紅海風帆,勝多多,謙謙君子,布文,艾道拿,5,134,133
