日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-11-11,ST,grass,好,1200,165,06,良駒好友,4,9,9,45.78,46.26,-0.39,23.88,1.53,70.14,1.14,6 7 6,綠族無限,美麗第一,營造組裝,周俊樂,何澤堯,3,120,127
2023-12-10,ST,grass,好,1200,240,09,良駒好友,4,9,4,45.81,46.53,-0.12,23.65,1.3,70.18,1.18,5 7 9,錶之銀河,星運少爵,美麗第一,周俊樂,何澤堯,3,121,127
2023-12-26,ST,grass,好,1000,287,06,良駒好友,4,9,2,33.53,34.29,-1.51,22.75,2.1,57.04,0.59,11 11 6,爵登,加州德至,英雄豪邁,楊明綸,何澤堯,3,121,127
2024-01-24,ST,dirt,好,1200,366,06,良駒好友,4,9,1,45.03,45.63,-1.22,23.97,1.87,69.6,0.65,5 3 6,佳尊三,伶俐驫駒,實力哥,黃智弘,何澤堯,4,125,127
2024-02-04,ST,grass,好,1000,389,09,良駒好友,4,9,5,34.28,34.68,-1.22,23.45,2.7,58.13,1.48,7 9 9,黑白,酷霸王,精彩勇士,周俊樂,何澤堯,4,131,127
2024-02-21,HV,grass,好,1200,439,07,良駒好友,4,9,7,46.5,47.46,0.26,23.14,0.44,70.6,0.7,11 11 7,天足貓,晉神,千杯敬典,梁家俊,何澤堯,4,131,127
2024-03-16,ST,grass,好,1200,508,11,良駒好友,4,9,3,46.25,46.65,-0.25,23.81,1.36,70.46,1.11,6 6 11,快狠準,佳運發,新力,周俊樂,何澤堯,4,128,127
2024-04-03,ST,dirt,好,1200,554,07,良駒好友,4,9,2,45.96,46.4,-0.45,23.75,1.65,70.15,1.2,4 6 7,花果猴王,實力哥,機械騎士,艾道拿,何澤堯,4,129,127
2024-04-20,ST,grass,好,1000,601,11,良駒好友,4,9,5,33.54,33.98,-1.92,22.78,2.03,56.76,0.11,8 6 11,萬事快,紅逸舍,還看今朝,班德禮,何澤堯,4,124,127
2024-06-02,ST,grass,好,1200,715,04,良駒好友,4,9,3,46.67,46.87,-0.03,22.81,0.36,69.68,0.33,4 3 4,獎金大少,佳運發,水龍頭,梁家俊,何澤堯,4,125,127
2024-06-26,HV,grass,好,1200,776,04,良駒好友,4,9,7,46.66,46.86,-0.34,23.29,0.59,70.15,0.25,2 2 4,心想事成,精益大師,勇眼光,田泰安,何澤堯,4,124,127
2024-07-10,HV,grass,好/快,1200,816,05,良駒好友,4,9,8,46.61,46.89,-0.31,23.46,0.76,70.35,0.45,5 5 5,日馳千里,砂漿金剛,尋寶勇士,梁家俊,何澤堯,4,122,127
2024-09-15,ST,grass,好/快,1400,023,08,良駒好友,4,9,8,58.43,58.43,-0.17,23.84,0.44,82.27,0.27,1 1 1 8,添喜運,勁大威猛,快樂高球,梁家俊,何澤堯,4,118,127
2024-09-28,ST,dirt,好,1200,058,01,良駒好友,4,9,4,46.02,46.02,-0.83,23.2,1.1,69.22,0.27,2 1 1,良駒好友,酷霸王,宇宙動力,黃寶妮,何澤堯,4,109,127
2024-10-23,ST,dirt,好,1200,126,06,良駒好友,4,9,2,45.5,45.5,-1.35,24.38,2.28,69.88,0.93,1 1 6,機械騎士,郎善好施,澳華威威,黃寶妮,何澤堯,4,113,127
2024-11-24,ST,dirt,好,1200,205,12,良駒好友,4,9,12,45.64,46.12,-0.73,23.89,1.79,70.01,1.06,8 7 12,越野大師,有派頭,郎善好施,何澤堯,何澤堯,4,123,127
2024-12-29,ST,dirt,好,1200,302,01,良駒好友,4,9,1,45.98,45.98,-0.87,23.06,0.96,69.04,0.09,1 1 1,良駒好友,勁先生,越野大師,黃寶妮,何澤堯,4,114,127
2025-01-12,ST,dirt,好,1200,339,11,良駒好友,4,9,1,45.13,45.13,-1.72,25.63,3.53,70.76,1.81,3 1 11,皇龍飛將,星火燎原,贏得自然,黃智弘,何澤堯,4,124,127
2025-02-12,ST,dirt,濕慢,1200,420,05,良駒好友,4,9,9,46.22,46.42,-0.43,25.09,2.99,71.51,2.56,3 3 5,日日獎,五福星,火神神樂,艾兆禮,何澤堯,4,133,127
2025-03-09,ST,dirt,好,1200,489,09,良駒好友,4,9,7,45.47,46.75,-0.1,23.43,1.33,70.18,1.23,11 10 9,贏得自然,超加加,運來勇士,奧爾民,何澤堯,4,130,127
2025-04-20,ST,dirt,好,1200,603,06,良駒好友,4,9,5,45.27,45.63,-1.22,24.32,2.22,69.95,1.0,3 3 6,實力哥,天天耍樂,機械騎士,潘明輝,何澤堯,4,129,127
2025-05-18,ST,grass,好/快,1200,683,10,良駒好友,4,9,10,45.83,45.83,-1.07,23.87,1.42,69.7,0.35,1 1 10,火悟空,手到齊來,彩虹七色,黃寶妮,何澤堯,4,116,127
2025-06-04,HV,grass,好/黏,1200,730,09,良駒好友,4,9,10,46.44,47.2,0.0,24.33,1.63,71.53,1.63,10 9 9,有鴻利,星火燎原,皇帝英明,周俊樂,何澤堯,4,124,127
2025-07-16,HV,grass,好/快,1200,840,04,良駒好友,4,9,5,45.83,46.91,-0.29,22.41,-0.29,69.32,-0.58,10 10 4,仁仁有餘,紅錢到,東來欣賞,霍宏聲,何澤堯,4,123,127
2025-09-14,ST,dirt,好,1200,021,05,良駒好友,4,9,5,45.59,46.47,-0.38,23.4,1.3,69.87,0.92,8 7 5,熾烈神駒,日日獎,囍眼光,黃寶妮,何澤堯,4,116,127
2025-09-28,ST,dirt,好,1200,048,12,良駒好友,4,9,12,44.95,45.51,-1.34,26.12,4.02,71.63,2.68,1 2 12,天天耍樂,開心五月,日日獎,黃寶妮,何澤堯,4,119,127
2025-10-15,HV,grass,好/快,1200,097,03,良駒好友,4,9,5,45.96,46.6,-0.6,23.1,0.4,69.7,-0.2,7 7 3,舞林寶典,駿馬之寶,良駒好友,何澤堯,何澤堯,4,122,127
2025-10-30,ST,dirt,好,1200,135,04,良駒好友,4,9,6,45.94,46.7,-0.15,24.1,2.0,70.8,1.85,10 8 4,火神神樂,後無來者,劍無名,黃寶妮,何澤堯,4,115,127
