日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-11,ST,grass,好/快,1400,663,13,盈益善,1,5,12,59.31,60.31,1.71,24.03,0.63,84.34,2.34,13 13 14 13,金勝名駒,怡昌奇兵,競駿天下,楊明綸,布文,4,127,135
2024-10-09,HV,grass,好,1650,087,02,盈益善,1,5,7,75.33,76.65,0.8,23.89,-0.36,100.54,0.44,12 11 11 2,勁好運,盈益善,武林至尊,何澤堯,布文,4,127,135
2024-10-27,HV,grass,好,1800,134,01,盈益善,1,5,7,85.54,86.34,1.04,23.27,-1.08,109.61,-0.04,7 6 7 6 1,盈益善,符號,皇仁福星,何澤堯,布文,4,125,135
2024-11-09,ST,grass,好,2000,169,03,盈益善,1,5,4,98.61,99.09,0.69,23.06,-0.89,122.15,-0.2,7 8 8 9 3,富喜來,慶萬家,盈益善,何澤堯,布文,4,135,135
2024-11-27,HV,grass,好,2200,215,03,盈益善,1,5,8,112.5,112.98,0.23,23.48,-0.82,136.46,-0.59,7 8 8 8 8 3,亞福得寶,管之友,盈益善,何澤堯,布文,4,135,135
2024-12-22,ST,grass,好,2000,282,05,盈益善,1,5,5,99.86,100.42,2.02,23.24,-0.71,123.66,1.31,7 9 9 10 5,富喜來,神駒馬靈,八駿笑昇,麥道朗,布文,4,135,135
2025-01-15,HV,grass,好,1800,348,01,盈益善,1,5,11,84.59,85.63,0.33,23.56,-0.79,109.19,-0.46,12 12 12 11 1,盈益善,獎星,大將,布文,布文,4,135,135
2025-02-19,HV,grass,好,1800,443,02,盈益善,1,5,11,84.09,85.41,0.41,23.08,-1.37,108.49,-0.96,12 12 12 12 2,快路,盈益善,久久為尊,希威森,布文,3,118,135
2025-03-12,HV,grass,好/快,1800,504,06,盈益善,1,5,8,86.24,87.2,2.2,22.88,-1.57,110.08,0.63,8 8 7 7 6,一起美麗,快路,北海盜,霍宏聲,布文,3,123,135
2025-04-02,HV,grass,好/快,2200,555,03,盈益善,1,5,6,110.8,111.56,-0.59,23.12,-1.33,134.68,-1.92,10 10 10 10 10 3,銀進,快路,盈益善,希威森,布文,3,121,135
2025-04-23,HV,grass,好,1800,619,07,盈益善,1,5,2,84.31,85.39,0.39,23.74,-0.71,109.13,-0.32,8 8 8 8 7,快路,星價,中華英雄,希威森,布文,3,123,135
2025-10-15,HV,grass,好/快,1800,103,03,盈益善,1,5,2,84.03,84.75,-0.25,23.72,-0.73,108.47,-0.98,8 9 8 9 3,星價,龍文鞭影,盈益善,希威森,布文,3,123,135
2025-12-03,HV,grass,好,1800,234,05,盈益善,1,5,7,85.4,86.2,1.2,23.14,-1.31,109.34,-0.11,7 7 7 5 5,春風萬里,奔放,龍文鞭影,希威森,布文,3,123,135
2025-12-23,HV,grass,好,2200,289,12,盈益善,1,5,7,111.23,112.11,-0.04,25.18,0.73,137.29,0.69,6 5 6 6 8 12,豐辰,奔放,發財先鋒,希威森,布文,3,123,135
2026-01-28,HV,grass,好/快,1800,392,05,盈益善,1,5,2,84.0,84.96,-0.04,23.38,-1.07,108.34,-1.11,7 7 7 7 5,中國心,奔放,發財先鋒,潘明輝,布文,3,118,135
2026-02-22,ST,grass,好,1600,464,11,盈益善,1,5,8,71.75,72.47,1.57,22.82,-0.98,95.29,0.59,9 10 10 11,泰力,超勁赤兔,開心勇駒,金誠剛,布文,3,119,135
