日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-17,ST,grass,好,1600,024,03,龍船快,9,2,12,71.58,71.58,0.48,23.63,-0.17,95.21,0.31,1 1 1 3,巴基之友,幸運雄威,龍船快,梁家俊,艾兆禮,4,123,119
2023-10-29,HV,grass,好,1800,126,11,龍船快,9,2,5,85.75,85.99,0.69,26.14,1.79,112.13,2.48,2 3 3 3 11,精準快車,華卓晴,飛來勁,梁家俊,艾兆禮,4,124,119
2023-11-11,ST,grass,好,2000,160,04,龍船快,9,2,7,98.08,98.16,-0.24,24.27,0.32,122.43,0.08,5 4 4 3 4,發財秘笈,得勝多,慶萬家,希威森,艾兆禮,4,124,119
2023-12-13,HV,grass,好,1800,244,03,龍船快,9,2,9,86.13,86.13,0.83,24.42,0.07,110.55,0.9,1 1 1 1 3,建測羣英,但求快活,龍船快,潘頓,艾兆禮,4,123,119
2023-12-29,HV,grass,好,1650,292,03,龍船快,9,2,7,75.98,75.98,0.13,24.98,0.73,100.96,0.86,1 1 1 3,美麗歡聲,鐵三角,龍船快,希威森,艾兆禮,4,128,119
2024-01-17,HV,grass,好,1800,344,05,龍船快,9,2,8,87.21,87.21,1.91,24.18,-0.17,111.39,1.74,2 2 2 2 5,滿多福,同寶寶,八駿笑昇,何澤堯,艾兆禮,4,124,119
2024-02-21,HV,grass,好,1800,441,02,龍船快,9,2,11,85.39,85.39,0.09,24.45,0.1,109.84,0.19,1 1 1 1 2,八駿笑昇,龍船快,家樂飛駒,周俊樂,艾兆禮,4,125,119
2024-03-16,ST,grass,好,1800,506,11,龍船快,9,2,5,83.27,83.27,-0.38,26.12,1.92,109.39,1.54,1 1 1 1 11,領航宇宙,一舖到位,十二神將,梁家俊,艾兆禮,4,129,119
2024-04-17,HV,grass,好,1800,592,10,龍船快,9,2,9,85.86,86.1,0.8,25.04,0.69,111.14,1.49,5 3 3 4 10,躡景追飛,金德義,領頭先駒,周俊樂,艾兆禮,4,126,119
2024-05-08,HV,grass,好,1800,652,02,龍船快,9,2,3,86.26,86.26,0.96,24.59,0.24,110.85,1.2,1 1 1 1 2,波爾多,龍船快,風雷暴,田泰安,艾兆禮,4,125,119
2024-05-22,HV,grass,好,1650,689,01,龍船快,9,2,5,75.2,75.32,-0.53,25.17,0.92,100.49,0.39,3 4 3 1,龍船快,金德義,架勢奇爸,田泰安,艾兆禮,4,126,119
2024-06-12,HV,grass,好,1800,744,05,龍船快,9,2,2,85.44,85.92,0.62,24.61,0.26,110.53,0.88,4 4 5 4 5,慶萬家,逐步贏,精準快車,田泰安,艾兆禮,4,129,119
2024-07-04,HV,grass,好,1800,798,03,龍船快,9,2,8,84.23,84.39,-0.91,24.79,0.44,109.18,-0.47,2 2 2 2 3,春風萬里,大將,龍船快,田泰安,艾兆禮,4,130,119
2024-07-14,ST,grass,好,1800,824,03,龍船快,9,2,7,85.3,85.3,1.65,23.69,-0.51,108.99,1.14,1 1 1 1 3,風火恆雲,年年友福,龍船快,希威森,艾兆禮,4,130,119
2024-09-18,HV,grass,好,1800,034,01,龍船快,9,2,4,86.12,86.12,0.82,24.35,0.0,110.47,0.82,2 1 1 1 1,龍船快,皇仁福星,風雷暴,艾兆禮,艾兆禮,4,131,119
2024-10-27,HV,grass,好,1800,134,08,龍船快,9,2,8,85.54,85.7,0.4,24.6,0.25,110.3,0.65,5 3 2 2 8,盈益善,符號,皇仁福星,艾兆禮,艾兆禮,4,134,119
2024-12-04,HV,grass,好,1650,235,02,龍船快,9,2,9,76.1,76.3,0.45,24.6,0.35,100.9,0.8,4 4 3 2,大力猴王,龍船快,得意佳作,巴米高,艾兆禮,4,134,119
2025-01-15,HV,grass,好,1650,354,11,龍船快,9,2,4,75.87,76.47,0.82,24.21,-0.04,100.68,0.78,8 8 8 11,時時精準,太陽勇士,時時稱心,巫顯東,艾兆禮,3,115,119
2025-02-19,HV,grass,好,1800,443,11,龍船快,9,2,7,84.09,84.17,-0.83,25.47,1.02,109.64,0.19,1 2 2 2 11,快路,盈益善,久久為尊,楊明綸,艾兆禮,3,115,119
2025-03-12,HV,grass,好/快,1650,497,08,龍船快,9,2,1,75.16,75.36,-0.49,24.73,0.48,100.09,-0.01,3 4 3 8,寶成智星,魔法速遞,旌鷹,艾兆禮,艾兆禮,4,135,119
2025-04-16,HV,grass,好/快,1650,596,10,龍船快,9,2,4,74.96,75.2,-0.65,25.14,0.89,100.34,0.24,3 3 2 10,卓越蒨鋒,皇仁福星,神駒馬靈,希威森,艾兆禮,4,134,119
2025-05-14,HV,grass,好/快,1650,671,03,龍船快,9,2,8,75.47,75.91,0.06,24.05,-0.2,99.96,-0.14,9 9 5 3,得意佳作,綠色好景,龍船快,希威森,艾兆禮,4,132,119
2025-06-11,HV,grass,好/快,1650,751,06,龍船快,9,2,3,74.52,75.16,-0.69,24.95,0.7,100.11,0.01,7 6 5 6,川河首駒,至旺財,好好紛,希威森,艾兆禮,4,132,119
2025-10-15,HV,grass,好/快,1650,099,04,龍船快,9,2,2,76.75,76.83,0.98,23.88,-0.37,100.71,0.61,1 1 2 4,凡凡有餘,祥勝將軍,榮耀盛甲,董明朗,艾兆禮,4,130,119
2025-11-02,HV,grass,好/快,1800,146,11,龍船快,9,2,3,84.7,84.94,-0.36,25.72,1.37,110.66,1.01,2 3 3 3 11,客家之光,風起雲湧,蜜蜜送,董明朗,艾兆禮,4,132,119
2025-11-15,ST,grass,好,2000,181,04,龍船快,9,2,3,98.14,98.34,-0.06,24.5,0.55,122.84,0.49,4 5 5 3 4,雙贏,智多多寶,八駿笑昇,董明朗,艾兆禮,4,128,119
2025-12-10,HV,grass,好,1650,249,10,龍船快,9,2,6,75.86,76.54,0.69,24.39,0.14,100.93,0.83,7 7 7 10,相映紅,祥勝將軍,將義,布文,艾兆禮,4,124,119
