日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-02-16,ST,grass,好/快,1000,435,05,顏色之皇,1,7,8,33.64,33.8,-2.0,22.74,2.09,56.54,0.09,5 2 5,馬力,錶之極光,連連有盈,艾兆禮,潘頓,3,128,135
2025-03-19,HV,grass,好/快,1000,516,01,顏色之皇,1,7,1,33.29,33.85,-1.8,22.41,1.41,56.26,-0.39,3 3 1,顏色之皇,年少多好,寰宇豐采,艾兆禮,潘頓,3,126,135
2025-04-09,HV,grass,好/快,1000,576,01,顏色之皇,1,7,4,33.21,33.97,-1.68,22.19,1.19,56.16,-0.49,5 5 1,顏色之皇,年少多好,領航君子,艾兆禮,潘頓,3,128,135
2025-04-30,HV,grass,好/快,1000,632,02,顏色之皇,1,7,1,33.92,34.2,-1.2,21.99,0.99,56.19,-0.21,3 3 2,輝煌精英,顏色之皇,狀元及第,艾兆禮,潘頓,2,120,135
2025-06-04,HV,grass,好/黏,1200,736,02,顏色之皇,1,7,4,45.71,46.07,-0.88,23.67,1.32,69.74,0.44,5 6 2,鈦易搵,顏色之皇,好友心得,艾兆禮,潘頓,2,123,135
2025-07-05,ST,grass,好/快,1200,817,07,顏色之皇,1,7,7,45.65,46.45,0.05,22.44,0.19,68.89,0.24,8 9 7,舞林密碼,人和家興,愛馬善,艾兆禮,潘頓,2,125,135
2025-10-22,HV,grass,好,1000,119,02,顏色之皇,1,7,8,33.3,34.18,-1.22,22.25,1.25,56.43,0.03,8 7 2,年少多好,顏色之皇,八駿巨昇,艾兆禮,潘頓,2,128,135
2025-11-02,HV,grass,好/快,1200,149,02,顏色之皇,1,7,12,45.45,45.93,-1.02,23.01,0.66,68.94,-0.36,4 4 2,風雲武士,顏色之皇,晨曦儷人,艾兆禮,潘頓,2,125,135
2025-11-30,ST,grass,好,1000,224,01,顏色之皇,1,7,2,33.73,34.41,-1.04,21.94,1.34,56.35,0.3,14 12 1,顏色之皇,翠紅,水晶酒杯,潘頓,潘頓,2,119,135
2026-01-04,ST,grass,好,1000,321,02,顏色之皇,1,7,4,33.54,34.26,-1.04,22.05,1.45,56.31,0.41,9 10 2,星際快車,顏色之皇,賢者無敵,潘頓,潘頓,0,124,135
2026-02-22,ST,grass,好,1000,458,02,顏色之皇,1,7,4,33.13,33.33,-2.12,22.07,1.47,55.4,-0.65,7 3 2,星際快車,顏色之皇,賢者無敵,潘頓,潘頓,2,134,135
