日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-01,ST,grass,好,1400,065,12,我做到,5,12,9,58.63,58.87,0.37,24.32,1.17,83.19,1.54,5 4 5 12,馬林,亞機拉,威之星,田泰安,鍾易禮 (-2),3,119,129
2024-01-13,ST,grass,好,1400,342,14,我做到,5,12,12,59.08,60.28,1.78,23.44,0.29,83.72,2.07,14 13 14 14,君達得,同樣美麗,一定美麗,艾兆禮,鍾易禮 (-2),3,118,129
2024-01-28,ST,grass,好,1400,372,03,我做到,5,12,4,58.84,59.6,1.0,23.35,-0.05,82.95,0.95,11 10 10 3,熊噹噹,你知我得,我做到,鍾易禮,鍾易禮 (-2),4,130,129
2024-02-04,ST,grass,好,1400,391,07,我做到,5,12,8,59.49,59.93,1.33,23.56,0.16,83.49,1.49,7 7 5 7,勝利神駒,機緣醉夢,仁心星,潘頓,鍾易禮 (-2),4,135,129
2024-03-03,ST,grass,好,1600,468,11,我做到,5,12,10,71.08,71.08,-0.02,24.72,0.92,95.8,0.9,1 1 1 11,十二神將,今朝更好,佳福駒,艾兆禮,鍾易禮 (-2),4,133,129
2024-03-24,ST,grass,好/快,1400,527,07,我做到,5,12,4,57.92,58.32,-0.28,23.69,0.29,82.01,0.01,5 5 5 7,忠誠寶寶,艾莉奧,金駿星,巴度,鍾易禮 (-2),4,133,129
2024-04-10,HV,grass,好,1650,575,06,我做到,5,12,9,78.05,78.61,2.76,23.66,-0.59,102.27,2.17,4 5 5 6,川河首駒,領創動力,耀寶駒,艾兆禮,鍾易禮 (-2),4,130,129
2024-04-24,HV,grass,好,1650,613,01,我做到,5,12,2,77.29,77.49,1.64,23.28,-0.97,100.77,0.67,3 3 4 1,我做到,獎星,怪獸奇兵,艾兆禮,鍾易禮 (-2),4,130,129
2024-05-15,HV,grass,好,1650,667,02,我做到,5,12,8,76.25,76.93,1.08,23.57,-0.68,100.5,0.4,7 7 7 2,好如意,我做到,超勁寶寶,艾兆禮,鍾易禮 (-2),4,135,129
2024-06-05,HV,grass,好/黏,1650,728,04,我做到,5,12,9,77.08,77.8,1.95,24.02,-0.23,101.82,1.72,9 8 9 4,北海盜,紅海勁,信心星,艾兆禮,鍾易禮 (-2),4,135,129
2024-06-26,HV,grass,好,1650,777,02,我做到,5,12,11,75.16,75.32,-0.53,24.17,-0.08,99.49,-0.61,7 6 2 2,駟跑得,我做到,獎星,艾兆禮,鍾易禮 (-2),4,135,129
2024-07-14,ST,grass,好,1600,830,04,我做到,5,12,12,71.22,71.3,0.4,23.76,-0.04,95.06,0.36,5 2 2 4,競駿飛翔,好勁力,星運少爵,艾兆禮,鍾易禮 (-2),3,117,129
2024-09-11,HV,grass,好,1650,017,03,我做到,5,12,10,75.89,76.85,1.2,24.38,0.13,101.23,1.33,9 9 9 3,喜蓮勇略,建測羣英,我做到,艾兆禮,鍾易禮 (-2),3,116,129
2024-09-25,HV,grass,好,1650,051,02,我做到,5,12,11,76.17,76.21,0.56,23.52,-0.73,99.73,-0.17,7 3 2 2,大千氣象,我做到,爭金奪冠,艾兆禮,鍾易禮 (-2),3,117,129
2024-10-09,HV,grass,好,1650,091,01,我做到,5,12,2,76.01,76.37,0.72,23.75,-0.5,100.12,0.22,4 5 5 1,我做到,久久為攻,黑桃火箭,艾兆禮,鍾易禮 (-2),3,119,129
2024-10-30,HV,grass,好,1650,145,06,我做到,5,12,3,75.75,76.51,0.86,23.62,-0.63,100.13,0.23,7 8 7 6,大千眼界,太陽勇士,勁好運,艾兆禮,鍾易禮 (-2),3,124,129
2024-11-20,HV,grass,好/黏,1650,199,04,我做到,5,12,1,75.61,76.01,0.36,23.81,-0.44,99.82,-0.08,5 7 7 4,開心勇駒,勁好運,浪漫老撾,巴度,鍾易禮 (-2),3,124,129
2024-12-11,HV,grass,好,1650,258,01,我做到,5,12,7,77.16,77.2,1.55,23.28,-0.97,100.48,0.58,2 2 2 1,我做到,大學生,駟跑得,艾兆禮,鍾易禮 (-2),3,124,129
2025-01-15,HV,grass,好,1650,354,12,我做到,5,12,10,75.87,75.99,0.34,24.79,0.54,100.78,0.88,2 2 2 12,時時精準,太陽勇士,時時稱心,艾兆禮,鍾易禮 (-2),3,129,129
2025-02-05,HV,grass,好,1650,405,04,我做到,5,12,3,76.7,76.98,1.33,23.29,-0.96,100.27,0.37,4 4 4 4,太陽勇士,時時精準,大學生,艾兆禮,鍾易禮 (-2),3,129,129
2025-02-26,HV,grass,好,1650,459,06,我做到,5,12,4,75.67,76.11,0.46,23.57,-0.68,99.68,-0.22,5 5 5 6,太陽勇士,浪漫老撾,中華英雄,艾兆禮,鍾易禮 (-2),3,123,129
2025-09-10,HV,grass,好,1650,015,03,我做到,5,12,9,75.39,76.03,0.38,23.64,-0.61,99.67,-0.23,7 7 7 3,龍文鞭影,智勇名駒,我做到,艾兆禮,鍾易禮 (-2),3,127,129
2025-09-17,HV,grass,好/快,1650,032,09,我做到,5,12,9,76.79,77.83,2.18,22.75,-1.5,100.58,0.68,9 9 9 9,黑桃火箭,久久為攻,暴風之子,艾兆禮,鍾易禮 (-2),3,131,129
2025-10-19,ST,grass,好/快,1600,113,11,我做到,5,12,5,70.08,70.44,-0.46,24.25,0.45,94.69,-0.01,7 6 6 11,火焰閃爍,幸運派彩,勁沙塵,艾兆禮,鍾易禮 (-2),3,129,129
2025-11-02,HV,grass,好/快,1650,150,01,我做到,5,12,8,77.22,77.3,1.65,22.98,-1.27,100.28,0.38,10 10 3 1,我做到,蓮冠皇,泰泰精神,霍宏聲,鍾易禮 (-2),3,128,129
2025-11-19,HV,grass,好,1650,197,04,我做到,5,12,8,75.09,75.77,0.12,23.83,-0.42,99.6,-0.3,10 10 10 4,勁好運,非凡豪傑,暴風之子,霍宏聲,鍾易禮 (-2),3,135,129
2025-12-17,HV,grass,好,1650,272,06,我做到,5,12,7,76.8,78.0,2.35,22.79,-1.46,100.79,0.89,10 10 10 6,有財有勢,超加加,勁進駒,霍宏聲,鍾易禮 (-2),3,135,129
2025-12-23,HV,grass,好,1650,292,08,我做到,5,12,9,75.53,75.93,0.43,23.49,-0.31,99.42,0.12,9 8 7 8,喜蓮勇感,鈦易搵,大浪圖田,潘明輝,鍾易禮 (-2),2,115,129
2026-01-28,HV,grass,好/快,1800,392,11,我做到,5,12,1,84.0,84.8,-0.2,24.78,0.33,109.58,0.13,6 6 6 6 11,中國心,奔放,發財先鋒,艾兆禮,鍾易禮 (-2),3,132,129
2026-02-14,ST,dirt,好,1650,438,13,我做到,5,12,5,73.71,74.79,-0.06,25.31,1.56,100.1,1.5,7 7 8 13,滿心星,皇龍飛將,浪漫戰神,潘明輝,鍾易禮 (-2),3,129,129
