日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-03,ST,grass,好/快,1400,155,09,優才,2,11,9,58.24,58.8,0.3,23.35,0.2,82.15,0.5,11 8 7 9,祝願,信心星,紫荊歡呼,艾道拿,田泰安,3,131,128
2024-12-11,HV,grass,好,1650,258,07,優才,2,11,6,77.16,77.92,2.27,22.98,-1.27,100.9,1.0,7 7 9 7,我做到,大學生,駟跑得,艾道拿,田泰安,3,130,128
2024-12-26,HV,grass,好,2200,289,01,優才,2,11,7,110.62,110.82,-1.33,24.66,0.21,135.48,-1.12,2 2 2 2 2 1,優才,一支箭,精算謀略,潘頓,田泰安,3,125,128
2025-01-19,ST,grass,好/快,2000,365,01,優才,2,11,3,97.47,97.83,-0.47,23.06,-0.34,120.89,-0.81,5 5 5 4 1,優才,又龍串鳳,桃花開,艾兆禮,田泰安,2,121,128
2025-05-04,ST,grass,好/快,2400,646,02,優才,2,11,4,127.81,127.81,4.56,21.92,-1.83,149.73,2.73,3 4 4 4 2 2,有目共賞,優才,又龍串鳳,周俊樂,田泰安,0,121,128
2025-05-31,ST,dirt,好,1650,726,08,優才,2,11,6,75.1,76.18,0.83,23.37,0.32,99.55,1.15,12 8 11 8,精英雄心,太陽勇士,電訊巴打,周俊樂,田泰安,2,121,128
2025-07-09,HV,grass,好/快,1800,826,12,優才,2,11,11,85.34,85.62,0.67,24.4,0.2,110.02,0.87,3 2 3 3 12,銀進,木火兄弟,包裝創新,霍宏聲,田泰安,2,134,128
2025-10-04,ST,dirt,封,1650,073,05,優才,2,11,6,74.12,75.08,-0.27,24.27,1.22,99.35,0.95,11 7 9 5,昇瀧駒,精英雄心,智跑得,周俊樂,田泰安,2,121,128
2025-10-30,ST,dirt,好,1650,140,06,優才,2,11,9,75.27,76.15,1.3,24.15,0.4,100.3,1.7,9 7 7 6,新意馬,智跑得,艾莉奧,周俊樂,田泰安,3,133,128
2025-11-23,ST,grass,好,2000,201,07,優才,2,11,3,97.79,97.99,-0.36,24.2,0.65,122.19,0.29,3 3 6 4 7,天將龍駒,盈好威楓,飛雪神駒,黃智弘,田泰安,3,126,128
2025-12-27,ST,grass,好,2000,295,04,優才,2,11,1,97.09,97.25,-1.05,24.01,0.61,121.26,-0.44,4 3 3 4 4,數字天文,天將龍駒,君子傳承,田泰安,田泰安,2,115,128
2026-01-25,ST,grass,好/快,2000,376,09,優才,2,11,7,97.39,97.75,-0.55,25.42,2.02,123.17,1.47,3 3 3 4 9,天將龍駒,盈好威楓,君子傳承,周俊樂,田泰安,2,122,128
2026-02-19,ST,grass,好,2000,452,08,優才,2,11,3,96.92,97.12,-1.23,24.75,1.2,121.87,-0.03,3 4 3 3 8,君子傳承,奔放,安可,田泰安,田泰安,3,132,128
2026-03-01,ST,grass,好,2000,484,10,優才,2,11,8,96.7,97.66,-0.69,24.0,0.45,121.66,-0.24,13 14 14 14 10,君子傳承,火焰閃爍,發財先鋒,巴度,田泰安,3,125,128
