日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-24,ST,grass,好,1400,043,10,飛輪步,4,8,8,57.48,57.92,-0.58,24.84,1.69,82.76,1.11,2 2 4 10,黃腳鱲,神虎龍駒,勇敢夢想,巴度,奧爾民,3,124,124
2023-10-11,HV,grass,好,1650,076,02,飛輪步,4,8,1,75.49,75.49,-0.16,24.16,-0.09,99.65,-0.25,1 1 1 2,大學生,飛輪步,美麗滿滿,周俊樂,奧爾民,3,120,124
2023-11-01,HV,grass,好,1650,136,03,飛輪步,4,8,12,75.75,76.23,0.58,24.5,0.25,100.73,0.83,9 10 8 3,超超比,波爾多,飛輪步,田泰安,奧爾民,3,126,124
2023-11-08,HV,grass,好,1800,154,08,飛輪步,4,8,4,84.06,84.06,-0.94,25.09,0.64,109.15,-0.3,1 1 1 1 8,中華英雄,多多勇駒,手到再來,周俊樂,奧爾民,3,122,124
2023-12-13,HV,grass,好,1650,249,01,飛輪步,4,8,5,76.05,76.05,0.4,24.29,0.04,100.34,0.44,1 1 1 1,飛輪步,威武覺醒,馬爾代夫,潘頓,奧爾民,3,122,124
2023-12-29,HV,grass,好,1650,296,02,飛輪步,4,8,9,76.45,76.45,0.8,23.98,-0.27,100.43,0.53,1 1 1 2,久久為攻,飛輪步,十八掌,霍宏聲,奧爾民,3,127,124
2024-01-17,HV,grass,好,1650,349,08,飛輪步,4,8,9,76.41,76.41,0.76,25.01,0.76,101.42,1.52,1 1 1 8,獨角獸,錶之量子,加州偟者,潘頓,奧爾民,3,132,124
2024-02-07,HV,grass,好,1650,404,02,飛輪步,4,8,4,76.36,76.48,0.83,24.67,0.42,101.15,1.25,1 1 2 2,十八掌,飛輪步,美麗滿滿,周俊樂,奧爾民,3,125,124
2024-02-21,HV,grass,好,1650,443,08,飛輪步,4,8,8,75.81,75.81,0.16,24.23,-0.02,100.04,0.14,1 1 1 8,又龍串鳳,開心勇駒,赤兔猴王,希威森,奧爾民,3,124,124
2024-03-27,HV,grass,好,1650,539,04,飛輪步,4,8,3,76.14,76.14,0.49,24.43,0.18,100.57,0.67,1 1 1 4,展宏圖,飛漲,錶之量子,巴度,奧爾民,3,129,124
2024-04-03,ST,dirt,好,1650,558,08,飛輪步,4,8,4,74.18,74.42,-0.43,24.29,0.54,98.71,0.11,3 2 2 8,獨角獸,都靈福星,魅影獵飛,巴度,奧爾民,3,122,124
2024-05-05,ST,grass,好,1400,646,01,飛輪步,4,8,12,58.71,58.71,0.21,23.29,0.14,82.0,0.35,2 2 2 1,飛輪步,巴閉仔,晴王,布文,奧爾民,3,127,124
2024-05-26,ST,grass,好,1400,703,12,飛輪步,4,8,3,58.52,58.84,0.34,23.36,0.21,82.2,0.55,2 4 5 12,大浪圖田,快搏,球星,潘頓,奧爾民,3,125,124
2024-06-23,ST,grass,好,1400,772,09,飛輪步,4,8,7,57.81,58.85,0.35,24.22,1.07,83.07,1.42,8 11 13 9,球星,同樣美麗,大浪圖田,鍾易禮,奧爾民,3,128,124
2024-07-14,ST,grass,好,1600,830,12,飛輪步,4,8,11,71.22,71.5,0.6,25.45,1.65,96.95,2.25,4 4 4 12,競駿飛翔,好勁力,星運少爵,布文,奧爾民,3,132,124
2024-11-20,HV,grass,好/黏,1650,199,11,飛輪步,4,8,10,75.61,75.85,0.2,25.7,1.45,101.55,1.65,4 4 5 11,開心勇駒,勁好運,浪漫老撾,布文,奧爾民,3,131,124
2024-12-15,ST,grass,好,1400,266,01,飛輪步,4,8,4,58.9,58.9,0.4,22.52,-0.63,81.42,-0.23,1 1 1 1,飛輪步,鈦易搵,大浪圖田,霍宏聲,奧爾民,3,127,124
2024-12-29,ST,grass,好,1400,306,01,飛輪步,4,8,13,59.41,59.49,0.99,22.71,-0.44,82.2,0.55,3 2 2 1,飛輪步,風雲武士,但求開心,潘頓,奧爾民,3,135,124
2025-01-12,ST,grass,好,1400,343,07,飛輪步,4,8,4,57.87,58.31,-0.04,22.95,-0.15,81.26,-0.19,5 6 6 7,球星,競駿輝煌,玩笑,巴度,奧爾民,2,122,124
