日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-11-11,ST,grass,好,1200,157,06,定數,4,2,13,45.6,47.0,0.1,23.34,0.89,70.34,0.99,13 11 6,鈦易搵,非凡達,球星,霍宏聲,霍宏聲,4,129,133
2023-12-23,ST,grass,好,1400,271,01,定數,4,2,4,60.18,60.38,1.78,22.82,-0.58,83.2,1.2,2 3 2 1,定數,非凡達,金獅勝將,霍宏聲,霍宏聲,4,129,133
2024-03-16,ST,grass,好,1400,510,02,定數,4,2,14,58.88,59.0,0.4,23.53,0.13,82.53,0.53,5 2 2 2,陽光勇士,定數,機緣醉夢,艾兆禮,霍宏聲,4,133,133
2024-04-14,ST,grass,好/快,1400,586,12,定數,4,2,12,58.65,59.33,0.73,23.57,0.17,82.9,0.9,12 11 11 12,馬主雄風,金榜之星,信心星,霍宏聲,霍宏聲,4,135,133
2024-05-19,ST,grass,好,1400,680,05,定數,4,2,8,59.28,60.2,1.6,23.27,-0.13,83.47,1.47,8 9 10 5,信心星,艾莉奧,大利好運,霍宏聲,霍宏聲,4,134,133
2024-06-08,ST,grass,好,1600,740,12,定數,4,2,14,70.48,71.36,0.26,25.83,2.03,97.19,2.29,4 4 10 12,艾莉奧,勝意,精算特殊,班德禮,霍宏聲,4,135,133
2024-07-14,ST,grass,好,1400,826,11,定數,4,2,8,58.76,59.52,0.92,23.61,0.21,83.13,1.13,8 9 12 11,天天得樂,神馳,堅闖,班德禮,霍宏聲,4,135,133
2024-12-29,ST,grass,好,1400,303,01,定數,4,2,9,58.25,59.13,0.53,22.68,-0.72,81.81,-0.19,13 13 12 1,定數,龍城強將,騰龍四海,霍宏聲,霍宏聲,4,130,133
2025-01-31,ST,grass,好,1400,397,11,定數,4,2,8,58.27,59.27,0.77,23.13,-0.02,82.4,0.75,12 12 14 11,包裝福星,不同世界,穿甲戰鷹,班德禮,霍宏聲,3,121,133
2025-02-23,ST,grass,好,1400,454,10,定數,4,2,13,57.83,58.95,0.45,23.04,-0.11,81.99,0.34,13 13 13 10,至尊高超,穿甲戰鷹,樂勝天下,班德禮,霍宏聲,3,118,133
2025-04-06,ST,grass,好,1600,571,13,定數,4,2,3,70.56,71.16,0.26,24.85,1.05,96.01,1.31,6 8 8 13,首飾天空,龍城精將,久久為尊,鍾易禮,霍宏聲,3,114,133
2025-05-04,ST,grass,好/快,1400,649,03,定數,4,2,3,58.12,59.0,0.5,22.53,-0.62,81.53,-0.12,10 10 11 3,時時歡聲,元朗精英,定數,希威森,霍宏聲,3,117,133
2025-06-08,ST,grass,好/快,1400,744,04,定數,4,2,4,58.58,59.62,1.12,22.59,-0.56,82.21,0.56,10 10 10 4,巴閉仔,神馳,本領輝煌,希威森,霍宏聲,3,117,133
2025-07-05,ST,grass,好/快,1400,818,03,定數,4,2,5,57.92,58.6,0.1,22.78,-0.37,81.38,-0.27,12 12 10 3,同樣美麗,錶之星河,定數,田泰安,霍宏聲,3,119,133
2026-02-08,ST,grass,好,1400,423,07,定數,4,2,11,58.21,59.09,0.59,23.12,-0.03,82.21,0.56,14 14 10 7,會當凌,嘉應奇兵,至尊高超,楊明綸,霍宏聲,3,116,133
2026-03-01,ST,grass,好,1400,476,09,定數,4,2,3,58.1,59.42,0.82,23.12,-0.28,82.54,0.54,13 13 13 9,超拍檔,加州勇勝,紅衣醒目,霍宏聲,霍宏聲,4,135,133
