日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-02-18,ST,grass,好,1200,428,02,好精神,11,7,2,46.13,47.09,0.19,22.59,0.14,69.68,0.33,7 7 2,飲杯,好精神,志勝時機,田泰安,潘明輝,4,127,123
2024-03-16,ST,grass,好,1200,508,08,好精神,11,7,11,46.25,46.65,-0.25,23.39,0.94,70.04,0.69,5 5 8,快狠準,佳運發,新力,田泰安,潘明輝,4,129,123
2024-04-14,ST,grass,好/快,1400,580,06,好精神,11,7,4,58.3,58.82,0.22,23.51,0.11,82.33,0.33,8 7 8 6,金勝名駒,翹峯,競駿天下,田泰安,潘明輝,4,129,123
2024-05-19,ST,grass,好,1200,678,10,好精神,11,7,11,45.79,46.91,0.01,23.34,0.89,70.25,0.9,8 8 10,輝煌精英,鑽石星空,獎金大少,希威森,潘明輝,4,126,123
2024-06-23,ST,grass,好/快,1400,766,06,好精神,11,7,10,58.96,60.2,1.6,22.24,-1.16,82.44,0.44,10 9 9 6,綠族光芒,勇霸龍,遙遙領先,潘明輝,潘明輝,4,122,123
2024-07-14,ST,grass,好,1400,827,05,好精神,11,7,1,58.81,59.29,0.69,23.15,-0.25,82.44,0.44,4 5 6 5,遙遙領先,翹峯,聚風雲,潘明輝,潘明輝,4,121,123
2024-10-01,ST,grass,好/快,1200,067,01,好精神,11,7,2,45.66,46.34,-0.56,22.74,0.29,69.08,-0.27,6 6 1,好精神,帥帥友福,城中勇士,潘明輝,潘明輝,4,121,123
2024-11-03,ST,grass,好/快,1200,148,03,好精神,11,7,1,45.76,46.4,-0.5,22.8,0.35,69.2,-0.15,5 5 3,增強,包裝福星,好精神,潘明輝,潘明輝,4,125,123
2024-11-24,ST,grass,好,1200,204,05,好精神,11,7,6,45.93,46.73,-0.17,23.06,0.61,69.79,0.44,10 8 5,康樂高球,天賜喜,帥帥友福,潘明輝,潘明輝,4,125,123
2024-12-29,ST,grass,好,1400,300,09,好精神,11,7,3,58.62,59.18,0.58,23.65,0.25,82.83,0.83,10 9 10 9,安泰,紫荊拼搏,滿心星,潘明輝,潘明輝,4,126,123
2025-01-19,ST,grass,好,1200,356,07,好精神,11,7,8,46.66,47.62,0.72,22.56,0.11,70.18,0.83,10 11 7,熾烈神駒,喜尊龍,智勝攻略,潘明輝,潘明輝,4,127,123
2025-02-05,HV,grass,好,1200,400,03,好精神,11,7,8,45.98,46.74,-0.46,23.35,0.65,70.09,0.19,8 7 3,光輝所願,飛黃,好精神,潘明輝,潘明輝,4,123,123
2025-03-12,HV,grass,好/快,1200,498,01,好精神,11,7,7,46.16,46.76,-0.44,23.31,0.61,70.07,0.17,7 8 1,好精神,電玩精英,競馬一心,艾兆禮,潘明輝,4,123,123
2025-04-16,HV,grass,好/快,1200,599,04,好精神,11,7,6,46.17,47.21,0.01,23.18,0.48,70.39,0.49,7 7 4,幸運星球,有鴻利,首駿,艾兆禮,潘明輝,4,130,123
2025-05-14,HV,grass,好/快,1200,675,10,好精神,11,7,6,46.77,47.33,0.13,23.37,0.67,70.7,0.8,8 8 10,千杯敬典,星火燎原,洛河,艾兆禮,潘明輝,4,129,123
2025-06-11,HV,grass,好/快,1650,751,07,好精神,11,7,9,74.52,75.6,-0.25,24.52,0.27,100.12,0.02,10 10 10 7,川河首駒,至旺財,好好紛,艾兆禮,潘明輝,4,130,123
2025-09-10,HV,grass,好,1200,017,08,好精神,11,7,3,46.97,47.21,0.01,23.49,0.79,70.7,0.8,5 5 8,天外迎天,東來欣賞,一生好彩,潘明輝,潘明輝,4,128,123
2025-10-01,ST,grass,好/快,1200,057,04,好精神,11,7,13,45.59,46.99,0.09,22.56,0.11,69.55,0.2,14 10 4,錶之極光,金風萬里,賢心星,艾兆禮,潘明輝,4,128,123
2025-11-09,ST,grass,好,1200,165,02,好精神,11,7,11,46.58,47.06,0.16,23.18,0.73,70.24,0.89,10 8 2,弦力寶,好精神,加州本事,杜苑欣,潘明輝,4,124,123
2025-12-20,ST,grass,好,1200,277,04,好精神,11,7,4,46.35,46.99,0.09,22.56,0.11,69.55,0.2,7 6 4,會當凌,葳莉非凡,實力加,杜苑欣,潘明輝,4,124,123
2026-01-14,HV,grass,好,1200,350,03,好精神,11,7,7,45.33,46.73,-0.47,23.16,0.46,69.89,-0.01,9 7 3,紅錢到,花好月盈,好精神,艾兆禮,潘明輝,4,126,123
2026-02-04,HV,grass,好/快,1200,405,03,好精神,11,7,2,46.2,46.68,-0.52,22.96,0.26,69.64,-0.26,5 5 3,棒棒糖,寶成智好,好精神,艾兆禮,潘明輝,4,130,123
2026-02-25,HV,grass,好,1200,470,06,好精神,11,7,3,45.74,46.42,-0.78,23.53,0.83,69.95,0.05,6 7 6,彩虹七色,當家精彩,金風萬里,艾兆禮,潘明輝,4,125,123
