日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-03-12,HV,grass,好/快,1200,502,09,超開心,12,3,1,44.84,46.04,-1.01,23.72,1.17,69.76,0.16,4 6 9,天足貓,佛亮老撾,綫路盈樂,鍾易禮,潘頓,3,125,121
2025-04-09,HV,grass,好/快,1200,580,08,超開心,12,3,4,46.36,47.24,0.19,22.8,0.25,70.04,0.44,8 9 8,金發盛世,風雲武士,鈁糖武士,鍾易禮,潘頓,3,123,121
2025-04-20,ST,grass,好/快,1400,610,12,超開心,12,3,2,58.21,58.97,0.47,22.98,-0.17,81.95,0.3,9 10 10 12,南區之星,至尊高超,紫荊歡呼,鍾易禮,潘頓,3,124,121
2025-05-07,HV,grass,好,1650,657,08,超開心,12,3,12,75.23,76.07,0.42,24.19,-0.06,100.26,0.36,8 7 8 8,瑪瑙,勝意,智勇名駒,鍾易禮,潘頓,3,118,121
2025-05-28,HV,grass,好/快,1650,714,08,超開心,12,3,4,74.8,75.04,-0.61,24.54,0.29,99.58,-0.32,3 3 3 8,銀進,爆得美麗,唯美主義,鍾易禮,潘頓,3,116,121
2025-06-14,ST,dirt,濕快,1200,765,10,超開心,12,3,7,45.14,46.3,-0.2,23.99,1.94,70.29,1.74,11 11 10,智跑得,晶晶日上,包裝伯樂,鍾易禮,潘頓,3,115,121
2025-06-28,ST,grass,好,1200,790,13,超開心,12,3,6,47.08,47.8,0.9,23.29,0.84,71.09,1.74,12 11 13,合夥飛馳,嫡愛好,金創福威,鍾易禮,潘頓,4,133,121
2025-09-07,ST,grass,好,1200,006,10,超開心,12,3,9,46.03,47.07,0.17,22.59,0.14,69.66,0.31,11 10 10,辣得準,錶之極光,白鷺金剛,鍾易禮,潘頓,4,131,121
2025-10-08,HV,grass,好/快,1650,079,05,超開心,12,3,6,74.29,74.53,-1.32,24.76,0.51,99.29,-0.81,3 3 3 5,勁進駒,康昌之星,堅多福,艾道拿,潘頓,4,129,121
2025-11-05,HV,grass,好/快,1650,154,08,超開心,12,3,2,74.76,74.76,-1.09,25.07,0.82,99.83,-0.27,1 1 1 8,相映紅,翠兒威威,活力精神,艾兆禮,潘頓,4,131,121
2025-11-23,ST,grass,好,1400,199,13,超開心,12,3,11,57.72,58.28,-0.32,25.54,2.14,83.82,1.82,2 3 5 13,一世美麗,文明福星,千杯不醉,杜苑欣,潘頓,4,126,121
2025-12-07,ST,grass,好,1200,237,09,超開心,12,3,11,46.19,46.35,-0.55,24.35,1.9,70.7,1.35,1 2 9,香港仔,志滿同行,銳目,希威森,潘頓,4,121,121
2025-12-20,ST,grass,好,1200,277,08,超開心,12,3,10,46.35,47.07,0.17,23.25,0.8,70.32,0.97,6 7 8,會當凌,葳莉非凡,實力加,鍾易禮,潘頓,4,119,121
2026-01-04,ST,grass,好,1400,318,03,超開心,12,3,6,57.48,57.72,-0.88,23.94,0.54,81.66,-0.34,6 4 3 3,威武年代,仁仁有餘,超開心,艾兆禮,潘頓,4,120,121
2026-01-18,ST,grass,好,1400,357,02,超開心,12,3,6,58.0,58.28,-0.32,23.39,-0.01,81.67,-0.33,3 3 3 2,雙星報喜,超開心,超風速,艾兆禮,潘頓,4,119,121
2026-02-08,ST,grass,好,1400,416,07,超開心,12,3,4,57.85,58.25,-0.35,24.15,0.75,82.4,0.4,5 5 5 7,幸運奇兵,友瑩亮,海王,艾兆禮,潘頓,4,121,121
