日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-13,ST,grass,好/快,1200,102,08,手到齊來,7,1,4,45.65,46.21,-0.19,22.95,0.7,69.16,0.51,9 9 8,氣勢,天天同樂,華麗再勝,田泰安,金誠剛,2,118,120
2024-10-27,HV,grass,好,1200,138,11,手到齊來,7,1,7,45.76,45.88,-1.07,25.23,2.88,71.11,1.81,1 2 11,合夥奔馳,幸運遇見,精算暴雪,梁家俊,金誠剛,2,120,120
2024-11-09,ST,grass,好/快,1200,174,05,手到齊來,7,1,12,45.17,45.17,-1.48,23.85,1.5,69.02,0.02,1 1 5,耀寶,河好運,風雲武士,霍宏聲,金誠剛,3,135,120
2024-11-24,ST,dirt,好,1200,206,11,手到齊來,7,1,2,45.18,45.26,-1.24,25.45,3.4,70.71,2.16,2 2 11,自強不息,德心知遇,勝意龍,霍宏聲,金誠剛,3,135,120
2024-12-08,ST,grass,好,1200,242,14,手到齊來,7,1,12,45.57,45.81,-0.84,24.72,2.37,70.53,1.53,3 3 14,開心寶寶,皇者有利,競駿先鋒,田泰安,金誠剛,3,135,120
2025-01-01,ST,grass,好,1200,315,07,手到齊來,7,1,9,46.16,46.16,-0.49,23.76,1.41,69.92,0.92,1 1 7,勇霸龍,飲杯,自動自覺,霍宏聲,金誠剛,3,135,120
2025-01-26,ST,grass,好,1200,385,13,手到齊來,7,1,8,46.64,46.8,0.15,23.96,1.61,70.76,1.76,4 4 13,膨才,馬上盈,飲杯,鍾易禮,金誠剛,3,131,120
2025-02-12,ST,dirt,濕慢,1200,425,09,手到齊來,7,1,10,46.05,47.93,1.43,24.3,2.25,72.23,3.68,11 11 10,德心知遇,智跑得,自強不息,黃智弘,金誠剛,3,121,120
2025-03-02,ST,grass,好/快,1200,475,07,手到齊來,7,1,6,45.84,46.36,-0.29,23.02,0.67,69.38,0.38,4 4 7,舉步生風,輝煌精英,真心傳奇,鍾易禮,金誠剛,3,116,120
2025-03-15,ST,grass,好/黏,1400,513,12,手到齊來,7,1,7,58.57,58.89,0.39,25.38,2.23,84.27,2.62,5 2 6 12,至尊高超,光年八十,瑪瑙,鍾易禮,金誠剛,3,121,120
2025-04-06,ST,grass,好,1200,567,12,手到齊來,7,1,5,46.22,46.22,-0.43,23.8,1.45,70.02,1.02,1 1 12,增強,健康快車,魯班精神,黃寶妮,金誠剛,3,109,120
2025-05-04,ST,grass,好/快,1400,647,05,手到齊來,7,1,8,57.64,57.64,-0.96,24.06,0.66,81.7,-0.3,1 1 1 5,一定超,勁沙塵,凱旋幸運,巫顯東,金誠剛,4,133,120
2025-05-10,ST,dirt,好,1650,662,09,手到齊來,7,1,5,73.42,73.42,-1.83,26.99,3.19,100.41,1.36,1 1 1 9,飛騰騅,大利好運,天時明駒,周俊樂,金誠剛,4,130,120
2025-05-18,ST,grass,好/快,1200,683,02,手到齊來,7,1,2,45.83,46.11,-0.79,22.98,0.53,69.09,-0.26,3 3 2,火悟空,手到齊來,彩虹七色,奧爾民,金誠剛,4,129,120
2025-06-08,ST,grass,好/快,1200,738,02,手到齊來,7,1,8,45.71,45.71,-1.19,23.01,0.56,68.72,-0.63,1 1 2,臻至辰,手到齊來,渡月橋,奧爾民,金誠剛,4,131,120
2025-07-01,ST,grass,好,1200,801,01,手到齊來,7,1,8,45.34,45.34,-1.56,23.83,1.38,69.17,-0.18,1 1 1,手到齊來,加州本事,喜勝駿駒,奧爾民,金誠剛,4,134,120
2025-07-13,ST,grass,好/快,1200,837,06,手到齊來,7,1,11,45.2,45.2,-1.45,23.79,1.44,68.99,-0.01,1 1 6,星月飛雲,小鳥天堂,魅力寶駒,黃智弘,金誠剛,3,118,120
2025-09-07,ST,grass,好,1200,009,04,手到齊來,7,1,10,45.43,45.47,-1.18,23.54,1.19,69.01,0.01,2 2 4,燈胆將軍,天星,自力更生,蔡明紹,金誠剛,3,125,120
2025-09-21,ST,grass,軟,1200,042,02,手到齊來,7,1,11,45.98,45.98,-0.67,23.91,1.56,69.89,0.89,1 1 2,信心星,手到齊來,天福,奧爾民,金誠剛,3,126,120
