日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-01,ST,grass,好,1200,315,06,奔放,3,13,8,46.16,47.04,0.39,22.88,0.53,69.92,0.92,8 10 6,勇霸龍,飲杯,自動自覺,鍾易禮,蔡明紹,3,123,132
2025-01-19,ST,grass,好/快,1400,362,11,奔放,3,13,11,58.22,59.14,0.64,23.11,-0.04,82.25,0.6,10 10 13 11,錶之宇宙,自力更生,光年魅力,鍾易禮,蔡明紹,3,121,132
2025-02-16,ST,grass,好/快,1800,433,03,奔放,3,13,5,83.91,83.91,0.41,23.12,-0.88,107.03,-0.47,1 1 1 1 3,遙遙領先,平凡騎士,奔放,班德禮,蔡明紹,3,121,132
2025-03-09,ST,grass,好/快,1600,495,05,奔放,3,13,3,70.61,70.61,-0.29,23.62,-0.18,94.23,-0.47,1 1 1 5,錶之宇宙,納百川,光年魅力,鍾易禮,蔡明紹,3,118,132
2025-03-23,ST,grass,好/快,1800,533,12,奔放,3,13,10,82.9,82.94,-0.56,24.96,0.96,107.9,0.4,2 1 1 2 12,包裝明駒,安可,金勝名駒,鍾易禮,蔡明紹,3,112,132
2025-04-13,ST,grass,好,1800,590,07,奔放,3,13,3,83.94,84.94,1.44,22.62,-1.38,107.56,0.06,12 12 11 12 7,天將龍駒,金主,昭易搵,鍾易禮,蔡明紹,3,118,132
2025-05-04,ST,grass,好/快,2000,648,01,奔放,3,13,5,99.58,99.58,1.23,22.56,-0.99,122.14,0.24,1 1 1 1 1,奔放,金主,天將龍駒,鍾易禮,蔡明紹,3,114,132
2025-05-25,ST,grass,好,2000,706,02,奔放,3,13,13,97.35,97.35,-1.0,23.84,0.29,121.19,-0.71,1 1 1 1 2,金主,奔放,安可,鍾易禮,蔡明紹,3,117,132
2025-06-14,ST,grass,好,1800,764,09,奔放,3,13,1,83.27,83.27,-0.23,24.81,0.81,108.08,0.58,1 1 1 1 9,春風萬里,君子傳承,天將龍駒,鍾易禮,蔡明紹,3,127,132
2025-10-15,HV,grass,好/快,1800,103,04,奔放,3,13,1,84.03,84.03,-0.97,24.54,0.09,108.57,-0.88,1 1 1 1 4,星價,龍文鞭影,盈益善,鍾易禮,蔡明紹,3,124,132
2025-11-12,HV,grass,好/快,1800,177,03,奔放,3,13,3,85.71,85.71,0.71,23.94,-0.51,109.65,0.2,1 1 1 1 3,非惟僥倖,滿心星,奔放,鍾易禮,蔡明紹,3,125,132
2025-12-03,HV,grass,好,1800,234,02,奔放,3,13,4,85.4,85.4,0.4,23.67,-0.78,109.07,-0.38,1 1 1 1 2,春風萬里,奔放,龍文鞭影,鍾易禮,蔡明紹,3,124,132
2025-12-23,HV,grass,好,2200,289,02,奔放,3,13,4,111.23,111.23,-0.92,24.02,-0.43,135.25,-1.35,1 1 1 1 1 2,豐辰,奔放,發財先鋒,蔡明紹,蔡明紹,3,129,132
2026-01-11,ST,grass,好/快,1800,342,10,奔放,3,13,11,82.32,82.32,-1.18,25.14,1.14,107.46,-0.04,1 1 1 1 10,發財先鋒,桃花開,豐辰,蔡明紹,蔡明紹,3,124,132
2026-01-28,HV,grass,好/快,1800,392,02,奔放,3,13,3,84.0,84.0,-1.0,23.79,-0.66,107.79,-1.66,1 1 1 1 2,中國心,奔放,發財先鋒,蔡明紹,蔡明紹,3,128,132
2026-02-19,ST,grass,好,2000,452,02,奔放,3,13,4,96.92,96.92,-1.43,24.04,0.49,120.96,-0.94,1 1 1 1 2,君子傳承,奔放,安可,蔡明紹,蔡明紹,3,131,132
2026-03-01,ST,grass,好,2000,484,12,奔放,3,13,10,96.7,96.7,-1.65,25.49,1.94,122.19,0.29,1 1 1 1 12,君子傳承,火焰閃爍,發財先鋒,蔡明紹,蔡明紹,3,127,132
