日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-02-16,ST,grass,好/快,1400,430,09,捷足奔馳,8,8,13,57.79,58.91,0.31,23.55,0.15,82.46,0.46,12 13 13 9,鐵金剛,博愛先鋒,勝得福,田泰安,金誠剛,4,127,129
2025-03-09,ST,grass,好/快,1600,488,09,捷足奔馳,8,8,2,70.77,71.49,0.39,23.67,-0.13,95.16,0.26,7 11 11 9,昭易搵,凱旋幸運,聚風雲,奧爾民,金誠剛,4,127,129
2025-03-30,ST,grass,好,2000,543,03,捷足奔馳,8,8,11,97.97,98.49,0.09,24.05,0.1,122.54,0.19,4 4 5 5 3,勁大威猛,管之友,捷足奔馳,湯普新,金誠剛,4,127,129
2025-04-16,HV,grass,好/快,2200,593,10,捷足奔馳,8,8,10,112.51,112.83,0.08,25.09,0.79,137.92,0.87,1 1 2 2 6 10,管之友,幸運同行,八駿笑昇,潘頓,金誠剛,4,127,129
2025-05-07,HV,grass,好,2200,652,11,捷足奔馳,8,8,4,113.5,114.5,1.75,29.29,4.99,143.79,6.74,5 7 7 7 11 11,幸運同行,客家之光,管之友,潘頓,金誠剛,4,127,129
2025-06-14,ST,grass,好,1800,761,06,捷足奔馳,8,8,9,83.7,84.46,0.81,23.62,-0.58,108.08,0.23,11 9 8 9 6,竣誠駒,青春力量,蜜蜜送,湯普新,金誠剛,4,122,129
2025-09-21,ST,grass,軟,1600,041,06,捷足奔馳,8,8,6,72.44,73.0,1.9,24.69,0.89,97.69,2.79,4 4 7 6,小飛俠,彭玥,開心宇宙,蔡明紹,金誠剛,4,121,129
2025-10-26,ST,grass,好/快,1600,126,09,捷足奔馳,8,8,9,70.22,70.46,-0.64,24.03,0.23,94.49,-0.41,8 5 3 9,長峰小子,光明傳承,創科群英,蔡明紹,金誠剛,4,117,129
2025-11-15,ST,grass,好,1800,180,07,捷足奔馳,8,8,7,83.36,84.36,0.11,24.6,0.4,108.96,0.51,8 8 7 10 7,齊歡最樂,型到爆,瀧澤飛駒,麥道朗,金誠剛,5,135,129
2025-12-03,HV,grass,好,1800,229,10,捷足奔馳,8,8,4,86.16,86.64,1.09,24.28,-0.12,110.92,0.97,6 6 6 5 10,瀧澤飛駒,步風雷,堅多福,麥道朗,金誠剛,5,133,129
2026-03-04,HV,grass,好/黏,1800,486,09,捷足奔馳,8,8,10,85.58,86.42,0.87,23.51,-0.89,109.93,-0.02,12 12 12 11 9,堅多福,開心三多,幸運同行,金誠剛,金誠剛,5,130,129
