日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-01,ST,grass,好,1600,061,14,香港精神,6,7,6,72.29,73.01,1.91,23.63,-0.17,96.64,1.74,9 11 13 14,禪勝輝煌,唯美主義,將俠,梁家俊,蔡明紹,4,135,131
2023-10-29,HV,grass,好,2200,120,08,香港精神,6,7,6,112.6,112.92,0.77,25.09,0.64,138.01,1.41,5 5 5 6 5 8,都靈福星,天寅合一,自然力量,蔡明紹,蔡明紹,3,116,131
2023-11-11,ST,grass,好,2000,160,13,香港精神,6,7,9,98.08,99.2,0.8,25.31,1.36,124.51,2.16,11 11 13 13 13,發財秘笈,得勝多,慶萬家,梁家俊,蔡明紹,4,134,131
2023-11-29,HV,grass,好,2200,207,03,香港精神,6,7,5,110.77,111.65,-1.1,24.97,0.67,136.62,-0.43,7 6 6 7 9 3,奇妙年華,慶萬家,香港精神,蔡明紹,蔡明紹,4,132,131
2023-12-23,ST,grass,好,2000,269,10,香港精神,6,7,5,100.59,101.43,3.03,24.41,0.46,125.84,3.49,7 9 9 11 10,慶萬家,奇妙年華,翔龍再現,蔡明紹,蔡明紹,4,134,131
2024-01-07,ST,grass,好,1800,318,09,香港精神,6,7,10,84.08,84.96,1.31,24.05,-0.15,109.01,1.16,7 7 8 9 9,精算特殊,滿多福,年年友福,班德禮,蔡明紹,4,129,131
2024-01-28,ST,grass,好,2000,369,10,香港精神,6,7,5,96.72,97.8,-0.6,28.7,4.75,126.5,4.15,8 8 8 9 10,翔龍再現,一支箭,夢照發,梁家俊,蔡明紹,4,130,131
2024-06-05,HV,grass,好/黏,2200,724,04,香港精神,6,7,8,113.31,114.03,1.28,25.16,0.86,139.19,2.14,8 8 8 8 8 4,一支箭,八駿笑昇,多多勇駒,蔡明紹,蔡明紹,4,125,131
2024-07-04,HV,grass,好,1800,798,09,香港精神,6,7,10,84.23,85.19,-0.11,24.89,0.54,110.08,0.43,11 12 12 11 9,春風萬里,大將,龍船快,周俊樂,蔡明紹,4,122,131
2024-10-01,ST,grass,好/快,1800,070,14,香港精神,6,7,9,83.9,84.82,1.17,24.22,0.02,109.04,1.19,11 11 11 10 14,國大合,一支箭,慶萬家,蔡明紹,蔡明紹,4,121,131
2024-10-30,HV,grass,好,1650,139,10,香港精神,6,7,3,76.55,77.31,1.46,23.77,-0.48,101.08,0.98,7 9 10 10,健康之星,獎星,喜勝威龍,湯普新,蔡明紹,4,117,131
2024-11-13,HV,grass,好,2200,176,06,香港精神,6,7,1,112.26,112.82,-0.38,24.53,0.38,137.35,0.0,6 5 5 5 7 6,竣誠駒,神煞金剛,大登殿,布文,蔡明紹,5,134,131
2024-11-27,HV,grass,好,1800,212,09,香港精神,6,7,8,84.72,85.72,0.17,24.46,0.06,110.18,0.23,11 11 11 11 9,大將,上市魅力,樂天派,鍾易禮,蔡明紹,5,128,131
2024-12-11,HV,grass,好,2200,250,04,香港精神,6,7,8,113.1,113.9,0.7,23.65,-0.5,137.55,0.2,7 7 7 7 8 4,神煞金剛,皇金風速,樂捉鳥,田泰安,蔡明紹,5,129,131
2025-01-01,ST,grass,好,1800,308,04,香港精神,6,7,10,84.96,85.52,1.27,23.93,-0.27,109.45,1.0,12 12 11 9 4,烈火駿馬,齊歡最樂,雄昇勇士,田泰安,蔡明紹,5,130,131
2025-01-26,ST,dirt,封,1650,376,04,香港精神,6,7,5,74.0,75.8,0.35,24.77,0.77,100.57,1.12,14 14 14 4,天時明駒,精明選擇,星雲浩騰,貝知仁,蔡明紹,5,129,131
2025-03-05,HV,grass,好,2200,476,02,香港精神,6,7,3,111.56,112.0,-1.2,24.22,0.07,136.22,-1.13,5 6 6 6 3 2,樂捉鳥,香港精神,同寶寶,希威森,蔡明紹,5,127,131
2025-04-06,ST,grass,好,2000,562,04,香港精神,6,7,11,99.02,100.1,1.4,22.79,-1.16,122.89,0.24,13 14 14 13 4,永勝金駒,喜悅一生,皇金風速,潘頓,蔡明紹,5,129,131
2025-04-23,HV,grass,好,1800,612,08,香港精神,6,7,12,85.65,86.93,1.38,23.83,-0.57,110.76,0.81,12 12 12 11 8,皮具大師,同寶寶,凱旋七福,潘頓,蔡明紹,5,129,131
2025-06-04,HV,grass,好,2200,728,05,香港精神,6,7,3,113.03,113.23,0.03,25.49,1.34,138.72,1.37,5 5 4 3 4 5,皮具大師,步風雷,豐盛多彩,田泰安,蔡明紹,5,128,131
2025-06-22,ST,grass,好,2000,768,03,香港精神,6,7,14,98.61,99.57,0.87,23.33,-0.62,122.9,0.25,14 13 13 12 3,皇金風速,步風雷,香港精神,田泰安,蔡明紹,5,124,131
2025-07-01,ST,grass,好,1800,798,05,香港精神,6,7,3,84.03,84.43,0.18,24.19,-0.01,108.62,0.17,5 7 7 7 5,金德義,同寶寶,凱旋七福,田泰安,蔡明紹,5,126,131
2025-09-07,ST,grass,好,1600,002,06,香港精神,6,7,6,70.88,71.8,0.2,23.7,-0.15,95.5,0.05,13 14 14 6,桃花多,富裕君子,同寶寶,田泰安,蔡明紹,5,121,131
2025-09-21,ST,grass,黏,1800,037,09,香港精神,6,7,9,86.0,86.8,2.55,24.32,0.12,111.12,2.67,9 9 10 10 9,客家之光,星雲浩騰,駿彩飛馳,田泰安,蔡明紹,5,122,131
2025-10-08,HV,grass,好/快,1800,076,08,香港精神,6,7,10,85.1,86.26,0.71,24.03,-0.37,110.29,0.34,10 11 11 10 8,客家之光,步風雷,華美之威,田泰安,蔡明紹,5,120,131
2025-11-05,HV,grass,好,2200,151,01,香港精神,6,7,7,111.03,111.03,-2.17,24.09,-0.06,135.12,-2.23,7 7 7 1 1 1,香港精神,步風雷,盈利寶馬,田泰安,蔡明紹,5,116,131
2025-12-17,HV,grass,好,2200,264,06,香港精神,6,7,10,111.76,112.4,-0.8,24.72,0.57,137.12,-0.23,10 9 10 10 9 6,禾道威,幸運同行,步風雷,田泰安,蔡明紹,5,124,131
2025-12-27,ST,dirt,好,1800,296,02,香港精神,6,7,2,86.39,86.95,1.75,23.34,-0.91,110.29,0.84,6 5 5 5 2,領創動力,香港精神,美麗歡聲,金誠剛,蔡明紹,5,125,131
