日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-03-23,ST,grass,好/快,1400,528,11,佳登,1,7,5,58.35,59.27,0.77,23.54,0.39,82.81,1.16,10 10 12 11,安泰,穿甲戰鷹,美麗邂逅,麥當能,布文,3,125,135
2025-04-20,ST,grass,好/快,1400,610,10,佳登,1,7,11,58.21,59.21,0.71,22.69,-0.46,81.9,0.25,12 13 13 10,南區之星,至尊高超,紫荊歡呼,賀銘年,布文,3,125,135
2025-05-04,ST,grass,好/快,1400,649,13,佳登,1,7,12,58.12,59.36,0.86,25.06,1.91,84.42,2.77,11 12 13 13,時時歡聲,元朗精英,定數,艾兆禮,布文,3,119,135
2025-06-04,HV,grass,好/黏,1650,735,10,佳登,1,7,5,74.99,76.11,0.46,24.91,0.66,101.02,1.12,9 10 11 10,瑪瑙,智勇名駒,信心星,董明朗,布文,3,120,135
2025-06-28,ST,grass,好,1400,797,04,佳登,1,7,7,57.81,59.17,0.67,22.92,-0.23,82.09,0.44,14 14 14 4,自力更生,美麗星晨,一起美麗,巫顯東,布文,3,116,135
2025-09-14,ST,grass,好/快,1400,023,08,佳登,1,7,8,58.0,58.36,-0.24,23.53,0.13,81.89,-0.11,9 5 7 8,勁沙塵,友瑩仁,後無來者,金誠剛,布文,4,135,135
2025-10-04,ST,grass,好/快,1400,069,12,佳登,1,7,12,57.81,58.61,0.01,23.93,0.53,82.54,0.54,12 11 12 12,龍城強將,競駿良駒,大千雄心,金誠剛,布文,4,132,135
2025-10-22,HV,grass,好,1650,118,05,佳登,1,7,5,74.78,75.7,-0.15,24.37,0.12,100.07,-0.03,7 7 7 5,勁好運,古惑大師,先到先得,巫顯東,布文,4,128,135
2025-11-12,HV,grass,好/快,1650,172,08,佳登,1,7,6,74.92,75.64,-0.21,23.93,-0.32,99.57,-0.53,5 5 6 8,美麗邂逅,林寶精神,友瑩仁,巫顯東,布文,4,127,135
2025-11-19,HV,grass,好,1650,192,02,佳登,1,7,10,75.9,76.02,0.17,24.62,0.37,100.64,0.54,5 2 2 2,建測羣英,佳登,至高心得,黃智弘,布文,4,121,135
2025-12-23,HV,grass,好,1650,286,08,佳登,1,7,2,76.01,76.01,0.16,24.97,0.72,100.98,0.88,2 1 1 8,錶之量子,新幹線,多利神駒,黃智弘,布文,4,123,135
2026-01-28,HV,grass,好/快,1650,389,01,佳登,1,7,3,74.24,74.64,-1.21,24.08,-0.17,98.72,-1.38,2 2 2 1,佳登,先到先得,祥勝將軍,布文,布文,4,126,135
2026-03-04,HV,grass,好,1650,492,03,佳登,1,7,5,77.68,77.68,1.83,23.35,-0.9,101.03,0.93,1 1 1 3,加州活力,本領非凡,佳登,布文,布文,4,135,135
