日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-05,ST,grass,好,1000,319,08,新力驕,10,5,9,33.99,34.75,-1.15,22.82,2.07,57.57,0.92,13 13 8,綫路盈樂,快樂高球,美麗老撾,董明朗,班德禮,4,124,122
2025-01-31,ST,grass,好,1200,393,07,新力驕,10,5,11,46.23,47.35,0.45,22.71,0.26,70.06,0.71,13 13 7,怡昌光輝,騰龍四海,天天耍樂,董明朗,班德禮,4,130,122
2025-03-09,ST,grass,好/快,1400,490,08,新力驕,10,5,14,58.33,58.97,0.37,23.52,0.12,82.49,0.49,12 11 9 8,豐辰,威武年代,嘉應巨昇,董明朗,班德禮,4,127,122
2025-04-13,ST,grass,好,1200,584,07,新力驕,10,5,8,45.37,46.49,-0.41,23.28,0.83,69.77,0.42,7 5 7,魅影戈飛,快樂高球,精益大師,霍宏聲,班德禮,4,124,122
2025-05-25,ST,grass,好,1400,701,03,新力驕,10,5,5,57.67,58.35,-0.25,23.4,0.0,81.75,-0.25,10 9 9 3,做好自己,嘉應駿昇,新力驕,艾兆禮,班德禮,4,122,122
2025-06-22,ST,grass,好,1400,773,09,新力驕,10,5,9,58.07,58.43,-0.17,24.19,0.79,82.62,0.62,3 4 5 9,時尚歡欣,豐辰,做好自己,艾兆禮,班德禮,4,120,122
2025-09-14,ST,grass,好/快,1200,024,06,新力驕,10,5,11,45.71,46.43,-0.47,22.96,0.51,69.39,0.04,13 11 6,有你有我,皇金合,海綠寶,艾兆禮,班德禮,4,122,122
2025-10-01,ST,grass,好/快,1200,059,01,新力驕,10,5,7,46.52,47.12,0.22,22.17,-0.28,69.29,-0.06,9 10 1,新力驕,做好自己,文明福星,艾兆禮,班德禮,4,118,122
2025-10-26,ST,grass,好/快,1200,125,02,新力驕,10,5,6,45.8,46.24,-0.66,22.53,0.08,68.77,-0.58,11 8 2,金創福威,新力驕,做好自己,艾兆禮,班德禮,4,122,122
2025-11-23,ST,grass,好,1400,199,05,新力驕,10,5,4,57.72,58.52,-0.08,23.43,0.03,81.95,-0.05,13 10 9 5,一世美麗,文明福星,千杯不醉,艾兆禮,班德禮,4,126,122
2025-12-20,ST,grass,好,1200,274,06,新力驕,10,5,9,46.69,47.29,0.39,23.01,0.56,70.3,0.95,12 10 6,金多囍,團結勇士,活力拍檔,麥道朗,班德禮,4,127,122
2026-01-25,ST,grass,好/快,1200,377,05,新力驕,10,5,13,46.02,46.58,-0.32,22.94,0.49,69.52,0.17,9 7 5,鼓浪好友,包裝明將,增旺,麥道朗,班德禮,4,125,122
2026-02-19,ST,grass,好,1200,448,09,新力驕,10,5,13,46.7,47.62,0.72,22.56,0.11,70.18,0.83,13 12 9,綫路英雄,跨境駿馬,同喜,班德禮,班德禮,4,126,122
