日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-18,HV,grass,黏,1200,099,07,大才,6,10,4,46.07,46.83,-0.22,24.63,2.08,71.46,1.86,8 8 7,快搏,傑出漢子,平常心,巴度,麥文堅,3,120,128
2023-11-05,ST,grass,好,1400,147,10,大才,6,10,11,57.72,58.92,0.42,23.57,0.42,82.49,0.84,13 12 12 10,飛鷹翱翔,堅又威,一定美麗,巴度,麥文堅,3,116,128
2023-12-10,ST,grass,好,1200,232,05,大才,6,10,1,45.59,46.27,-0.63,24.36,1.91,70.63,1.28,9 7 5,華麗再勝,風雲武士,幸運星球,巴度,麥文堅,4,135,128
2023-12-26,ST,grass,好,1200,283,03,大才,6,10,5,46.12,46.68,-0.22,23.32,0.87,70.0,0.65,5 4 3,誠好運,金榜之星,大才,布文,麥文堅,4,132,128
2024-01-28,ST,grass,好,1200,371,11,大才,6,10,8,47.0,47.64,0.74,23.27,0.82,70.91,1.56,8 7 11,高進明駒,忠誠寶寶,獨步天下,布文,麥文堅,4,132,128
2024-03-10,ST,grass,好,1200,488,03,大才,6,10,9,46.02,47.02,0.12,23.27,0.82,70.29,0.94,12 12 3,福星,健康快車,大才,鍾易禮,麥文堅,4,125,128
2024-03-31,ST,grass,好,1200,548,01,大才,6,10,5,46.22,46.58,-0.32,23.41,0.96,69.99,0.64,6 5 1,大才,佳運發,勇霸龍,黃智弘,麥文堅,4,120,128
2024-04-17,HV,grass,好,1200,591,02,大才,6,10,9,46.04,47.48,0.28,23.26,0.56,70.74,0.84,9 9 2,財駿,大才,飛雲,黃智弘,麥文堅,4,125,128
2024-04-28,ST,grass,黏,1200,626,01,大才,6,10,6,46.2,46.96,0.31,23.11,0.76,70.07,1.07,10 9 1,大才,占士德,同祥和順,艾兆禮,麥文堅,3,121,128
2024-05-26,ST,grass,好,1200,702,08,大才,6,10,12,46.48,47.4,0.75,22.24,-0.11,69.64,0.64,12 12 8,龍之輝,禾道小子,實力派,艾兆禮,麥文堅,3,127,128
2024-06-23,ST,grass,好,1200,771,08,大才,6,10,7,45.96,46.32,-0.33,23.49,1.14,69.81,0.81,6 6 8,占士德,鑽石星空,營造組裝,黃智弘,麥文堅,3,121,128
2024-07-01,ST,grass,好,1000,785,05,大才,6,10,3,33.89,34.65,-1.15,22.05,1.4,56.7,0.25,12 12 5,萬里飛至,英雄豪傑,綠族豐收,周俊樂,麥文堅,3,123,128
2024-07-14,ST,grass,好,1200,829,05,大才,6,10,5,46.09,46.53,-0.12,22.82,0.47,69.35,0.35,9 7 5,包裝天將,花果猴王,時尚風趣,黃智弘,麥文堅,3,116,128
2024-09-15,ST,grass,好/快,1000,027,12,大才,6,10,8,34.15,34.63,-1.17,22.04,1.39,56.67,0.22,4 9 12,魔術控制,星際快車,寰宇豐采,黃智弘,麥文堅,3,114,128
2024-10-06,ST,grass,好/快,1200,083,10,大才,6,10,11,45.61,46.65,0.0,23.03,0.68,69.68,0.68,12 12 10,愛馬善,步大威猛,開心寶寶,黃智弘,麥文堅,3,117,128
2024-11-03,ST,grass,好/快,1200,154,08,大才,6,10,7,46.24,47.24,0.59,22.35,0.0,69.59,0.59,11 10 8,輝煌精英,愛馬善,展雄威,蔡明紹,麥文堅,3,121,128
2024-12-22,ST,grass,好,1200,284,09,大才,6,10,9,47.13,47.45,0.8,22.54,0.19,69.99,0.99,6 6 9,開心寶寶,健康快車,正氣青驅,湯普新,麥文堅,3,116,128
2025-01-01,ST,grass,好,1400,312,02,大才,6,10,13,58.62,59.54,0.94,22.84,-0.56,82.38,0.38,12 12 11 2,一定掂,大才,魅力知福,貝知仁,麥文堅,4,134,128
2025-01-31,ST,grass,好,1400,391,03,大才,6,10,2,58.74,59.02,0.42,23.66,0.26,82.68,0.68,4 4 4 3,神馳,深心星,大才,蘇銘倫,麥文堅,4,135,128
2025-02-23,ST,grass,好,1200,450,05,大才,6,10,5,46.75,47.23,0.33,22.56,0.11,69.79,0.44,7 8 5,跨境寶馬,魅影戈飛,燈胆將軍,黃智弘,麥文堅,4,128,128
2026-02-14,ST,grass,好/快,1200,434,08,大才,6,10,6,45.8,46.48,-0.42,23.33,0.88,69.81,0.46,9 9 8,暴風一族,非凡時刻,盛勢威楓,潘明輝,麥文堅,4,134,128
2026-02-22,ST,grass,好,1200,456,07,大才,6,10,12,46.58,47.54,0.64,22.17,-0.28,69.71,0.36,14 14 7,香港仔,千杯不醉,事事感恩,周俊樂,麥文堅,4,131,128
2026-03-15,ST,grass,好/快,1200,518,09,大才,6,10,11,46.42,46.9,0.0,23.23,0.78,70.13,0.78,10 9 9,堅先生,金快飛飛,快樂共濟,麥文堅,麥文堅,4,131,128
