日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-04-16,HV,grass,好/快,1200,599,09,蓮冠皇,6,1,5,46.17,47.29,0.09,23.21,0.51,70.5,0.6,8 8 9,幸運星球,有鴻利,首駿,希威森,希威森,4,128,127
2025-05-14,HV,grass,好/快,1200,673,01,蓮冠皇,6,1,6,47.03,47.75,0.55,22.15,-0.55,69.9,0.0,9 8 1,蓮冠皇,喜旺駒,運來伍寶,希威森,希威森,4,127,127
2025-05-31,ST,grass,好,1400,721,08,蓮冠皇,6,1,13,58.18,59.22,0.62,23.41,0.01,82.63,0.63,14 14 13 8,一定超,時尚歡欣,金運來,希威森,希威森,4,133,127
2025-09-17,HV,grass,好/快,1200,034,01,蓮冠皇,6,1,7,46.23,46.79,-0.41,23.01,0.31,69.8,-0.1,8 5 1,蓮冠皇,至合拍,翼羽陽明,希威森,希威森,4,135,127
2025-10-22,HV,grass,好,1200,122,03,蓮冠皇,6,1,2,46.92,47.16,0.11,22.89,0.34,70.05,0.45,5 5 3,天星,凱旋升,蓮冠皇,希威森,希威森,3,122,127
2025-11-02,HV,grass,好/快,1650,150,02,蓮冠皇,6,1,1,77.22,77.58,1.93,22.72,-1.53,100.3,0.4,5 5 7 2,我做到,蓮冠皇,泰泰精神,希威森,希威森,3,122,127
2025-11-26,HV,grass,好/快,1650,215,02,蓮冠皇,6,1,11,76.73,76.85,1.2,23.55,-0.7,100.4,0.5,3 2 2 2,膨才,蓮冠皇,勁進駒,希威森,希威森,3,126,127
2026-01-07,HV,grass,好,1650,333,04,蓮冠皇,6,1,6,75.27,75.43,-0.22,24.94,0.69,100.37,0.47,3 4 2 4,一定掂,相映紅,競駿飛翔,希威森,希威森,3,126,127
2026-01-18,ST,grass,好/快,1600,364,11,蓮冠皇,6,1,14,70.85,71.53,0.63,24.21,0.41,95.74,1.04,14 14 10 11,錶之宇宙,友瑩光,幸運派彩,希威森,希威森,3,129,127
2026-03-08,ST,grass,好,1400,505,11,蓮冠皇,6,1,7,59.19,59.83,1.33,22.87,-0.28,82.7,1.05,12 12 10 11,時時歡聲,綠野飛馳,加州熱浪,希威森,希威森,3,127,127
