日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-11-26,ST,grass,好,1000,196,03,江南盛,14,1,14,34.33,35.09,-0.81,22.69,1.94,57.78,1.13,13 13 3,氣勢,龍騰飛翔,江南盛,蔡明紹,鍾易禮 (-2),4,127,116
2023-12-23,ST,grass,好,1200,270,08,江南盛,14,1,3,47.11,47.55,0.65,23.47,1.02,71.02,1.67,6 6 8,勝利神駒,紅海風帆,翹峯,蔡明紹,鍾易禮 (-2),4,127,116
2024-01-01,ST,grass,好,1200,297,07,江南盛,14,1,9,45.95,47.11,0.21,23.33,0.88,70.44,1.09,11 11 7,光年八十,快狠準,帥炸,蔡明紹,鍾易禮 (-2),4,127,116
2024-01-21,ST,grass,好,1200,356,05,江南盛,14,1,2,46.93,47.65,0.75,23.28,0.83,70.93,1.58,9 9 5,大英才,增強,誠好運,班德禮,鍾易禮 (-2),4,123,116
2024-02-04,ST,grass,好,1000,389,08,江南盛,14,1,4,34.28,34.88,-1.02,23.25,2.5,58.13,1.48,12 11 8,黑白,酷霸王,精彩勇士,田泰安,鍾易禮 (-2),4,121,116
2024-03-03,ST,grass,好,1200,466,06,江南盛,14,1,6,46.64,47.36,0.46,22.97,0.52,70.33,0.98,9 8 6,東方飛影,譽友翔駒,龍城強將,田泰安,鍾易禮 (-2),4,119,116
2024-03-24,ST,grass,好,1200,524,13,江南盛,14,1,12,46.45,47.73,0.83,22.53,0.08,70.26,0.91,14 14 13,健康快車,同祥和順,勝意,田泰安,鍾易禮 (-2),4,117,116
2024-04-14,ST,grass,好,1200,579,02,江南盛,14,1,3,46.82,47.22,0.07,22.55,0.15,69.77,0.22,6 6 2,全城帶勝,江南盛,駿先生,蔡明紹,鍾易禮 (-2),5,135,116
2024-04-28,ST,grass,黏,1200,619,09,江南盛,14,1,2,46.71,47.63,0.73,23.23,0.78,70.86,1.51,10 10 9,鑽石星空,輝煌精英,開心寶寶,蔡明紹,鍾易禮 (-2),4,116,116
2024-05-26,ST,grass,好,1200,698,05,江南盛,14,1,14,46.33,47.25,0.35,21.95,-0.5,69.2,-0.15,13 10 5,開心寶寶,智智多寶,拍馬難追,蔡明紹,鍾易禮 (-2),4,116,116
2024-06-08,ST,grass,好,1200,737,07,江南盛,14,1,5,47.07,47.83,0.93,22.54,0.09,70.37,1.02,7 7 7,魯班精神,好運寶馬,河好運,蔡明紹,鍾易禮 (-2),4,118,116
2024-07-01,ST,grass,好,1400,784,01,江南盛,14,1,3,59.12,59.56,0.61,22.86,-0.49,82.42,0.12,7 6 6 1,江南盛,天時明駒,香飄萬里,巴度,鍾易禮 (-2),5,134,116
2024-09-08,ST,grass,好,1400,008,07,江南盛,14,1,13,59.85,60.57,1.97,22.39,-1.01,82.96,0.96,13 12 12 7,人和家盛,一定掂,極速贏,巴度,鍾易禮 (-2),4,122,116
2024-09-28,ST,grass,好,1400,060,09,江南盛,14,1,4,59.84,60.4,1.8,22.65,-0.75,83.05,1.05,6 6 7 9,大將鵰神,博愛先鋒,銀進,巴度,鍾易禮 (-2),4,120,116
2024-10-13,ST,grass,好/快,1200,097,06,江南盛,14,1,5,46.54,47.22,0.32,22.56,0.11,69.78,0.43,11 10 6,佳運發,勇冠群英,富國兄弟,巴度,鍾易禮 (-2),4,120,116
2024-11-06,HV,grass,好,1200,162,12,江南盛,14,1,10,46.86,47.82,0.62,23.42,0.72,71.24,1.34,12 12 12,日馳千里,怡昌精神,砂漿金剛,田泰安,鍾易禮 (-2),4,119,116
2024-12-01,ST,grass,好,1200,222,11,江南盛,14,1,7,45.93,47.17,0.27,23.63,1.18,70.8,1.45,11 12 11,膨才,鼓浪好友,黑白,班德禮,鍾易禮 (-2),4,118,116
2024-12-15,ST,grass,好,1400,259,10,江南盛,14,1,10,58.91,59.95,1.0,23.03,-0.32,82.98,0.68,12 12 12 10,常常感恩,進優自在,好運寶馬,巴度,鍾易禮 (-2),5,135,116
2024-12-29,ST,grass,好,1400,298,14,江南盛,14,1,9,58.36,59.28,0.33,24.54,1.19,83.82,1.52,9 9 14 14,帝豪歡星,常常感恩,冠寶駒,班德禮,鍾易禮 (-2),5,133,116
2025-01-26,ST,grass,好,1400,377,13,江南盛,14,1,10,58.44,58.92,-0.03,25.47,2.12,84.39,2.09,5 4 6 13,好運寶馬,帝豪歡星,神速馬車,賀銘年,鍾易禮 (-2),5,131,116
2025-02-09,ST,grass,好,1400,407,08,江南盛,14,1,12,58.72,59.64,0.69,23.43,0.08,83.07,0.77,12 13 13 8,精算特殊,凱旋幸運,帝豪歡星,田泰安,鍾易禮 (-2),5,128,116
2025-03-09,ST,grass,好/快,1400,485,12,江南盛,14,1,2,58.9,59.82,0.87,23.73,0.38,83.55,1.25,13 14 14 12,帝豪歡星,進優自在,加州代表,麥當能,鍾易禮 (-2),5,126,116
2025-05-10,ST,grass,好,1600,659,13,江南盛,14,1,8,71.2,72.36,0.76,24.06,0.21,96.42,0.97,11 11 11 13,肥仔精神,背背龍,勝得福,鍾易禮,鍾易禮 (-2),5,120,116
2025-09-14,ST,grass,好/快,1400,020,05,江南盛,14,1,3,57.7,58.22,-0.73,23.49,0.14,81.71,-0.59,8 7 7 5,凱旋幸運,志在福星,銳一,班德禮,鍾易禮 (-2),5,119,116
2025-10-04,ST,grass,好/快,1400,067,07,江南盛,14,1,9,58.01,58.69,-0.26,23.99,0.64,82.68,0.38,10 11 10 7,球皇,綫路萬里,快樂老撾,班德禮,鍾易禮 (-2),5,119,116
2025-11-09,ST,grass,好,1600,160,03,江南盛,14,1,7,71.96,72.44,0.84,24.05,0.2,96.49,1.04,9 9 9 3,駿先生,熊噹噹,江南盛,田泰安,鍾易禮 (-2),5,117,116
2026-01-01,ST,grass,好,1600,303,11,江南盛,14,1,5,70.7,71.54,-0.06,25.53,1.68,97.07,1.62,8 10 12 11,鐵甲驌龍,極速之子,快樂老撾,田泰安,鍾易禮 (-2),5,120,116
2026-02-01,ST,grass,好,1200,395,12,江南盛,14,1,10,46.17,47.17,0.02,23.23,0.83,70.4,0.85,12 13 12,盛勢威楓,果然僥倖,駿馬之星,班德禮,鍾易禮 (-2),5,119,116
