日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-20,HV,grass,好,1200,030,02,春風萬里,7,4,2,45.81,46.69,-0.51,23.02,0.32,69.71,-0.19,8 8 2,駿寶,春風萬里,木火同明,艾道拿,黃智弘 (-3),4,128,124
2023-10-18,HV,grass,好/黏,1200,094,07,春風萬里,7,4,10,46.29,47.45,0.25,23.54,0.84,70.99,1.09,11 12 7,馬有運,樂加福,勇眼光,艾道拿,黃智弘 (-3),4,128,124
2024-01-13,ST,grass,好,1200,334,05,春風萬里,7,4,11,46.32,47.2,0.3,23.31,0.86,70.51,1.16,12 9 5,獨步天下,金榜之星,智智多寶,艾道拿,黃智弘 (-3),4,130,124
2024-02-04,ST,grass,好,1400,396,12,春風萬里,7,4,8,59.32,60.2,1.6,23.42,0.02,83.62,1.62,13 13 13 12,陽光勇士,艾莉奧,金榜之星,布文,黃智弘 (-3),4,127,124
2024-02-25,ST,grass,好,1400,451,03,春風萬里,7,4,10,58.34,58.94,0.34,23.45,0.05,82.39,0.39,11 10 7 3,忠誠寶寶,友瑩仁,春風萬里,布文,黃智弘 (-3),4,127,124
2024-03-13,HV,grass,好,1650,500,03,春風萬里,7,4,11,76.36,77.36,1.51,23.71,-0.54,101.07,0.97,11 11 10 3,展宏圖,勝利同盟,春風萬里,艾道拿,黃智弘 (-3),4,126,124
2024-04-20,ST,grass,好,1600,604,02,春風萬里,7,4,12,72.55,72.99,1.89,22.82,-0.98,95.81,0.91,10 9 8 2,佳福駒,春風萬里,你知我得,何澤堯,黃智弘 (-3),4,122,124
2024-05-05,ST,grass,好,1600,641,03,春風萬里,7,4,13,71.02,71.82,0.72,23.05,-0.75,94.87,-0.03,11 13 11 3,唯美主義,英駿飛駒,春風萬里,何澤堯,黃智弘 (-3),4,126,124
2024-05-19,ST,grass,好,1800,679,02,春風萬里,7,4,8,83.15,84.11,0.46,23.76,-0.44,107.87,0.02,10 9 10 9 2,鐵三角,春風萬里,勤德威力,何澤堯,黃智弘 (-3),4,127,124
2024-06-23,ST,grass,好/快,1800,765,01,春風萬里,7,4,13,84.71,85.27,1.62,22.75,-1.45,108.02,0.17,5 5 4 4 1,春風萬里,小飛俠,風火恆雲,何澤堯,黃智弘 (-3),4,128,124
2024-07-04,HV,grass,好,1800,798,01,春風萬里,7,4,5,84.23,84.67,-0.63,24.27,-0.08,108.94,-0.71,5 5 5 5 1,春風萬里,大將,龍船快,何澤堯,黃智弘 (-3),4,134,124
2025-02-23,ST,grass,好,1400,454,05,春風萬里,7,4,7,57.83,58.47,-0.03,22.75,-0.4,81.22,-0.43,9 9 9 5,至尊高超,穿甲戰鷹,樂勝天下,巴度,黃智弘 (-3),3,121,124
2025-03-09,ST,grass,好/快,1600,495,06,春風萬里,7,4,14,70.61,71.25,0.35,23.05,-0.75,94.3,-0.4,14 13 12 6,錶之宇宙,納百川,光年魅力,黃智弘,黃智弘 (-3),3,113,124
2025-04-13,ST,grass,好,1800,590,06,春風萬里,7,4,11,83.94,84.7,1.2,22.81,-1.19,107.51,0.01,11 10 9 10 6,天將龍駒,金主,昭易搵,巴度,黃智弘 (-3),3,123,124
2025-05-14,HV,grass,好/快,1800,676,04,春風萬里,7,4,1,85.81,86.21,1.21,23.42,-1.03,109.63,0.18,5 4 4 7 4,包裝創新,星價,建測羣英,巴度,黃智弘 (-3),3,121,124
2025-06-04,HV,grass,好/黏,1800,734,01,春風萬里,7,4,2,88.2,88.6,3.6,23.17,-1.28,111.77,2.32,7 7 7 5 1,春風萬里,包裝創新,港林福將,艾兆禮,黃智弘 (-3),3,118,124
2025-06-14,ST,grass,好,1800,764,01,春風萬里,7,4,4,83.27,83.67,0.17,23.32,-0.68,106.99,-0.51,8 8 8 5 1,春風萬里,君子傳承,天將龍駒,黃智弘,黃智弘 (-3),3,121,124
2025-09-14,ST,grass,好/快,1400,028,03,春風萬里,7,4,2,59.69,60.13,1.63,21.95,-1.2,82.08,0.43,4 6 5 3,勇冠群英,金勝名駒,春風萬里,黃智弘,黃智弘 (-3),3,129,124
2025-10-04,ST,grass,好/快,1800,075,08,春風萬里,7,4,8,83.58,84.54,1.04,23.08,-0.92,107.62,0.12,9 10 11 12 8,勁大威猛,君子傳承,艾莉奧,何澤堯,黃智弘 (-3),3,133,124
2025-10-15,HV,grass,好/快,1800,103,09,春風萬里,7,4,10,84.03,85.23,0.23,23.67,-0.78,108.9,-0.55,11 12 12 12 9,星價,龍文鞭影,盈益善,黃智弘,黃智弘 (-3),3,129,124
2025-12-03,HV,grass,好,1800,234,01,春風萬里,7,4,1,85.4,85.84,0.84,23.11,-1.34,108.95,-0.5,3 3 3 3 1,春風萬里,奔放,龍文鞭影,黃智弘,黃智弘 (-3),3,129,124
2026-01-11,ST,grass,好/快,1800,342,13,春風萬里,7,4,2,82.32,82.92,-0.58,25.35,1.35,108.27,0.77,5 4 5 5 13,發財先鋒,桃花開,豐辰,黃智弘,黃智弘 (-3),3,130,124
