日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-05,ST,grass,好,1000,640,01,天天同樂,3,3,7,33.59,33.83,-2.07,23.02,2.27,56.85,0.2,7 3 1,天天同樂,萬事快,精英至尊,潘頓,霍宏聲,4,126,134
2024-05-26,ST,grass,好,1000,697,01,天天同樂,3,3,3,33.35,33.39,-2.51,22.73,1.98,56.12,-0.53,2 2 1,天天同樂,晨曦儷人,輗多福,潘頓,霍宏聲,4,135,134
2024-07-01,ST,grass,好,1200,791,01,天天同樂,3,3,1,45.71,45.71,-0.94,22.55,0.2,68.26,-0.74,1 1 1,天天同樂,開心寶寶,實力派,潘頓,霍宏聲,3,127,134
2024-09-28,ST,grass,好,1200,061,02,天天同樂,3,3,8,46.59,46.67,0.02,22.4,0.05,69.07,0.07,2 2 2,球星,天天同樂,德薩斯,潘頓,霍宏聲,3,135,134
2024-10-13,ST,grass,好/快,1200,102,02,天天同樂,3,3,11,45.65,45.65,-0.75,22.69,0.44,68.34,-0.31,1 1 2,氣勢,天天同樂,華麗再勝,蔡明紹,霍宏聲,2,118,134
2024-11-09,ST,grass,好/快,1400,172,06,天天同樂,3,3,10,57.22,57.22,-1.13,23.52,0.42,80.74,-0.71,3 2 2 6,堅又威,包裝天將,飛鷹翱翔,蔡明紹,霍宏聲,2,115,134
2024-12-22,ST,grass,好,1200,286,03,天天同樂,3,3,1,45.41,45.41,-0.99,23.66,1.41,69.07,0.42,1 1 3,精算暴雪,華麗再勝,天天同樂,蔡明紹,霍宏聲,2,122,134
2025-01-15,HV,grass,好,1000,350,01,天天同樂,3,3,1,33.08,33.32,-2.08,23.11,2.11,56.43,0.03,3 3 1,天天同樂,星際快車,年少多好,潘頓,霍宏聲,2,124,134
2025-02-23,ST,grass,好,1000,448,06,天天同樂,3,3,1,33.79,33.95,-1.5,22.94,2.34,56.89,0.84,4 4 6,魔術控制,占士德,同祥和順,布文,霍宏聲,2,126,134
2025-03-30,ST,grass,好,1200,544,02,天天同樂,3,3,3,45.78,45.82,-0.58,23.19,0.94,69.01,0.36,2 2 2,舉步生風,天天同樂,星際快車,潘頓,霍宏聲,2,129,134
2025-04-20,ST,dirt,好,1200,607,01,天天同樂,3,3,4,45.68,45.68,-0.72,22.44,0.49,68.12,-0.23,1 1 1,天天同樂,昇瀧駒,美麗第一,潘頓,霍宏聲,2,122,134
2025-05-10,ST,grass,好,1200,668,02,天天同樂,3,3,6,45.68,45.72,-0.68,22.85,0.6,68.57,-0.08,2 2 2,愛馬善,天天同樂,好友心得,潘頓,霍宏聲,2,132,134
2025-06-14,ST,grass,好,1200,763,04,天天同樂,3,3,10,45.06,45.06,-1.34,23.3,1.05,68.36,-0.29,1 1 4,氣勢,精算暴雪,人和家興,潘頓,霍宏聲,2,133,134
2025-09-07,ST,grass,好,1200,003,05,天天同樂,3,3,7,44.57,44.57,-1.63,23.69,1.44,68.26,-0.19,1 1 5,嘉應高昇,金鑽貴人,開心寶寶,潘明輝,霍宏聲,1,115,134
2025-10-01,ST,grass,好/快,1000,062,07,天天同樂,3,3,7,33.34,33.38,-1.92,23.1,2.5,56.48,0.58,2 2 7,舉步生風,精算暴雪,魔術控制,潘明輝,霍宏聲,0,123,134
2025-10-26,ST,grass,好/快,1200,130,13,天天同樂,3,3,3,44.68,44.68,-1.27,24.78,2.58,69.46,1.31,2 1 13,好友心得,精算暴雪,包裝天將,黃智弘,霍宏聲,0,115,134
2025-12-07,ST,dirt,好,1200,242,06,天天同樂,3,3,11,45.0,45.88,-0.52,22.68,0.73,68.56,0.21,11 9 6,華麗再勝,昇瀧駒,駿步騰飛,潘頓,霍宏聲,2,135,134
2025-12-20,ST,grass,好,1200,281,07,天天同樂,3,3,5,47.08,47.16,0.76,22.84,0.59,70.0,1.35,2 2 7,信心星,魔術控制,笑傲江湖,麥道朗,霍宏聲,2,133,134
