日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-27,HV,grass,好/快,1650,051,07,閃耀威龍,1,13,8,75.18,75.38,-0.47,24.52,0.27,99.9,-0.2,2 2 2 7,獨角獸,大數據,佳福駒,梁家俊,潘明輝,4,121,135
2023-11-15,HV,grass,好,1650,169,11,閃耀威龍,1,13,9,75.7,76.18,0.33,25.05,0.8,101.23,1.13,3 4 4 11,皇仁福星,錢多多,勝利之皇,梁家俊,潘明輝,4,123,135
2023-12-20,HV,grass,好,1650,266,10,閃耀威龍,1,13,11,77.57,77.77,1.92,25.28,1.03,103.05,2.95,10 3 3 10,極速滿貫,赤兔猴王,極速奇兵,梁家俊,潘明輝,4,119,135
2024-01-01,ST,grass,好,1400,300,08,閃耀威龍,1,13,7,59.24,59.56,0.61,24.5,1.15,84.06,1.76,3 4 3 8,紅鬃烈馬,活力多多,洪運派彩,梁家俊,潘明輝,5,134,135
2024-01-21,ST,grass,好,1200,351,07,閃耀威龍,1,13,3,46.56,47.04,-0.11,23.55,1.15,70.59,1.04,4 4 7,世界籐王,鑽石寶寶,星際精英,梁家俊,潘明輝,5,129,135
2024-02-04,ST,dirt,好,1200,388,01,閃耀威龍,1,13,8,45.9,46.38,-0.62,23.62,1.27,70.0,0.65,3 4 1,閃耀威龍,洪運派彩,富存大師,梁家俊,潘明輝,5,130,135
2024-03-16,ST,dirt,好,1200,503,08,閃耀威龍,1,13,5,45.51,45.99,-1.01,23.84,1.49,69.83,0.48,3 5 8,八心之威,最多歡笑,醒目勇駒,梁家俊,潘明輝,5,135,135
2024-04-03,ST,dirt,好,1200,552,03,閃耀威龍,1,13,5,46.32,46.68,-0.32,23.13,0.78,69.81,0.46,3 3 3,最多歡笑,日日獎,閃耀威龍,鍾易禮,潘明輝,5,130,135
2024-05-05,ST,dirt,好,1200,638,10,閃耀威龍,1,13,6,45.66,46.62,-0.23,25.96,3.86,72.58,3.63,7 9 10,寶麗生輝,中華威威,大眾勝利,鍾易禮,潘明輝,4,113,135
2024-05-29,ST,dirt,好,1200,706,04,閃耀威龍,1,13,8,45.59,46.19,-0.66,23.58,1.48,69.77,0.82,6 7 4,德心知遇,寶麗生輝,城中勇士,巴度,潘明輝,4,116,135
2024-07-06,ST,dirt,好,1200,805,10,閃耀威龍,1,13,4,45.55,46.55,-0.3,23.8,1.7,70.35,1.4,10 11 10,有派頭,火神神樂,新強福盈,鍾易禮,潘明輝,4,113,135
2024-09-28,ST,dirt,好,1200,055,06,閃耀威龍,1,13,1,46.3,46.66,-0.34,23.83,1.48,70.49,1.14,3 4 6,日日獎,星火燎原,高明力量,梁家俊,潘明輝,5,134,135
2024-11-09,ST,dirt,好,1650,166,01,閃耀威龍,1,13,2,74.43,74.43,-1.02,24.38,0.38,98.81,-0.64,3 2 1 1,閃耀威龍,天時明駒,喜悅一生,黃寶妮,潘明輝,5,122,135
2024-12-18,ST,dirt,好,1650,274,02,閃耀威龍,1,13,12,74.17,74.25,-1.0,24.71,0.91,98.96,-0.09,5 3 3 2,超眼光,閃耀威龍,爆熱,黃寶妮,潘明輝,4,109,135
2025-01-26,ST,dirt,好,1650,382,07,閃耀威龍,1,13,7,74.12,74.16,-1.09,25.73,1.93,99.89,0.84,1 1 2 7,天威,艾莉奧,勝意,黃寶妮,潘明輝,4,111,135
2025-03-02,ST,dirt,好,1650,471,10,閃耀威龍,1,13,11,75.03,75.51,0.26,23.55,-0.25,99.06,0.01,4 5 6 10,有派頭,勝意,爆熱,潘明輝,潘明輝,4,120,135
2025-03-26,ST,dirt,好,1650,536,09,閃耀威龍,1,13,11,74.61,74.77,-0.48,24.85,1.05,99.62,0.57,2 2 2 9,超加加,時間寶,幻影旋風,潘明輝,潘明輝,4,121,135
2025-04-20,ST,dirt,好,1650,605,02,閃耀威龍,1,13,7,75.2,75.28,0.03,23.62,-0.18,98.9,-0.15,2 2 2 2,超加加,閃耀威龍,年年友福,潘明輝,潘明輝,4,121,135
2025-05-10,ST,dirt,好,1650,662,05,閃耀威龍,1,13,8,73.42,74.7,-0.55,24.92,1.12,99.62,0.57,3 3 4 5,飛騰騅,大利好運,天時明駒,潘明輝,潘明輝,4,120,135
2025-05-31,ST,dirt,好,1650,720,08,閃耀威龍,1,13,10,76.88,77.04,1.79,24.17,0.37,101.21,2.16,2 2 2 8,新意馬,天時明駒,大利好運,潘明輝,潘明輝,4,120,135
2025-06-28,ST,dirt,濕慢,1650,793,03,閃耀威龍,1,13,5,75.12,75.56,0.31,24.38,0.58,99.94,0.89,3 3 3 3,川河型駒,風繼續吹,閃耀威龍,蔡明紹,潘明輝,4,118,135
2025-09-07,ST,grass,好,1400,005,05,閃耀威龍,1,13,10,57.26,58.1,-0.5,23.78,0.38,81.88,-0.12,7 8 9 5,星運少爵,旋風傳奇,做好自己,潘明輝,潘明輝,4,117,135
2025-09-17,HV,grass,好/快,1200,034,08,閃耀威龍,1,13,12,46.23,47.23,0.03,23.06,0.36,70.29,0.39,10 10 8,蓮冠皇,至合拍,翼羽陽明,楊明綸,潘明輝,4,118,135
2025-10-04,ST,dirt,好,1650,066,13,閃耀威龍,1,13,13,74.67,75.91,0.46,51.77,27.77,127.68,28.23,3 4 7 13,精明選擇,午夜快車,爆熱,潘頓,潘明輝,5,135,135
