日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-26,ST,grass,好,1400,703,07,奮鬥心,1,4,4,58.52,59.12,0.62,22.87,-0.28,81.99,0.34,9 8 8 7,大浪圖田,快搏,球星,潘明輝,周俊樂 (-2),3,126,135
2024-06-08,ST,grass,好,1800,739,06,奮鬥心,1,4,5,83.79,84.55,1.05,23.17,-0.83,107.72,0.22,8 9 9 10 6,桃花開,陽明天空,建測羣英,潘明輝,周俊樂 (-2),3,131,135
2024-06-26,HV,grass,好,1650,780,04,奮鬥心,1,4,7,75.91,76.83,1.18,23.36,-0.89,100.19,0.29,11 10 10 4,爭金奪冠,浪漫老撾,博望坡,何澤堯,周俊樂 (-2),3,131,135
2024-07-10,HV,grass,好/快,1800,820,05,奮鬥心,1,4,5,84.9,85.3,0.3,23.83,-0.62,109.13,-0.32,8 7 6 5 5,港林福將,浪漫老撾,博望坡,潘頓,周俊樂 (-2),3,132,135
2024-09-18,HV,grass,好,1650,033,04,奮鬥心,1,4,9,75.26,76.02,0.37,24.02,-0.23,100.04,0.14,8 9 8 4,久久為攻,極速奇兵,駟跑得,潘頓,周俊樂 (-2),3,135,135
2024-10-13,ST,grass,好/快,2000,095,05,奮鬥心,1,4,2,98.26,98.34,-0.01,23.59,0.04,121.93,0.03,6 2 2 2 5,又龍串鳳,十八掌門,非惟僥倖,布文,周俊樂 (-2),3,127,135
2024-10-23,ST,dirt,好,1650,127,03,奮鬥心,1,4,9,75.08,75.8,0.95,24.27,0.52,100.07,1.47,9 8 10 3,都靈福星,堅闖,奮鬥心,潘明輝,周俊樂 (-2),3,132,135
2024-11-17,ST,grass,好,2000,187,05,奮鬥心,1,4,5,97.99,98.43,0.08,23.33,-0.22,121.76,-0.14,5 6 6 6 5,愛心神駒,共享富裕,金陽飛駒,周俊樂,周俊樂 (-2),3,128,135
2024-12-01,ST,dirt,好,1650,228,06,奮鬥心,1,4,8,74.25,74.81,-0.04,24.14,0.39,98.95,0.35,11 11 10 6,精英雄心,堅闖,精彩動力,潘明輝,周俊樂 (-2),3,131,135
2024-12-18,ST,dirt,好,1200,275,10,奮鬥心,1,4,5,44.64,46.16,-0.34,23.53,1.48,69.69,1.14,8 9 10,包裝伯樂,自強不息,哈羅威,貝知仁,周俊樂 (-2),3,127,135
2025-01-19,ST,grass,好/快,2000,365,07,奮鬥心,1,4,10,97.47,98.67,0.37,23.05,-0.35,121.72,0.02,14 14 14 12 7,優才,又龍串鳳,桃花開,巴度,周俊樂 (-2),2,115,135
2025-02-09,ST,grass,好,1400,413,12,奮鬥心,1,4,5,58.89,59.61,1.11,22.92,-0.23,82.53,0.88,9 9 8 12,光年魅力,至尊高超,糖不甩,巴度,周俊樂 (-2),3,127,135
2025-02-16,ST,grass,好/快,1800,433,09,奮鬥心,1,4,4,83.91,84.43,0.93,23.11,-0.89,107.54,0.04,9 6 7 8 9,遙遙領先,平凡騎士,奔放,潘明輝,周俊樂 (-2),3,122,135
2025-04-13,ST,grass,好,1400,591,11,奮鬥心,1,4,14,57.9,59.82,1.32,22.36,-0.79,82.18,0.53,14 14 14 11,康樂高球,光年魅力,安泰,黃寶妮,周俊樂 (-2),3,111,135
2025-04-27,ST,grass,好,1400,629,08,奮鬥心,1,4,7,57.75,58.71,0.21,23.14,-0.01,81.85,0.2,12 12 11 8,大眾福星,美麗邂逅,哈羅威,潘明輝,周俊樂 (-2),3,121,135
2025-05-18,ST,grass,好/快,1600,687,11,奮鬥心,1,4,2,72.4,72.84,1.94,23.0,-0.8,95.84,1.14,7 6 7 11,金勝名駒,龍城精將,大浪圖田,蔡明紹,周俊樂 (-2),3,118,135
