日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2026-02-08,ST,dirt,好,1200,417,1,金玉良言,6,5,10,44.72,45.24,-1.61,23.07,0.97,68.31,-0.64,6 6 1,金玉良言,伶俐驫駒,顯勝高昇,艾兆禮,艾兆禮,4,118,131
2025-12-07,ST,dirt,好,1200,241,1,大番薯,2,3,10,45.14,45.14,-1.71,23.7,1.6,68.84,-0.11,1 1 1,大番薯,星火燎原,星光快驅,霍宏聲,霍宏聲,4,122,134
2026-03-08,ST,dirt,好,1200,498,1,金玉良言,6,5,5,45.81,46.25,-0.6,22.66,0.56,68.91,-0.04,5 6 1,金玉良言,勇者無敵,常嚐發財,艾兆禮,艾兆禮,4,125,131
2026-01-04,ST,dirt,好,1200,322,10,天天耍樂,4,9,4,45.55,45.55,-0.95,23.53,1.48,69.08,0.53,1 1 10,樂勝天下,駿步騰飛,熾烈神駒,潘明輝,袁幸堯 (-10),3,118,132
2026-03-08,ST,dirt,好,1200,498,2,勇者無敵,11,2,12,45.81,46.09,-0.76,23.0,0.9,69.09,0.14,3 3 2,金玉良言,勇者無敵,常嚐發財,金誠剛,金誠剛,4,119,118
2026-02-08,ST,dirt,好,1200,417,7,大番薯,2,3,6,44.72,44.72,-2.13,24.37,2.27,69.09,0.14,2 1 7,金玉良言,伶俐驫駒,顯勝高昇,霍宏聲,霍宏聲,4,127,134
2026-01-21,ST,dirt,好,1200,369,5,勇者無敵,11,2,5,45.51,46.19,-0.66,23.11,1.01,69.3,0.35,6 5 5,星火燎原,旺旺嘉駒,紅衣醒目,金誠剛,金誠剛,4,120,118
2026-02-08,ST,dirt,好,1200,415,5,摯友心得,12,11,8,46.21,46.97,0.12,22.45,0.35,69.42,0.47,10 10 5,勁勇皇駒,馬錢子,金多囍,田泰安,田泰安,4,120,116
2026-03-08,ST,dirt,好,1200,498,7,摯友心得,12,11,3,45.81,46.21,-0.64,23.32,1.22,69.53,0.58,6 4 7,金玉良言,勇者無敵,常嚐發財,田泰安,田泰安,4,119,116
2026-03-08,ST,dirt,好,1200,498,8,天天耍樂,4,9,7,45.81,45.81,-1.04,23.72,1.62,69.53,0.58,1 1 8,金玉良言,勇者無敵,常嚐發財,潘頓,袁幸堯 (-10),4,135,132
2025-12-07,ST,dirt,好,1200,241,8,良駒好友,9,8,6,45.14,46.14,-0.71,23.79,1.69,69.93,0.98,7 9 8,大番薯,星火燎原,星光快驅,紀仁安,梁家俊,4,123,127
2026-01-04,ST,dirt,好,1200,316,10,大番薯,2,3,5,45.18,45.38,-1.47,24.57,2.47,69.95,1.0,2 2 10,砂漿麒星,顯勝高昇,嘉嘉友福,霍宏聲,霍宏聲,4,127,134
2026-01-21,ST,dirt,好,1200,369,11,摯友心得,12,11,2,45.51,46.19,-0.66,24.13,2.03,70.32,1.37,5 6 11,星火燎原,旺旺嘉駒,紅衣醒目,潘大衛,田泰安,4,123,116
2026-01-21,ST,dirt,好,1200,372,12,飛躍星伴,7,7,10,44.58,46.66,0.16,24.26,2.21,70.92,2.37,11 12 12,熾烈神駒,晶晶日上,穿甲戰鷹,班德禮,楊明綸,3,127,128
