日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-29,ST,grass,好,1400,306,07,平凡騎士,7,6,2,59.41,59.65,1.15,22.75,-0.4,82.4,0.75,4 3 4 7,飛輪步,風雲武士,但求開心,楊明綸,艾道拿,3,130,124
2025-01-12,ST,grass,好,1600,346,07,平凡騎士,7,6,10,71.13,71.93,1.03,23.0,-0.8,94.93,0.23,14 14 13 7,納百川,本領輝煌,福祐神州,布文,艾道拿,3,130,124
2025-02-09,ST,grass,好,1800,415,05,平凡騎士,7,6,9,82.45,83.57,0.07,24.09,0.09,107.66,0.16,8 12 11 11 5,加州動員,和平波,包裝明駒,布文,艾道拿,3,129,124
2025-02-16,ST,grass,好/快,1800,433,02,平凡騎士,7,6,1,83.91,84.19,0.69,22.81,-1.19,107.0,-0.5,5 3 3 3 2,遙遙領先,平凡騎士,奔放,艾道拿,艾道拿,3,129,124
2025-03-09,ST,grass,好/快,1800,494,04,平凡騎士,7,6,4,83.87,84.55,0.6,22.66,-0.69,107.21,-0.09,7 7 9 11 4,有目共賞,但求開心,喜蓮勇感,田泰安,艾道拿,2,115,124
2025-07-01,ST,grass,好,1400,802,06,平凡騎士,7,6,4,57.62,58.14,-0.21,23.26,0.16,81.4,-0.05,9 10 8 6,光年魅力,米奇,得道猴王,班德禮,艾道拿,2,118,124
2025-09-17,HV,grass,好/快,1650,036,01,平凡騎士,7,6,1,74.83,75.11,-0.39,23.15,-0.65,98.26,-1.04,5 4 4 1,平凡騎士,安遇,太陽勇士,班德禮,艾道拿,2,121,124
2025-10-15,HV,grass,好/快,1800,101,08,平凡騎士,7,6,9,84.17,85.29,0.34,23.5,-0.7,108.79,-0.36,8 10 10 10 8,勁速威龍,加州動員,安遇,班德禮,艾道拿,2,125,124
2025-11-30,ST,grass,好,1600,223,09,平凡騎士,7,6,7,70.66,71.1,0.3,23.38,-0.07,94.48,0.23,10 11 9 9,康樂高球,太陽勇士,遙遙領先,何澤堯,艾道拿,2,122,124
2025-12-27,ST,grass,好,2000,295,08,平凡騎士,7,6,2,97.09,97.45,-0.85,24.48,1.08,121.93,0.23,5 5 5 5 8,數字天文,天將龍駒,君子傳承,班德禮,艾道拿,2,124,124
2026-01-04,ST,grass,好,1600,320,08,平凡騎士,7,6,5,70.74,71.14,0.34,23.78,0.33,94.92,0.67,6 5 7 8,睿盛人生,太陽勇士,喜尊龍,班德禮,艾道拿,2,128,124
