日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-11-11,ST,grass,好,1000,159,08,金駿星,8,4,9,33.86,34.38,-1.42,23.98,3.33,58.36,1.91,7 6 8,賢者無敵,閃電烈馬,攻頂,潘頓,奧爾民,3,121,125
2023-12-03,ST,grass,好,1400,222,13,金駿星,8,4,10,58.63,58.63,0.13,24.92,1.77,83.55,1.9,1 1 1 13,翩翩君子,綠色好運,非惟僥倖,鍾易禮,奧爾民,3,119,125
2023-12-20,HV,grass,好,1200,268,12,金駿星,8,4,12,46.38,46.74,-0.31,24.53,1.98,71.27,1.67,4 5 12,添開心,縱橫萬里,閃電,鍾易禮,奧爾民,3,116,125
2024-01-31,HV,grass,好,1200,386,07,金駿星,8,4,1,46.13,46.89,-0.16,23.51,0.96,70.4,0.8,7 7 7,好友心得,美麗第一,正氣青驅,董明朗,奧爾民,3,119,125
2024-02-07,HV,grass,好,1200,405,05,金駿星,8,4,12,46.92,47.84,0.79,23.24,0.69,71.08,1.48,12 11 5,錶壇精英,添開心,知道長勝,董明朗,奧爾民,3,120,125
2024-03-03,ST,grass,好,1200,466,07,金駿星,8,4,5,46.64,47.16,0.26,23.2,0.75,70.36,1.01,7 6 7,東方飛影,譽友翔駒,龍城強將,布文,奧爾民,4,133,125
2024-03-24,ST,grass,好/快,1400,527,03,金駿星,8,4,1,57.92,58.44,-0.16,23.3,-0.1,81.74,-0.26,9 8 6 3,忠誠寶寶,艾莉奧,金駿星,麥道朗,奧爾民,4,133,125
2024-03-31,ST,grass,好,1400,546,07,金駿星,8,4,6,59.84,60.64,2.04,23.28,-0.12,83.92,1.92,7 9 8 7,遨遊武士,無敵勇士,盛世名駒,布文,奧爾民,4,131,125
2024-04-17,HV,grass,好,1650,596,06,金駿星,8,4,4,76.76,76.92,1.07,25.0,0.75,101.92,1.82,2 2 2 6,都靈勇士,銀進,駟跑得,布文,奧爾民,4,130,125
2024-04-28,ST,grass,黏,1200,619,08,金駿星,8,4,11,46.71,47.75,0.85,23.03,0.58,70.78,1.43,14 12 8,鑽石星空,輝煌精英,開心寶寶,巴度,奧爾民,4,127,125
2024-05-19,ST,grass,好,1400,682,11,金駿星,8,4,5,58.22,58.78,0.18,24.67,1.27,83.45,1.45,7 7 6 11,龍城強將,妙算高歌,勁好運,巴度,奧爾民,4,126,125
2024-10-27,HV,grass,好,1200,133,04,金駿星,8,4,3,46.95,47.59,0.39,22.85,0.15,70.44,0.54,8 7 4,你知我得,智勝攻略,電訊龍駒,田泰安,奧爾民,4,124,125
2024-11-24,ST,grass,好,1600,207,04,金駿星,8,4,2,69.9,70.38,-0.72,24.09,0.29,94.47,-0.43,8 8 6 4,江南勇士,昭易搵,連連歡呼,田泰安,奧爾民,4,123,125
2024-12-04,HV,grass,好,1650,235,05,金駿星,8,4,4,76.1,76.86,1.01,24.25,0.0,101.11,1.01,7 7 7 5,大力猴王,龍船快,得意佳作,川田將雅,奧爾民,4,120,125
2024-12-26,HV,grass,好,1650,294,08,金駿星,8,4,7,75.76,76.52,0.67,23.61,-0.64,100.13,0.03,7 7 7 8,追風,智勇名駒,香港神駒,巴度,奧爾民,4,121,125
2025-01-26,ST,grass,好,1400,381,06,金駿星,8,4,14,59.14,60.18,1.58,22.75,-0.65,82.93,0.93,14 14 13 6,元朗精英,超風速,仁仁有餘,田泰安,奧爾民,4,119,125
2025-02-09,ST,grass,好,1400,408,06,金駿星,8,4,4,59.67,60.31,1.71,22.56,-0.84,82.87,0.87,9 9 10 6,威武年代,八仟財陞,醒目先駒,潘明輝,奧爾民,4,117,125
2025-04-02,HV,grass,好/快,1200,554,01,金駿星,8,4,12,46.11,47.23,-0.12,22.82,0.07,70.05,-0.05,12 12 1,金駿星,前風,快樂奇兵,奧爾民,奧爾民,5,133,125
2025-04-27,ST,grass,好,1400,622,10,金駿星,8,4,1,57.56,58.28,-0.32,24.18,0.78,82.46,0.46,9 10 9 10,錶之星河,綠野飛馳,仁仁有餘,希威森,奧爾民,4,119,125
2025-06-04,HV,grass,好/黏,1200,732,01,金駿星,8,4,1,47.4,47.92,0.72,23.37,0.67,71.29,1.39,7 8 1,金駿星,智勝攻略,勇威神駒,董明朗,奧爾民,4,119,125
2025-09-17,HV,grass,好,1200,030,08,金駿星,8,4,10,46.87,47.71,0.51,22.7,0.0,70.41,0.51,11 12 8,三軍勇將,加州本事,電訊驕陽,奧爾民,奧爾民,4,127,125
2025-11-05,HV,grass,好/快,1200,157,08,金駿星,8,4,6,46.21,47.29,0.09,23.14,0.44,70.43,0.53,9 8 8,輕功猛男,比特星,雷神太保,奧爾民,奧爾民,4,126,125
2025-11-26,HV,grass,好/快,1200,210,10,金駿星,8,4,10,46.78,47.9,0.7,22.8,0.1,70.7,0.8,11 11 10,棒棒糖,細水長流,機不可失,董明朗,奧爾民,4,126,125
2025-12-17,HV,grass,好,1200,266,11,金駿星,8,4,7,46.56,46.96,-0.24,24.31,1.61,71.27,1.37,8 5 11,臻至辰,細水長流,千杯,希威森,奧爾民,4,127,125
