日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-20,ST,grass,好/快,1200,116,07,仁仁有餘,2,4,9,45.53,47.01,0.11,22.58,0.13,69.59,0.24,9 9 7,手錶之星,熾烈神駒,哈羅威,布文,莫雷拉,4,127,134
2024-11-09,ST,grass,好,1200,168,14,仁仁有餘,2,4,12,45.79,46.19,-0.71,24.28,1.83,70.47,1.12,4 6 14,手錶之星,馬鳳凰,祥龍駒,布文,莫雷拉,4,128,134
2024-12-08,ST,grass,好,1200,240,05,仁仁有餘,2,4,2,46.18,47.1,0.2,22.48,0.03,69.58,0.23,12 13 5,開心樂園,神馳,衝上雲霄,薛恩,莫雷拉,4,126,134
2025-01-26,ST,grass,好,1400,381,03,仁仁有餘,2,4,2,59.14,59.66,1.06,22.91,-0.49,82.57,0.57,10 9 7 3,元朗精英,超風速,仁仁有餘,布文,莫雷拉,4,126,134
2025-03-15,ST,grass,好/黏,1400,510,01,仁仁有餘,2,4,11,59.56,59.92,1.32,24.41,1.01,84.33,2.33,10 8 6 1,仁仁有餘,彭玥,開心五月,布文,莫雷拉,4,126,134
2025-04-27,ST,grass,好,1400,622,03,仁仁有餘,2,4,9,57.56,58.4,-0.2,23.37,-0.03,81.77,-0.23,13 13 11 3,錶之星河,綠野飛馳,仁仁有餘,莫雷拉,莫雷拉,4,131,134
2025-05-25,ST,grass,好,1400,701,05,仁仁有餘,2,4,4,57.67,58.23,-0.37,23.92,0.52,82.15,0.15,9 8 7 5,做好自己,嘉應駿昇,新力驕,黃智弘,莫雷拉,4,124,134
2025-06-25,HV,grass,好/快,1200,779,05,仁仁有餘,2,4,12,46.27,47.23,0.03,22.65,-0.05,69.88,-0.02,12 11 5,好節拍,新力,輕功猛男,布文,莫雷拉,4,131,134
2025-07-16,HV,grass,好/快,1200,840,01,仁仁有餘,2,4,6,45.83,46.07,-1.13,23.21,0.51,69.28,-0.62,3 3 1,仁仁有餘,紅錢到,東來欣賞,奧爾民,莫雷拉,4,131,134
2025-09-10,HV,grass,好,1200,018,09,仁仁有餘,2,4,2,46.29,46.53,-0.52,24.03,1.48,70.56,0.96,4 5 9,勇霸龍,至尊瑰寶,佛亮老撾,艾兆禮,莫雷拉,3,119,134
2025-10-08,HV,grass,好/快,1200,083,07,仁仁有餘,2,4,1,46.39,46.59,-0.46,23.1,0.55,69.69,0.09,3 4 7,至尊瑰寶,快搏,魅力寶駒,希威森,莫雷拉,3,120,134
2025-11-23,ST,grass,好,1400,202,07,仁仁有餘,2,4,11,57.87,58.83,0.33,23.05,-0.1,81.88,0.23,10 9 9 7,白鷺金剛,光年八十,超勁赤兔,蔡明紹,莫雷拉,3,118,134
2025-12-20,ST,grass,好,1400,282,09,仁仁有餘,2,4,7,58.33,58.93,0.43,23.33,0.18,82.26,0.61,14 9 11 9,超勁赤兔,加州熱浪,做好自己,蔡明紹,莫雷拉,3,118,134
2026-01-04,ST,grass,好,1400,318,02,仁仁有餘,2,4,1,57.48,57.92,-0.68,23.7,0.3,81.62,-0.38,9 6 6 2,威武年代,仁仁有餘,超開心,布文,莫雷拉,4,135,134
2026-01-25,ST,grass,好/快,1400,378,08,仁仁有餘,2,4,10,57.92,58.36,-0.24,23.95,0.55,82.31,0.31,10 8 5 8,都靈冠星,威武年代,幸運愉快,黃智弘,莫雷拉,4,129,134
