日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-02-16,ST,grass,好/快,1200,428,07,龍文鞭影,3,1,4,45.94,46.62,-0.28,22.73,0.28,69.35,0.0,11 10 7,嘉應勇士,喜尊龍,激光諜影,馬昆,莫雷拉,4,127,129
2025-03-09,ST,grass,好/快,1400,490,07,龍文鞭影,3,1,6,58.33,59.09,0.49,23.38,-0.02,82.47,0.47,11 12 10 7,豐辰,威武年代,嘉應巨昇,艾道拿,莫雷拉,4,128,129
2025-03-30,ST,grass,好,1400,550,06,龍文鞭影,3,1,4,57.81,59.13,0.53,23.02,-0.38,82.15,0.15,8 9 9 6,南區之星,開心宇宙,劍無名,周俊樂,莫雷拉,4,126,129
2025-05-04,ST,grass,好/快,1600,644,02,龍文鞭影,3,1,7,71.06,71.7,0.6,23.21,-0.59,94.91,0.01,9 9 8 2,火焰閃爍,龍文鞭影,精算特殊,班德禮,莫雷拉,4,128,129
2025-05-25,ST,grass,好,1600,702,04,龍文鞭影,3,1,6,70.2,70.56,-0.54,23.98,0.18,94.54,-0.36,5 4 4 4,英駿飛駒,精算特殊,凱旋幸運,班德禮,莫雷拉,4,128,129
2025-06-04,HV,grass,好/黏,1650,731,01,龍文鞭影,3,1,8,76.54,77.1,1.25,24.4,0.15,101.5,1.4,6 6 6 1,龍文鞭影,川河首駒,極速滿貫,班德禮,莫雷拉,4,130,129
2025-06-25,HV,grass,好/快,1650,784,01,龍文鞭影,3,1,7,76.24,76.24,0.39,23.58,-0.67,99.82,-0.28,1 1 1 1,龍文鞭影,川河首駒,加州活力,班德禮,莫雷拉,4,133,129
2025-09-10,HV,grass,好,1650,015,01,龍文鞭影,3,1,7,75.39,75.51,-0.14,24.13,-0.12,99.64,-0.26,2 2 2 1,龍文鞭影,智勇名駒,我做到,班德禮,莫雷拉,3,120,129
2025-10-04,ST,grass,好/快,1800,075,04,龍文鞭影,3,1,13,83.58,83.62,0.12,23.84,-0.16,107.46,-0.04,3 2 2 3 4,勁大威猛,君子傳承,艾莉奧,班德禮,莫雷拉,3,126,129
2025-10-15,HV,grass,好/快,1800,103,02,龍文鞭影,3,1,7,84.03,84.71,-0.29,23.62,-0.83,108.33,-1.12,10 8 9 8 2,星價,龍文鞭影,盈益善,班德禮,莫雷拉,3,127,129
2025-11-12,HV,grass,好/快,1800,177,06,龍文鞭影,3,1,7,85.71,86.23,1.23,23.49,-0.96,109.72,0.27,5 5 5 5 6,非惟僥倖,滿心星,奔放,麥道朗,莫雷拉,3,130,129
2025-12-03,HV,grass,好,1800,234,03,龍文鞭影,3,1,5,85.4,86.0,1.0,23.08,-1.37,109.08,-0.37,5 5 5 4 3,春風萬里,奔放,龍文鞭影,麥道朗,莫雷拉,3,129,129
2025-12-23,HV,grass,好,2200,289,09,龍文鞭影,3,1,8,111.23,111.55,-0.6,24.98,0.53,136.53,-0.07,2 2 2 2 3 9,豐辰,奔放,發財先鋒,班德禮,莫雷拉,3,132,129
2026-02-01,ST,grass,好,1600,403,11,龍文鞭影,3,1,6,70.62,71.34,0.44,23.51,-0.29,94.85,0.15,7 7 10 11,一生好彩,紫荊傳令,天然數字,何澤堯,莫雷拉,3,127,129
