日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-04-14,ST,grass,好/快,1200,584,12,勁先生,4,9,9,46.98,47.74,0.84,22.63,0.18,70.37,1.02,6 8 12,魯班精神,佳運發,揚揚大道,布文,奧爾民,4,128,125
2024-05-19,ST,grass,好,1200,678,12,勁先生,4,9,12,45.79,47.31,0.41,23.0,0.55,70.31,0.96,12 12 12,輝煌精英,鑽石星空,獎金大少,班德禮,奧爾民,4,127,125
2024-06-08,ST,grass,好,1200,735,05,勁先生,4,9,3,46.5,47.26,0.36,22.27,-0.18,69.53,0.18,9 9 5,以戰常勝,勝利神駒,精選威,班德禮,奧爾民,4,125,125
2024-09-15,ST,dirt,好,1200,024,01,勁先生,4,9,11,46.06,47.1,0.25,21.85,-0.25,68.95,0.0,10 7 1,勁先生,新強福盈,寶麗生輝,班德禮,奧爾民,4,122,125
2024-09-28,ST,grass,好,1400,059,03,勁先生,4,9,10,58.89,59.37,0.77,22.62,-0.78,81.99,-0.01,9 9 9 3,堅闖,綠族威,勁先生,班德禮,奧爾民,4,128,125
2024-11-03,ST,grass,好/快,1400,152,06,勁先生,4,9,4,58.5,58.9,0.3,23.47,0.07,82.37,0.37,6 7 7 6,昭易搵,一定掂,卓越蒨鋒,班德禮,奧爾民,4,129,125
2024-12-08,ST,grass,好,1200,240,04,勁先生,4,9,10,46.18,46.9,0.0,22.61,0.16,69.51,0.16,11 10 4,開心樂園,神馳,衝上雲霄,潘頓,奧爾民,4,130,125
2024-12-29,ST,dirt,好,1200,302,02,勁先生,4,9,10,45.98,46.66,-0.19,22.6,0.5,69.26,0.31,10 9 2,良駒好友,勁先生,越野大師,潘頓,奧爾民,4,130,125
2025-01-19,ST,grass,好,1400,360,01,勁先生,4,9,14,57.96,58.92,0.32,22.86,-0.54,81.78,-0.22,14 14 13 1,勁先生,美麗邂逅,加非凡,潘頓,奧爾民,4,130,125
2025-02-23,ST,grass,好,1400,454,11,勁先生,4,9,6,57.83,58.35,-0.15,23.91,0.76,82.26,0.61,7 7 7 11,至尊高超,穿甲戰鷹,樂勝天下,田泰安,奧爾民,3,117,125
2025-04-20,ST,dirt,好,1200,608,04,勁先生,4,9,2,45.25,45.81,-0.69,22.81,0.76,68.62,0.07,6 8 4,德心知遇,晶晶日上,皇龍飛將,潘明輝,奧爾民,3,117,125
2025-05-18,ST,dirt,好,1200,684,03,勁先生,4,9,1,45.41,46.13,-0.37,22.14,0.09,68.27,-0.28,6 7 3,實力哥,包裝伯樂,勁先生,潘明輝,奧爾民,3,116,125
2025-06-14,ST,dirt,濕快,1200,765,04,勁先生,4,9,8,45.14,46.02,-0.48,22.53,0.48,68.55,0.0,8 10 4,智跑得,晶晶日上,包裝伯樂,田泰安,奧爾民,3,116,125
2025-07-05,ST,dirt,好,1200,810,01,勁先生,4,9,10,45.54,45.66,-1.19,23.23,1.13,68.89,-0.06,4 3 1,勁先生,日日獎,囍眼光,潘頓,奧爾民,4,135,125
2025-09-14,ST,dirt,好,1200,027,02,勁先生,4,9,3,45.35,46.27,-0.23,22.45,0.4,68.72,0.17,6 7 2,包裝伯樂,勁先生,智跑得,潘明輝,奧爾民,3,122,125
2025-10-12,ST,dirt,濕慢,1200,092,01,勁先生,4,9,6,45.24,45.76,-0.74,22.84,0.79,68.6,0.05,8 8 1,勁先生,熾烈神駒,日馳千里,潘頓,奧爾民,3,123,125
2025-10-30,ST,dirt,好,1650,140,10,勁先生,4,9,4,75.27,75.95,1.1,24.7,0.95,100.65,2.05,6 6 5 10,新意馬,智跑得,艾莉奧,潘頓,奧爾民,3,128,125
2025-11-30,ST,dirt,好,1200,222,11,勁先生,4,9,2,45.04,46.4,-0.1,23.65,1.6,70.05,1.5,12 12 11,樂勝天下,錶之極光,時尚風趣,潘明輝,奧爾民,3,134,125
2026-04-01,ST,dirt,好,1200,572,08,勁先生,4,9,2,45.24,46.0,-0.5,23.29,1.24,69.29,0.74,8 9 8,樂勝天下,錶之極光,友愛心得,奧爾民,奧爾民,3,126,125
