日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-15,ST,grass,黏,1000,751,09,洛河,11,9,10,34.13,34.37,-0.93,24.26,3.66,58.63,2.73,4 6 9,精英勇士,嘉應駿馬,聖托里尼,楊明綸,巴度,0,121,116
2024-11-24,ST,grass,好,1000,203,11,洛河,11,9,5,34.23,34.47,-1.43,23.52,2.77,57.99,1.34,8 5 11,美麗老撾,嘉應駿馬,龍騰飛翔,潘明輝,巴度,4,124,116
2024-12-11,HV,grass,好,1200,252,08,洛河,11,9,1,46.29,46.29,-0.91,24.53,1.83,70.82,0.92,2 2 8,美麗之光,電訊龍駒,富國兄弟,周俊樂,巴度,4,121,116
2025-01-12,ST,grass,好,1200,338,02,洛河,11,9,1,47.03,47.03,0.13,23.09,0.64,70.12,0.77,3 1 2,騰龍四海,洛河,歡樂飛駒,周俊樂,巴度,4,120,116
2025-02-05,HV,grass,好,1200,399,08,洛河,11,9,10,46.0,46.0,-1.2,24.85,2.15,70.85,0.95,4 2 8,千杯敬典,超強六十,競馬一心,周俊樂,巴度,4,122,116
2025-02-26,HV,grass,好,1200,460,06,洛河,11,9,1,46.36,46.76,-0.44,23.25,0.55,70.01,0.11,4 6 6,超強六十,樂加福,新力,周俊樂,巴度,4,121,116
2025-03-26,ST,dirt,好,1200,538,06,洛河,11,9,6,46.12,46.12,-0.73,23.56,1.46,69.68,0.73,1 1 6,加州星馳,實力哥,手錶之星,賀銘年,巴度,4,122,116
2025-04-16,HV,grass,好/快,1200,598,03,洛河,11,9,1,46.11,46.11,-1.09,23.92,1.22,70.03,0.13,1 1 3,決一劍,光輝所願,洛河,賀銘年,巴度,4,121,116
2025-05-14,HV,grass,好/快,1200,675,03,洛河,11,9,2,46.77,47.01,-0.19,23.16,0.46,70.17,0.27,4 4 3,千杯敬典,星火燎原,洛河,賀銘年,巴度,4,121,116
2025-06-28,ST,grass,好,1200,792,08,洛河,11,9,3,46.16,46.4,-0.5,23.84,1.39,70.24,0.89,4 4 8,幸運多彩,魅力知福,實力派,賀銘年,巴度,4,121,116
2025-07-16,HV,grass,好/快,1200,841,10,洛河,11,9,7,45.63,46.07,-1.13,24.55,1.85,70.62,0.72,5 6 10,星火燎原,星辰千帥,一生好彩,班德禮,巴度,4,120,116
