日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-18,HV,grass,好/黏,1200,096,01,添開心,1,2,5,46.36,46.36,-0.84,24.14,1.44,70.5,0.6,2 1 1,添開心,凌厲,小刺蛋,班德禮,周俊樂 (-2),4,126,135
2023-11-15,HV,grass,好,1200,172,04,添開心,1,2,9,45.98,45.98,-1.22,24.35,1.65,70.33,0.43,1 1 4,萬事靚,凌厲,金運來,霍宏聲,周俊樂 (-2),4,131,135
2023-12-06,HV,grass,好,1200,228,01,添開心,1,2,11,46.54,46.7,-0.5,23.62,0.92,70.32,0.42,3 2 1,添開心,真感,風中勁松,潘頓,周俊樂 (-2),4,131,135
2023-12-20,HV,grass,好,1200,268,01,添開心,1,2,4,46.38,46.82,-0.23,22.99,0.44,69.81,0.21,6 6 1,添開心,縱橫萬里,閃電,巴度,周俊樂 (-2),3,118,135
2024-01-10,HV,grass,好,1200,332,09,添開心,1,2,7,46.75,47.03,-0.02,23.65,1.1,70.68,1.08,3 3 9,合夥雄心,寰宇豐采,有財有勢,巴度,周俊樂 (-2),3,126,135
2024-02-07,HV,grass,好,1200,405,02,添開心,1,2,9,46.92,46.92,-0.13,23.59,1.04,70.51,0.91,1 1 2,錶壇精英,添開心,知道長勝,巴度,周俊樂 (-2),3,128,135
2024-02-28,HV,grass,好,1200,460,07,添開心,1,2,5,47.38,47.58,0.53,23.62,1.07,71.2,1.6,3 4 7,精算暴雪,電源之駒,撼天鐵翼,巴度,周俊樂 (-2),3,127,135
2024-03-20,HV,grass,好,1200,521,03,添開心,1,2,4,46.84,47.52,0.47,22.55,0.0,70.07,0.47,6 6 3,顏色大皇,撼天鐵翼,添開心,艾道拿,周俊樂 (-2),3,127,135
2024-04-10,HV,grass,好,1200,577,06,添開心,1,2,4,45.86,46.5,-0.55,23.97,1.42,70.47,0.87,9 4 6,川河動駒,顏色大皇,瑰麗人生,艾道拿,周俊樂 (-2),3,125,135
2024-05-15,HV,grass,好,1200,674,05,添開心,1,2,9,46.14,47.26,0.21,23.11,0.56,70.37,0.77,9 9 5,合夥奔馳,加州德至,太陽拍檔,巴度,周俊樂 (-2),3,125,135
2024-06-15,ST,grass,軟,1400,759,05,添開心,1,2,8,58.92,58.92,0.42,25.27,2.12,84.19,2.54,1 1 1 5,陽光勇士,手機錶霸,一定美麗,巴度,周俊樂 (-2),3,126,135
2024-07-04,HV,grass,好,1200,801,08,添開心,1,2,1,46.31,46.51,-0.54,24.43,1.88,70.94,1.34,1 2 8,錶壇精英,穿甲鷹,競駿非凡,巴度,周俊樂 (-2),3,121,135
2024-09-18,HV,grass,好,1200,035,02,添開心,1,2,9,46.4,46.56,-0.49,23.48,0.93,70.04,0.44,5 3 2,勇敢巨星,添開心,競駿非凡,潘頓,周俊樂 (-2),3,123,135
2024-09-25,HV,grass,好,1000,054,04,添開心,1,2,9,34.01,34.85,-0.8,22.3,1.3,57.15,0.5,11 10 4,紅逸舍,連連幸運,巴薩諾瓦,周俊樂,周俊樂 (-2),3,123,135
2024-10-16,HV,grass,好/快,1200,108,03,添開心,1,2,7,46.12,46.4,-0.65,23.35,0.8,69.75,0.15,8 6 3,勇敢巨星,多利彩駒,添開心,潘頓,周俊樂 (-2),3,126,135
