日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-05-18,ST,grass,好/快,1200,683,01,火悟空,8,13,8,45.83,46.63,-0.27,22.38,-0.07,69.01,-0.34,10,火悟空,手到齊來,彩虹七色,艾兆禮,艾兆禮,4,126,126
2025-06-22,ST,grass,好,1200,771,05,火悟空,8,13,7,45.59,46.39,-0.51,23.0,0.55,69.39,0.04,6,弦力寶,白鷺金剛,增旺,艾兆禮,艾兆禮,4,134,126
2025-09-28,ST,grass,好/快,1400,050,02,火悟空,8,13,7,57.74,58.02,-0.58,23.87,0.47,81.89,-0.11,2,一生好彩,火悟空,豐辰,艾兆禮,艾兆禮,4,135,126
2025-10-19,ST,grass,好/快,1400,108,03,火悟空,8,13,13,57.66,58.02,-0.58,23.41,0.01,81.43,-0.57,6,一生好彩,榮利雙收,火悟空,艾兆禮,艾兆禮,4,135,126
2025-11-23,ST,grass,好/快,1400,207,06,火悟空,8,13,11,58.79,59.95,1.45,22.11,-1.04,82.06,0.41,9,同心同樂,勇冠群英,大眾福星,艾兆禮,艾兆禮,3,117,126
2025-11-30,ST,grass,好,1600,226,05,火悟空,8,13,2,71.97,72.33,1.43,22.87,-0.93,95.2,0.5,5,一定超,美麗星晨,魅力知耀,艾兆禮,艾兆禮,3,115,126
2026-01-11,ST,grass,好/快,1400,344,03,火悟空,8,13,7,59.79,60.07,1.57,22.7,-0.45,82.77,1.12,2,一生好彩,凌登,火悟空,艾兆禮,艾兆禮,3,116,126
2026-02-01,ST,grass,好,1600,400,01,火悟空,8,13,12,71.05,71.65,0.55,22.67,-1.13,94.32,-0.58,10,火悟空,機械之星,滿洛城,麥文堅,艾兆禮,4,135,126
2026-02-22,ST,grass,好,1600,464,12,火悟空,8,13,12,71.75,72.23,1.33,23.24,-0.56,95.47,0.77,8,泰力,超勁赤兔,開心勇駒,麥文堅,艾兆禮,3,126,126
2026-03-22,ST,grass,好/快,1800,542,08,火悟空,8,13,8,84.15,85.03,1.53,22.56,-1.44,107.59,0.09,9,紫荊拼搏,榮駿大道,發財先鋒,霍宏聲,艾兆禮,3,124,126
