日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-13,ST,grass,好/快,1200,093,02,至尊高超,13,9,12,46.58,46.94,0.04,22.51,0.06,69.45,0.1,7,錶之宇宙,至尊高超,綫路盈樂,艾道拿,韋紀力,4,126,115
2024-11-09,ST,grass,好,1200,167,02,至尊高超,13,9,2,47.38,47.5,0.6,22.22,-0.23,69.72,0.37,4,嘉應奇兵,至尊高超,準輝煌,艾道拿,韋紀力,4,131,115
2024-12-22,ST,grass,好,1400,278,03,至尊高超,13,9,13,59.27,59.31,0.71,22.95,-0.45,82.26,0.26,3,嘉應奇兵,準輝煌,至尊高超,艾道拿,韋紀力,4,132,115
2025-01-12,ST,grass,好,1400,341,01,至尊高超,13,9,2,58.53,58.93,0.33,23.05,-0.35,81.98,-0.02,8,至尊高超,幸運芙蓉,衝上雲霄,艾道拿,韋紀力,4,132,115
2025-02-09,ST,grass,好,1400,413,02,至尊高超,13,9,10,58.89,58.93,0.43,22.73,-0.42,81.66,0.01,2,光年魅力,至尊高超,糖不甩,田泰安,韋紀力,3,121,115
2025-02-23,ST,grass,好,1400,454,01,至尊高超,13,9,5,57.83,57.95,-0.55,22.98,-0.17,80.93,-0.72,3,至尊高超,穿甲戰鷹,樂勝天下,艾道拿,韋紀力,3,119,115
2025-03-15,ST,grass,好/黏,1400,513,01,至尊高超,13,9,2,58.57,58.89,0.39,23.5,0.35,82.39,0.74,6,至尊高超,光年八十,瑪瑙,艾道拿,韋紀力,3,127,115
2025-04-20,ST,grass,好/快,1400,610,02,至尊高超,13,9,10,58.21,58.41,-0.09,22.65,-0.5,81.06,-0.59,2,南區之星,至尊高超,紫荊歡呼,艾道拿,韋紀力,3,135,115
2025-05-10,ST,grass,好,1400,666,02,至尊高超,13,9,2,58.97,59.33,0.83,22.48,-0.67,81.81,0.16,3,光年魅力,至尊高超,自力更生,艾道拿,韋紀力,3,135,115
2025-10-12,ST,grass,好,1400,094,06,至尊高超,13,9,10,57.23,57.55,-0.95,24.16,1.01,81.71,0.06,3,仁心星,勇冠群英,天福,艾道拿,韋紀力,3,135,115
2025-11-09,ST,grass,好,1400,168,07,至尊高超,13,9,12,59.87,60.59,2.09,22.82,-0.33,83.41,1.76,13,富國兄弟,鑽石星空,小鳥天堂,艾道拿,韋紀力,3,135,115
2025-12-14,ST,grass,好,1400,262,05,至尊高超,13,9,13,58.31,58.71,0.21,23.31,0.16,82.02,0.37,3,榮駿大道,大眾福星,百威多贏,莫雅,韋紀力,3,135,115
2026-01-18,ST,grass,好/快,1400,362,03,至尊高超,13,9,9,58.24,58.84,0.34,22.87,-0.28,81.71,0.06,7,會當凌,閃光燈,至尊高超,艾道拿,韋紀力,3,135,115
2026-02-08,ST,grass,好,1400,423,03,至尊高超,13,9,4,58.21,58.49,-0.01,23.37,0.22,81.86,0.21,5,會當凌,嘉應奇兵,至尊高超,艾道拿,韋紀力,3,135,115
2026-03-01,ST,grass,好,1400,485,02,至尊高超,13,9,9,58.55,59.31,0.96,22.54,-0.56,81.85,0.4,7,會當凌,至尊高超,綠族無限,艾兆禮,韋紀力,2,119,115
