日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-09-15,ST,grass,好/快,1000,027,08,耀寶,7,1,12,34.15,34.71,-1.09,21.75,1.1,56.46,0.01,14,魔術控制,星際快車,寰宇豐采,潘頓,周俊樂 (-2),3,120,129
2024-10-13,ST,grass,好/快,1200,094,01,耀寶,7,1,2,45.89,46.37,-0.28,22.21,-0.14,68.58,-0.42,6,耀寶,旭日昇,風生水起,潘頓,周俊樂 (-2),3,122,129
2024-11-09,ST,grass,好/快,1200,174,01,耀寶,7,1,7,45.17,46.41,-0.24,22.14,-0.21,68.55,-0.45,12,耀寶,河好運,風雲武士,潘頓,周俊樂 (-2),3,125,129
2024-11-24,ST,grass,好/快,1200,210,02,耀寶,7,1,3,45.71,46.43,-0.22,22.38,0.03,68.81,-0.19,10,駿步騰飛,耀寶,同祥和順,潘頓,周俊樂 (-2),3,132,129
2024-12-08,ST,grass,好,1200,242,11,耀寶,7,1,9,45.57,46.61,-0.04,23.14,0.79,69.75,0.75,12,開心寶寶,皇者有利,競駿先鋒,潘頓,周俊樂 (-2),3,135,129
2025-04-27,ST,grass,好,1200,625,12,耀寶,7,1,7,45.75,46.71,0.06,23.24,0.89,69.95,0.95,8,真心傳奇,龍之輝,非凡達,霍宏聲,周俊樂 (-2),3,135,129
2025-05-31,ST,grass,好,1200,723,08,耀寶,7,1,5,46.53,47.29,0.64,22.47,0.12,69.76,0.76,9,真心傳奇,晒冷,正氣青驅,艾兆禮,周俊樂 (-2),3,133,129
2025-07-01,ST,grass,好,1200,806,05,耀寶,7,1,5,45.64,46.68,0.03,22.85,0.5,69.53,0.53,12,巴基之勝,魅力寶駒,超霸勝,艾兆禮,周俊樂 (-2),3,135,129
2025-10-19,ST,grass,好/快,1200,111,11,耀寶,7,1,8,46.07,46.99,0.34,23.11,0.76,70.1,1.1,9,錶之星河,天賜喜,晒冷,艾兆禮,周俊樂 (-2),3,132,129
2025-12-14,ST,grass,好,1200,255,06,耀寶,7,1,6,46.43,46.95,0.3,23.44,1.09,70.39,1.39,9,喜蓮勁感,競駿非凡,綫路滿貫,杜苑欣,周俊樂 (-2),3,132,129
2026-01-01,ST,grass,好,1200,311,14,耀寶,7,1,3,46.09,47.05,0.4,25.86,3.51,72.91,3.91,10,扶搖勢勁,跨境寶馬,開心指數,潘頓,周俊樂 (-2),3,128,129
