日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-22,ST,grass,好,1400,108,03,潮州精神,2,12,5,57.94,58.46,-0.04,23.2,0.05,81.66,0.01,8,大紅袍,宜春火力,潮州精神,巴度,巴度,3,132,134
2023-11-19,ST,grass,好/快,1400,186,03,潮州精神,2,12,9,59.04,59.84,1.34,22.59,-0.56,82.43,0.78,12,宜春火力,威之星,潮州精神,巴度,巴度,3,133,134
2023-12-10,ST,grass,好,1400,234,01,潮州精神,2,12,8,59.25,59.57,1.07,23.33,0.18,82.9,1.25,5,潮州精神,朗朗乾坤,同樣美麗,巴度,巴度,3,129,134
2024-01-01,ST,grass,好,1400,304,09,潮州精神,2,12,5,59.33,59.77,1.27,24.05,0.9,83.82,2.17,8,朗朗乾坤,魅力知遇,滿歡笑,巴度,巴度,3,135,134
2024-04-20,ST,grass,好,1400,607,02,潮州精神,2,12,9,58.54,58.86,0.36,23.53,0.38,82.39,0.74,6,仁心星,潮州精神,手機錶霸,巴度,巴度,3,135,134
2024-05-19,ST,grass,好,1400,684,04,潮州精神,2,12,7,58.27,58.71,0.21,23.72,0.57,82.43,0.78,6,手機錶霸,陽光勇士,滿歡笑,巴度,巴度,3,135,134
2024-06-08,ST,grass,好,1400,741,03,潮州精神,2,12,9,57.89,58.73,0.23,22.95,-0.2,81.68,0.03,8,美麗邂逅,風繼續吹,潮州精神,巴度,巴度,3,135,134
2024-07-01,ST,grass,好,1400,787,01,潮州精神,2,12,9,57.93,58.61,0.26,22.1,-1.0,80.71,-0.74,9,潮州精神,好友心得,巴閉哥,巴度,巴度,2,118,134
2024-09-08,ST,grass,好,1400,007,01,潮州精神,2,12,3,59.44,59.88,1.53,22.03,-1.07,81.91,0.46,4,潮州精神,巴閉哥,話你知,巴度,巴度,2,131,134
2024-09-22,ST,grass,好/黏,1400,043,05,潮州精神,2,12,7,59.35,59.51,1.26,23.79,0.94,83.3,2.2,6,中華盛景,神虎龍駒,健康愉快,巴度,巴度,0,117,134
2024-10-20,ST,grass,好/快,1600,115,10,潮州精神,2,12,3,70.29,70.81,0.01,23.78,0.33,94.59,0.34,9,話你知,喜蓮勇感,手機錶霸,巴度,巴度,2,133,134
2024-11-09,ST,grass,好/快,1400,172,08,潮州精神,2,12,11,57.22,57.82,-0.53,23.01,-0.09,80.83,-0.62,7,堅又威,包裝天將,飛鷹翱翔,梁家俊,巴度,2,123,134
