日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2026-04-06,ST,grass,好,1200,580,1,嘉應高昇,1,3,5,45.38,45.5,-0.45,21.62,-0.58,67.12,-1.03,2,嘉應高昇,驕陽明駒,精算暴雪,潘頓,潘頓,0,128,126
2026-01-25,ST,grass,好/快,1200,379,1,嘉應高昇,1,3,4,45.72,45.72,-0.23,21.94,-0.26,67.66,-0.49,2,嘉應高昇,驕陽明駒,舉步生風,潘頓,潘頓,0,126,126
2026-04-06,ST,grass,好,1200,580,2,驕陽明駒,3,6,4,45.38,46.22,0.27,21.59,-0.61,67.81,-0.34,7,嘉應高昇,驕陽明駒,精算暴雪,布文,布文,0,123,126
2026-01-25,ST,grass,好/快,1200,379,2,驕陽明駒,3,6,1,45.72,46.0,0.05,21.86,-0.34,67.86,-0.29,5,嘉應高昇,驕陽明駒,舉步生風,布文,布文,0,126,126
2026-04-06,ST,grass,好,1200,580,3,精算暴雪,5,7,7,45.38,46.26,0.31,21.73,-0.47,67.99,-0.16,6,嘉應高昇,驕陽明駒,精算暴雪,艾道拿,艾道拿,0,123,126
2026-04-06,ST,grass,好,1200,580,5,美麗第一,8,5,1,45.38,45.78,-0.17,22.25,0.05,68.03,-0.12,3,嘉應高昇,驕陽明駒,精算暴雪,巴度,巴度,0,123,126
2026-04-06,ST,grass,好,1200,580,6,好友心得,7,1,3,45.38,46.06,0.11,21.99,-0.21,68.05,-0.1,5,嘉應高昇,驕陽明駒,精算暴雪,班德禮,班德禮,0,123,126
2026-01-25,ST,grass,好/快,1200,379,3,舉步生風,4,2,2,45.72,46.04,0.09,22.16,-0.04,68.2,0.05,6,嘉應高昇,驕陽明駒,舉步生風,麥道朗,麥道朗,0,126,126
2026-01-25,ST,grass,好/快,1200,379,4,精算暴雪,5,7,5,45.72,46.16,0.21,22.05,-0.15,68.21,0.06,7,嘉應高昇,驕陽明駒,舉步生風,艾道拿,艾道拿,0,126,126
2026-03-08,ST,grass,好,1200,504,1,舉步生風,4,2,1,45.85,46.29,0.09,21.99,-0.26,68.28,-0.17,6,舉步生風,信心星,笑傲江湖,潘頓,麥道朗,1,135,126
2026-01-25,ST,grass,好/快,1200,379,5,好友心得,7,1,3,45.72,46.12,0.17,22.21,0.01,68.33,0.18,4,嘉應高昇,驕陽明駒,舉步生風,班德禮,班德禮,0,126,126
2026-03-08,ST,grass,好,1200,504,4,好友心得,7,1,3,45.85,46.29,0.09,22.33,0.08,68.62,0.17,5,舉步生風,信心星,笑傲江湖,班德禮,班德禮,1,129,126
2026-01-25,ST,grass,好/快,1200,379,7,美麗第一,8,5,6,45.72,45.76,-0.19,22.9,0.7,68.66,0.51,1,嘉應高昇,驕陽明駒,舉步生風,蔡明紹,巴度,0,126,126
2026-03-08,ST,grass,好,1200,504,10,美麗第一,8,5,9,45.85,45.97,-0.23,23.04,0.79,69.01,0.56,2,舉步生風,信心星,笑傲江湖,巴度,巴度,1,130,126
