horse_no,horses,win_odds,win_amount,place_odds,place_amount,prev_win_odds,prev_place_odds,prev_win_amount,prev_place_amount,win_amount_increase,place_amount_increase
6,將義,19.0,1105563.79,4.2,4642821.27,21.0,4.6,904422.95,3743159.87,0.22,0.24
11,魅力知耀,4.3,4885049.28,1.6,12187405.83,4.6,1.7,4128887.36,10128550.24,0.18,0.2
7,紫辰之星,21.0,1000272.0,4.8,4062468.61,22.0,5.2,863312.81,3311256.81,0.16,0.23
1,勁沙塵,3.1,6776036.1,1.5,12999899.55,3.1,1.5,6126736.09,11479023.6,0.11,0.13
9,翠兒威威,7.2,2917459.99,2.2,8863567.87,7.2,2.1,2637900.26,8199302.57,0.11,0.08
12,爆得美麗,7.2,2917459.99,2.4,8124937.22,7.0,2.4,2713268.84,7174389.75,0.08,0.13
4,飛輪步,63.0,333424.0,14.0,1392846.38,61.0,13.0,311358.72,1324502.72,0.07,0.05
3,做好自己,7.9,2658950.88,2.4,8124937.22,7.6,2.4,2499063.4,7174389.75,0.06,0.13
10,時時開心,76.0,276390.95,17.0,1147049.96,72.0,17.0,263790.03,1012855.02,0.05,0.13
8,友贏威馳,17.0,1235630.11,4.7,4148904.11,16.0,4.4,1187055.12,3913303.5,0.04,0.06
2,優才,64.0,328214.25,13.0,1499988.41,60.0,12.0,316548.03,1434877.95,0.04,0.05
5,爆笑,16.0,1312857.0,4.0,4874962.33,15.0,3.7,1266192.12,4653658.22,0.04,0.05
