horse_no,horses,win_odds,win_amount,place_odds,place_amount
1,大愛無疆,4.3,3567201.77,1.8,8211427.58
3,包裝戰將,5.0,3067793.52,2.0,7390284.82
4,日出東方,5.2,2949801.46,1.8,8211427.58
6,佐治傳奇,7.1,2160417.97,2.2,6718440.75
11,步步合拍,10.0,1533896.76,3.6,4105713.79
12,天外富天,12.0,1278247.3,4.6,3213167.32
13,燊輝之星,13.0,1179920.58,3.1,4767925.69
2,北地烈馬,15.0,1022597.84,4.7,3144802.05
8,領航多福,23.0,666911.63,5.9,2505181.3
14,不勞而獲,28.0,547820.27,6.5,2273933.79
5,幸運二十,36.0,426082.43,10.0,1478056.97
9,電子騰飛,90.0,170432.97,21.0,703836.65
10,精彩勇將,92.0,166727.91,21.0,703836.65
7,猶有心得,100.0,153389.68,20.0,739028.48
