horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,跨境駿馬,3.2,3.2,0.0,7607568.12,7607568.12,0.0,1.4,1.4,0.0,15302782.98,15302782.98,0.0
2,富心星,6.5,6.5,0.0,3745264.3,3745264.3,0.0,2.1,2.1,0.0,10201855.32,10201855.32,0.0
3,仁者荃承,87.0,87.0,0.0,279818.6,279818.6,0.0,17.0,17.0,0.0,1260229.19,1260229.19,0.0
4,智勝攻略,43.0,43.0,0.0,566144.6,566144.6,0.0,7.9,7.9,0.0,2711885.59,2711885.59,0.0
5,快樂共濟,6.3,6.3,0.0,3864161.58,3864161.58,0.0,1.8,1.8,0.0,11902164.54,11902164.54,0.0
6,幸運愉快,4.6,4.6,0.0,5292221.3,5292221.3,0.0,1.6,1.6,0.0,13389935.11,13389935.11,0.0
7,佳運發,102.0,102.0,0.0,238668.8,238668.8,0.0,21.0,21.0,0.0,1020185.53,1020185.53,0.0
8,金多囍,35.0,35.0,0.0,695549.08,695549.08,0.0,7.7,7.7,0.0,2782324.18,2782324.18,0.0
9,弘智多寶,157.0,157.0,0.0,155058.71,155058.71,0.0,26.0,26.0,0.0,823996.01,823996.01,0.0
10,閃電星福,30.0,30.0,0.0,811473.93,811473.93,0.0,7.1,7.1,0.0,3017450.17,3017450.17,0.0
11,電玩精英,4.2,4.2,0.0,5796242.37,5796242.37,0.0,1.6,1.6,0.0,13389935.11,13389935.11,0.0
12,靖哥哥,37.0,37.0,0.0,657951.84,657951.84,0.0,7.6,7.6,0.0,2818933.71,2818933.71,0.0
