horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,天火同德,-0.39,7.8,15.0,-0.48,2257138.87,798981.53,1458157.34,3.3,4.7,-0.3,4965743.0,2556762.94,2408980.06
10,太行美景,-0.14,15.0,16.0,-0.06,1173712.21,749045.19,424667.02,4.0,5.1,-0.22,4096737.97,2356232.51,1740505.46
7,戰騎飛,-0.12,30.0,32.0,-0.06,586856.1,374522.59,212333.51,6.8,8.2,-0.17,2409845.87,1465461.69,944384.18
12,東方福寶,-0.11,6.8,9.3,-0.27,2589071.05,1288679.9,1300391.15,2.4,2.3,0.04,6827896.62,5224689.49,1603207.13
4,獵寶勤,0.03,4.6,4.6,0.0,3827322.42,2605374.57,1221947.85,1.8,1.7,0.06,9103862.17,7068697.54,2035164.63
8,添喜運,0.06,3.9,3.7,0.05,4514277.73,3239114.33,1275163.4,1.5,1.4,0.07,10924634.6,8583418.45,2341216.15
11,富貴駒,0.07,55.0,48.0,0.15,320103.33,249681.73,70421.6,10.0,10.0,0.0,1638695.19,1201678.58,437016.61
2,跑得好快,0.08,11.0,10.0,0.1,1600516.65,1198472.3,402044.35,3.8,3.6,0.06,4312355.76,3337996.06,974359.7
3,歷險大將,0.16,14.0,11.0,0.27,1257548.8,1089520.27,168028.53,3.7,3.5,0.06,4428905.92,3433367.38,995538.54
5,千杯,0.19,11.0,8.7,0.26,1600516.65,1377554.37,222962.28,3.7,3.3,0.12,4428905.92,3641450.25,787455.67
6,快樂寶寶,0.2,10.0,7.8,0.28,1760568.32,1536502.95,224065.37,2.8,2.5,0.12,5852482.82,4806714.33,1045768.49
1,快活同盟,0.25,93.0,69.0,0.35,189308.42,173691.64,15616.78,23.0,20.0,0.15,712476.17,600839.29,111636.88
