horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,君達得,3.8,4.1,-0.07,437368.97,110727.88,326641.09,1.5,1.6,-0.06,731933.95,192344.11,539589.84
3,睿智多寶,4.6,5.8,-0.21,361304.8,78273.16,283031.64,1.6,1.9,-0.16,686188.08,161973.99,524214.09
11,超開心,4.3,4.0,0.07,386512.12,113496.07,273016.05,2.2,1.9,0.16,499045.87,161973.99,337071.88
10,萬事勝利,6.7,6.4,0.05,248060.01,70935.05,177124.96,2.0,1.9,0.05,548950.46,161973.99,386976.47
5,勤德天下,11.0,11.0,0.0,151091.1,41271.3,109819.8,3.1,3.0,0.03,354161.59,102583.52,251578.07
6,瑞祺威楓,12.0,11.0,0.09,138500.17,41271.3,97228.87,3.8,3.4,0.12,288921.3,90514.88,198406.42
14,江南勇士,16.0,13.0,0.23,103875.13,34921.87,68953.26,4.7,4.6,0.02,233595.94,66902.3,166693.64
12,頌星,30.0,27.0,0.11,55400.07,16814.23,38585.84,7.0,7.2,-0.03,156842.99,42743.14,114099.85
13,挺秀弘利,33.0,38.0,-0.13,50363.7,11946.96,38416.74,7.0,8.1,-0.14,156842.99,37993.9,118849.09
7,鴻圖大展,65.0,60.0,0.08,25569.26,7566.4,18002.86,12.0,12.0,0.0,91491.74,25645.88,65845.86
2,家傳之寶,61.0,42.0,0.45,27245.94,10809.15,16436.79,11.0,9.4,0.17,99809.18,32739.42,67069.76
4,風捲殘雲,73.0,61.0,0.2,22767.15,7442.37,15324.78,13.0,13.0,0.0,84453.92,23673.12,60780.8
1,熒光,94.0,66.0,0.42,17680.87,6878.55,10802.32,18.0,15.0,0.2,60994.5,20516.7,40477.8
8,飛躍星伴,101.0,76.0,0.33,16455.47,5973.48,10481.99,19.0,16.0,0.19,57784.26,19234.41,38549.85
