horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
2,神駒馬靈,-0.22,6.3,7.6,-0.17,584281.5,65849.55,518431.95,2.1,2.9,-0.28,1316418.32,118431.31,1197987.01
8,朗日雪峰,-0.19,3.2,3.6,-0.11,1150304.2,139015.71,1011288.49,1.4,1.9,-0.26,1974627.48,180763.58,1793863.9
9,飛躍凱旋,-0.17,16.0,21.0,-0.24,230060.84,23831.26,206229.58,4.2,4.7,-0.11,658209.16,73074.64,585134.52
1,幸運福星,-0.08,45.0,48.0,-0.06,81799.41,10426.18,71373.23,10.0,11.0,-0.09,276447.85,31222.8,245225.05
7,焦點,-0.01,8.5,8.0,0.06,433055.7,62557.07,370498.63,2.3,2.5,-0.08,1201947.16,137380.32,1064566.84
6,東方寶寶,0.07,4.7,4.6,0.02,783185.84,108794.9,674390.94,1.9,1.7,0.12,1454988.67,202029.88,1252958.79
3,魅力知福,0.15,29.0,25.0,0.16,126930.12,20018.26,106911.86,8.5,7.5,0.13,325232.76,45793.44,279439.32
4,電訊驕陽,0.16,14.0,12.0,0.17,262926.67,41704.71,221221.96,3.9,3.4,0.15,708840.63,101014.94,607825.69
11,風雲,0.2,18.0,17.0,0.06,204498.52,29438.62,175059.9,4.7,3.5,0.34,588186.91,98128.8,490058.11
12,領航傳祺,0.21,21.0,17.0,0.24,175284.45,29438.62,145845.83,6.2,5.2,0.19,445883.62,66048.23,379835.39
5,神燦金剛,0.22,13.0,11.0,0.18,283151.8,45496.05,237655.75,4.0,3.2,0.25,691119.62,107328.38,583791.24
10,美麗歡聲,0.42,18.0,13.0,0.38,204498.52,38496.66,166001.86,5.1,3.5,0.46,542054.6,98128.8,443925.8
