horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
3,安都,-0.0832,5.4,5.5,-0.0182,40654.32,31414.5,9239.82,0.15,0.163,1.087,False,2.3,2.7,-0.1481,73482.39,49133.33,24349.06,0.3056,0.5526,1.8086,False,266101.0,204860.0
2,風將,-0.0803,18.0,20.0,-0.1,12196.3,8638.99,3557.31,0.0413,0.0628,1.5217,False,6.2,6.6,-0.0606,27259.6,20100.0,7159.6,0.125,0.1625,1.3,False,266101.0,204860.0
1,一生好彩,-0.0782,9.1,9.5,-0.0421,24124.54,18187.34,5937.2,0.0868,0.1048,1.2064,False,3.1,3.5,-0.1143,54519.19,37902.86,16616.33,0.2357,0.3771,1.5999,False,266101.0,204860.0
6,共享富裕,-0.0651,6.4,6.8,-0.0588,34302.08,25408.79,8893.29,0.1213,0.1569,1.2935,False,2.6,2.8,-0.0714,65003.65,47378.57,17625.08,0.2946,0.4,1.3577,False,266101.0,204860.0
11,三寶進財,-0.0381,72.0,73.0,-0.0137,3049.07,2366.85,682.22,0.0113,0.012,1.0652,False,15.0,16.0,-0.0625,11267.3,8291.25,2976.05,0.0516,0.0675,1.31,False,266101.0,204860.0
5,開心勇駒,-0.0357,13.0,14.0,-0.0714,16887.18,12341.41,4545.77,0.0589,0.0802,1.3612,False,4.1,4.1,0.0,41221.83,32356.1,8865.73,0.2012,0.2012,1.0,False,266101.0,204860.0
14,金滙千帥,-0.0227,10.0,10.0,0.0,21953.33,17277.98,4675.35,0.0825,0.0825,1.0,False,4.2,4.4,-0.0455,40240.36,30150.0,10090.36,0.1875,0.229,1.2214,False,266101.0,204860.0
10,紫荊拼搏,0.0,10.0,10.0,0.0,21953.33,17277.98,4675.35,0.0825,0.0825,1.0,False,4.4,4.4,0.0,38411.25,30150.0,8261.25,0.1875,0.1875,1.0,False,266101.0,204860.0
7,天然數字,0.0035,18.0,17.0,0.0588,12196.3,10163.51,2032.79,0.0485,0.0359,0.7391,False,5.5,5.8,-0.0517,30729.0,22872.41,7856.59,0.1422,0.1783,1.2536,False,266101.0,204860.0
13,八仟財陞,0.0125,28.0,26.0,0.0769,7840.48,6645.38,1195.1,0.0317,0.0211,0.6646,False,7.3,7.7,-0.0519,23151.99,17228.57,5923.42,0.1071,0.1344,1.2548,False,266101.0,204860.0
12,騰龍踏雪,0.017,40.0,44.0,-0.0909,5488.33,3926.81,1561.52,0.0187,0.0276,1.4696,False,3.6,3.2,0.125,46947.08,41456.25,5490.83,0.2578,0.1246,0.4834,False,266101.0,204860.0
8,火悟空,0.0484,13.0,13.0,0.0,16887.18,13290.75,3596.43,0.0635,0.0635,1.0,False,3.4,3.1,0.0968,49708.68,42793.55,6915.13,0.2661,0.1569,0.5897,False,266101.0,204860.0
4,星幻,0.0917,14.0,13.0,0.0769,15680.95,13290.75,2390.2,0.0635,0.0422,0.6646,False,5.2,4.7,0.1064,32501.83,28225.53,4276.3,0.1755,0.0971,0.5529,False,266101.0,204860.0
9,黃金騎士,0.1448,5.9,5.3,0.1132,37209.04,32599.95,4609.09,0.1557,0.0813,0.5225,False,2.0,1.7,0.1765,84504.75,78035.29,6469.46,0.4853,0.1468,0.3026,False,266101.0,204860.0
